Quarter,Time,Down,ToGo,Location,MIA,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Bills to receive the opening kickoff.",,,9.0,2024,126
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback., touchback.",0.0,0.94,9.0,2024,126
1.0,15:00,1.0,10.0,BUF 30,0.0,0.0,James Cook left tackle for 4 yards (tackle by Calais Campbell and Anthony Walker),0.94,0.93,9.0,2024,126
1.0,14:21,2.0,6.0,BUF 34,0.0,0.0,James Cook left end for -1 yards (tackle by Da'Shawn Hand and Emmanuel Ogbah),0.93,0.1,9.0,2024,126
1.0,13:39,3.0,7.0,BUF 33,0.0,0.0,Josh Allen pass incomplete deep left intended for Dalton Kincaid,0.1,-1.18,9.0,2024,126
1.0,13:34,4.0,7.0,BUF 33,0.0,0.0,"Sam Martin punts 49 yards, returned by Malik Washington for -1 yards (tackle by Cameron Lewis)",-1.18,0.06,9.0,2024,126
1.0,13:25,1.0,10.0,MIA 17,0.0,0.0,De'Von Achane right guard for 7 yards (tackle by Dorian Williams),-0.06,0.48,9.0,2024,126
1.0,12:46,2.0,3.0,MIA 24,0.0,0.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 6 yards (tackle by Dorian Williams),0.48,0.94,9.0,2024,126
1.0,12:07,1.0,10.0,MIA 30,0.0,0.0,Tua Tagovailoa sacked by Gregory Rousseau for -7 yards,0.94,-0.55,9.0,2024,126
1.0,11:23,2.0,17.0,MIA 23,0.0,0.0,Tua Tagovailoa pass complete short right to Odell Beckham for 6 yards (tackle by Dorian Williams and Taylor Rapp),-0.55,-0.43,9.0,2024,126
1.0,10:44,3.0,11.0,MIA 29,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill (defended by Rasul Douglas),-0.43,-1.44,9.0,2024,126
1.0,10:39,4.0,11.0,MIA 29,0.0,0.0,"Jake Bailey punts 37 yards, returned by Brandon Codrington for 29 yards (tackle by Jake Bailey)",-1.44,-3.12,9.0,2024,126
1.0,10:27,1.0,10.0,MIA 37,0.0,0.0,Josh Allen pass complete short left to James Cook for 1 yard (tackle by Siran Neal),3.12,2.71,9.0,2024,126
1.0,9:48,2.0,9.0,MIA 36,0.0,0.0,Josh Allen pass complete short left to James Cook for 3 yards (tackle by Jordan Poyer),2.71,2.41,9.0,2024,126
1.0,9:13,3.0,6.0,MIA 33,0.0,0.0,Josh Allen pass complete short right to Khalil Shakir for 11 yards (tackle by Anthony Walker),2.41,4.11,9.0,2024,126
1.0,8:35,1.0,10.0,MIA 22,0.0,0.0,Ty Johnson right end for 2 yards (tackle by Calais Campbell),4.11,3.83,9.0,2024,126
1.0,7:57,2.0,8.0,MIA 20,0.0,0.0,Josh Allen pass complete short middle to Khalil Shakir for 5 yards (tackle by Anthony Walker),3.83,3.93,9.0,2024,126
1.0,7:14,3.0,3.0,MIA 15,0.0,0.0,Josh Allen right end for -7 yards (tackle by Emmanuel Ogbah),3.93,1.99,9.0,2024,126
1.0,6:34,4.0,10.0,MIA 22,0.0,3.0,Tyler Bass 40 yard field goal good,1.99,3.0,9.0,2024,126
1.0,6:30,,,BUF 35,0.0,3.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,126
1.0,6:30,1.0,10.0,MIA 30,0.0,3.0,Raheem Mostert up the middle for 4 yards (tackle by Terrel Bernard),0.94,0.93,9.0,2024,126
1.0,5:54,2.0,6.0,MIA 34,0.0,3.0,"Penalty on Durham Smythe: False Start, 5 yards (accepted) (no play)",0.93,0.26,9.0,2024,126
1.0,5:49,2.0,11.0,MIA 29,0.0,3.0,Jaylen Wright right guard for no gain (tackle by Ed Oliver and Gregory Rousseau),0.26,-0.43,9.0,2024,126
1.0,4:57,3.0,11.0,MIA 29,0.0,3.0,"Tua Tagovailoa pass complete short middle to Raheem Mostert for 17 yards (tackle by Taylor Rapp). Penalty on Taylor Rapp: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.43,2.98,9.0,2024,126
1.0,4:36,1.0,10.0,BUF 39,0.0,3.0,Tua Tagovailoa pass complete short left to De'Von Achane for 6 yards (tackle by Dorian Williams),2.98,3.25,9.0,2024,126
1.0,3:56,2.0,4.0,BUF 33,0.0,3.0,De'Von Achane right end for 4 yards (tackle by Austin Johnson and Taron Johnson),3.25,3.64,9.0,2024,126
1.0,3:26,1.0,10.0,BUF 29,0.0,3.0,Tua Tagovailoa pass complete short right to Durham Smythe for 4 yards (tackle by Dorian Williams),3.64,3.64,9.0,2024,126
1.0,2:45,2.0,6.0,BUF 25,0.0,3.0,Tua Tagovailoa pass complete short left to Jonnu Smith for 5 yards (tackle by Dorian Williams),3.64,3.6,9.0,2024,126
1.0,2:06,3.0,1.0,BUF 20,0.0,3.0,Raheem Mostert up the middle for -1 yards (tackle by Taylor Rapp),3.6,2.18,9.0,2024,126
1.0,1:23,4.0,2.0,BUF 21,3.0,3.0,Jason Sanders 39 yard field goal good,2.18,3.0,9.0,2024,126
1.0,1:19,,,MIA 35,3.0,3.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,126
1.0,1:19,1.0,10.0,BUF 30,3.0,3.0,Ray Davis left guard for 8 yards (tackle by Anthony Walker and Marcus Maye),0.94,1.47,9.0,2024,126
1.0,0:37,2.0,2.0,BUF 38,3.0,3.0,Josh Allen pass complete short left to Ray Davis for 7 yards (tackle by Anthony Walker and Jordyn Brooks),1.47,1.93,9.0,2024,126
2.0,15:00,1.0,10.0,BUF 45,3.0,3.0,Ray Davis right guard for 4 yards (tackle by Kendall Fuller),1.93,1.92,9.0,2024,126
2.0,14:24,2.0,6.0,BUF 49,3.0,3.0,Josh Allen pass complete short right to Dalton Kincaid for 15 yards (tackle by Marcus Maye),1.92,3.18,9.0,2024,126
2.0,13:46,1.0,10.0,MIA 36,3.0,3.0,James Cook right guard for 2 yards (tackle by Calais Campbell),3.18,2.91,9.0,2024,126
