Quarter,Time,Tm,Detail,TAM,KAN,week,year,game_id
1,2:16,Chiefs,Harrison Butker 40 yard field goal,0,3,9.0,2024,138
2,10:23,Buccaneers,Rachaad White 7 yard rush (Chase McLaughlin kick),7,3,9.0,2024,138
,4:05,Chiefs,DeAndre Hopkins 1 yard pass from Patrick Mahomes (Harrison Butker kick),7,10,9.0,2024,138
3,11:36,Buccaneers,Cade Otton 11 yard pass from Baker Mayfield (Chase McLaughlin kick),14,10,9.0,2024,138
,5:50,Buccaneers,Chase McLaughlin 47 yard field goal,17,10,9.0,2024,138
4,14:14,Chiefs,Samaje Perine 7 yard pass from Patrick Mahomes (Harrison Butker kick),17,17,9.0,2024,138
,4:17,Chiefs,DeAndre Hopkins 5 yard pass from Patrick Mahomes (Harrison Butker kick),17,24,9.0,2024,138
,0:27,Buccaneers,Ryan Miller 1 yard pass from Baker Mayfield (Chase McLaughlin kick),24,24,9.0,2024,138
OT,4:08,Chiefs,Kareem Hunt 2 yard rush,24,30,9.0,2024,138
