Unnamed: 0,MIA,BUF,week,year,game_id
First Downs,26,24,9.0,2024,126
Rush-Yds-TDs,31-149-1,19-94-0,9.0,2024,126
Cmp-Att-Yd-TD-INT,25-28-231-2-0,25-39-235-3-1,9.0,2024,126
Sacked-Yards,1-7,1-4,9.0,2024,126
Net Pass Yards,224,231,9.0,2024,126
Total Yards,373,325,9.0,2024,126
Fumbles-Lost,1-1,0-0,9.0,2024,126
Turnovers,1,1,9.0,2024,126
Penalties-Yards,8-57,4-40,9.0,2024,126
Third Down Conv.,4-8,5-10,9.0,2024,126
Fourth Down Conv.,1-1,1-1,9.0,2024,126
Time of Possession,31:53,28:07,9.0,2024,126
