Quarter,Time,Down,ToGo,Location,LVR,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Raiders to receive the opening kickoff.",,,9.0,2024,128
1.0,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,128
1.0,15:00,1.0,10.0,LVR 30,0.0,0.0,Gardner Minshew pass incomplete deep left intended for Tre Tucker (defended by Cam Taylor-Britt),0.94,0.39,9.0,2024,128
1.0,14:55,2.0,10.0,LVR 30,0.0,0.0,Gardner Minshew pass incomplete deep right intended for Tre Tucker,0.39,-0.3,9.0,2024,128
1.0,14:50,3.0,10.0,LVR 30,0.0,0.0,"Gardner Minshew pass incomplete deep right intended for Brock Bowers. Penalty on DJ Ivey: Defensive Pass Interference, 16 yards (accepted) (no play)",-0.3,1.99,9.0,2024,128
1.0,14:43,1.0,10.0,LVR 46,0.0,0.0,Gardner Minshew pass complete short left to Brock Bowers for 9 yards (tackle by DJ Turner),1.99,2.67,9.0,2024,128
1.0,14:00,2.0,1.0,CIN 45,0.0,0.0,Gardner Minshew pass complete deep right to Jakobi Meyers for 22 yards (tackle by Logan Wilson),2.67,4.04,9.0,2024,128
1.0,13:23,1.0,10.0,CIN 23,0.0,0.0,Alexander Mattison up the middle for 7 yards (tackle by Sheldon Rankins),4.04,4.56,9.0,2024,128
1.0,12:47,2.0,3.0,CIN 16,0.0,0.0,Alexander Mattison right guard for 4 yards (tackle by Akeem Davis-Gaither and Logan Wilson),4.56,4.78,9.0,2024,128
1.0,12:12,1.0,10.0,CIN 12,0.0,0.0,Alexander Mattison left guard for 6 yards (tackle by Sam Hubbard and Vonn Bell),4.78,5.21,9.0,2024,128
1.0,11:34,2.0,4.0,CIN 6,0.0,0.0,Zamir White left guard for 1 yard (tackle by Kris Jenkins and Mike Hilton),5.21,4.61,9.0,2024,128
1.0,10:50,3.0,3.0,CIN 5,0.0,0.0,Alexander Mattison right tackle for 3 yards (tackle by Kris Jenkins and Geno Stone),4.61,6.74,9.0,2024,128
1.0,9:56,1.0,2.0,CIN 2,0.0,0.0,"Zamir White left guard for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Zamir White left guard for 1 yard (tackle by Kris Jenkins and Geno Stone)",6.74,5.91,9.0,2024,128
1.0,9:50,2.0,1.0,CIN 1,0.0,0.0,Penalty on B.J. Hill: Encroachment (accepted) (no play),5.91,5.91,9.0,2024,128
