Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,,9.0,2024,135
1.0,15:00,,,DET 35,0.0,0.0,"Jake Bates kicks off 54 yards, returned by Keisean Nixon for 29 yards (tackle by Jack Campbell)",0.0,1.6,9.0,2024,135
1.0,14:56,1.0,10.0,GNB 40,0.0,0.0,"Penalty on Keisean Nixon: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",1.6,0.61,9.0,2024,135
1.0,14:56,1.0,10.0,GNB 25,0.0,0.0,Josh Jacobs right tackle for 9 yards (tackle by Brian Branch and Carlton Davis),0.61,1.28,9.0,2024,135
1.0,14:17,2.0,1.0,GNB 34,0.0,0.0,Josh Jacobs right guard for 13 yards (tackle by Kerby Joseph),1.28,2.06,9.0,2024,135
1.0,13:40,1.0,10.0,GNB 47,0.0,0.0,Jordan Love pass complete short left to Romeo Doubs for 6 yards (tackle by Terrion Arnold),2.06,2.33,9.0,2024,135
1.0,13:02,2.0,4.0,DET 47,0.0,0.0,Josh Jacobs right end for 1 yard (tackle by Jack Campbell and Alim McNeill),2.33,1.75,9.0,2024,135
1.0,12:16,3.0,3.0,DET 46,0.0,0.0,Jordan Love pass complete short right to Josh Jacobs for 2 yards (tackle by Jack Campbell and Carlton Davis),1.75,0.33,9.0,2024,135
1.0,11:46,4.0,1.0,DET 44,0.0,0.0,Tucker Kraft up the middle for 2 yards (tackle by Levi Onwuzurike),0.33,2.79,9.0,2024,135
1.0,11:04,1.0,10.0,DET 42,0.0,0.0,"Penalty on Josh Jacobs: False Start, 5 yards (accepted) (no play)",2.79,2.46,9.0,2024,135
1.0,10:46,1.0,15.0,DET 47,0.0,0.0,Jordan Love pass incomplete short right intended for Romeo Doubs,2.46,1.57,9.0,2024,135
1.0,10:44,2.0,15.0,DET 47,0.0,0.0,Jordan Love pass complete deep right to Christian Watson for 19 yards (tackle by Carlton Davis),1.57,3.71,9.0,2024,135
1.0,10:08,1.0,10.0,DET 28,0.0,0.0,Josh Jacobs right end for no gain (tackle by Levi Onwuzurike),3.71,3.17,9.0,2024,135
1.0,9:25,2.0,10.0,DET 28,0.0,0.0,Josh Jacobs right tackle for 11 yards (tackle by Alex Anzalone),3.17,4.44,9.0,2024,135
1.0,8:40,1.0,10.0,DET 17,0.0,0.0,Josh Jacobs left tackle for 1 yard (tackle by Brian Branch and Jack Campbell),4.44,4.0,9.0,2024,135
1.0,7:58,2.0,9.0,DET 16,0.0,0.0,Chris Brooks left guard for 4 yards (tackle by Alim McNeill),4.0,3.88,9.0,2024,135
1.0,7:13,3.0,5.0,DET 12,0.0,0.0,Jordan Love pass incomplete short middle intended for Chris Brooks,3.88,2.68,9.0,2024,135
1.0,7:09,4.0,5.0,DET 12,0.0,3.0,Brandon McManus 30 yard field goal good,2.68,3.0,9.0,2024,135
1.0,7:06,,,GNB 35,0.0,3.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,135
1.0,7:06,1.0,10.0,DET 30,0.0,3.0,David Montgomery left guard for 8 yards (tackle by Quay Walker and Xavier McKinney),0.94,1.47,9.0,2024,135
