Unnamed: 0,WAS,NYG,week,year,game_id
First Downs,21,25,9.0,2024,132
Rush-Yds-TDs,38-149-1,31-164-1,9.0,2024,132
Cmp-Att-Yd-TD-INT,15-22-209-2-0,20-26-174-2-0,9.0,2024,132
Sacked-Yards,0-0,2-12,9.0,2024,132
Net Pass Yards,209,162,9.0,2024,132
Total Yards,358,326,9.0,2024,132
Fumbles-Lost,0-0,1-1,9.0,2024,132
Turnovers,0,1,9.0,2024,132
Penalties-Yards,5-52,4-51,9.0,2024,132
Third Down Conv.,5-12,6-11,9.0,2024,132
Fourth Down Conv.,2-2,2-2,9.0,2024,132
Time of Possession,28:00,32:00,9.0,2024,132
