Unnamed: 0,DET,GNB,week,year,game_id
First Downs,17,20,9.0,2024,135
Rush-Yds-TDs,32-124-1,23-138-1,9.0,2024,135
Cmp-Att-Yd-TD-INT,18-22-145-1-0,23-39-273-0-1,9.0,2024,135
Sacked-Yards,1-8,0-0,9.0,2024,135
Net Pass Yards,137,273,9.0,2024,135
Total Yards,261,411,9.0,2024,135
Fumbles-Lost,0-0,3-0,9.0,2024,135
Turnovers,0,1,9.0,2024,135
Penalties-Yards,5-51,10-67,9.0,2024,135
Third Down Conv.,4-12,3-12,9.0,2024,135
Fourth Down Conv.,2-2,2-3,9.0,2024,135
Time of Possession,31:11,28:49,9.0,2024,135
