Quarter,Time,Down,ToGo,Location,CHI,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,9.0,2024,133
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,133
1.0,15:00,1.0,10.0,ARI 30,0.0,0.0,James Conner up the middle for 3 yards (tackle by Andrew Billings and Dominique Robinson),0.94,0.8,9.0,2024,133
1.0,14:27,2.0,7.0,ARI 33,0.0,0.0,James Conner right end for 1 yard (tackle by Dominique Robinson),0.8,0.23,9.0,2024,133
1.0,13:48,3.0,6.0,ARI 34,0.0,0.0,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Terell Smith),0.23,-1.11,9.0,2024,133
1.0,13:41,4.0,6.0,ARI 34,0.0,0.0,"Blake Gillikin punts 51 yards, returned by DeAndre Carter for 6 yards (tackle by Owen Pappoe)",-1.11,-0.34,9.0,2024,133
1.0,13:30,1.0,10.0,CHI 21,0.0,0.0,Caleb Williams pass complete short left to D.J. Moore for 7 yards (tackle by Starling Thomas),0.34,0.75,9.0,2024,133
1.0,13:07,2.0,3.0,CHI 28,0.0,0.0,D'Andre Swift up the middle for 4 yards (tackle by Dante Stills and Zaven Collins),0.75,1.07,9.0,2024,133
1.0,12:33,1.0,10.0,CHI 32,0.0,0.0,Caleb Williams pass incomplete deep middle intended for Keenan Allen (defended by Garrett Williams),1.07,0.53,9.0,2024,133
1.0,12:28,2.0,10.0,CHI 32,0.0,0.0,Caleb Williams pass complete short right to Rome Odunze for 17 yards (tackle by Garrett Williams and Owen Pappoe),0.53,2.19,9.0,2024,133
1.0,11:56,1.0,10.0,CHI 49,0.0,0.0,D'Andre Swift up the middle for 3 yards (tackle by Dante Stills),2.19,2.05,9.0,2024,133
1.0,11:14,2.0,7.0,ARI 48,0.0,0.0,"Caleb Williams pass incomplete short right intended for Keenan Allen. Penalty on Keenan Allen: Offensive Pass Interference, 10 yards (accepted) (no play)",2.05,0.7,9.0,2024,133
1.0,10:58,2.0,17.0,CHI 42,0.0,0.0,Caleb Williams pass complete short right to Rome Odunze for 15 yards (tackle by Starling Thomas),0.7,2.01,9.0,2024,133
1.0,10:24,3.0,2.0,ARI 43,0.0,0.0,Caleb Williams pass complete short right to D.J. Moore for 4 yards (tackle by Starling Thomas),2.01,2.98,9.0,2024,133
1.0,9:46,1.0,10.0,ARI 39,0.0,0.0,D'Andre Swift up the middle for -2 yards (tackle by Kyzir White),2.98,2.17,9.0,2024,133
1.0,9:04,2.0,12.0,ARI 41,0.0,0.0,Caleb Williams pass complete short right to D'Andre Swift for 4 yards (tackle by Kyzir White),2.17,2.02,9.0,2024,133
1.0,8:26,3.0,8.0,ARI 37,0.0,0.0,Caleb Williams pass complete short right to D.J. Moore for no gain (tackle by Starling Thomas) (no play),2.02,1.36,9.0,2024,133
1.0,8:05,3.0,13.0,ARI 42,0.0,0.0,Caleb Williams sacked by and Xavier Thomas for -7 yards and L.J. Collier for -7 yards,1.36,0.0,9.0,2024,133
1.0,7:23,4.0,20.0,ARI 49,0.0,0.0,"Tory Taylor punts 39 yards, returned by Greg Dortch for 7 yards (tackle by Jack Sanborn)",0.0,0.06,9.0,2024,133
1.0,7:09,1.0,10.0,ARI 17,0.0,0.0,Kyler Murray pass complete short left to Trey Benson for 18 yards (tackle by Jaylon Johnson),-0.06,1.27,9.0,2024,133
1.0,6:28,1.0,10.0,ARI 35,0.0,0.0,James Conner up the middle for 4 yards (tackle by Tremaine Edmunds and T.J. Edwards),1.27,1.26,9.0,2024,133
1.0,5:47,2.0,6.0,ARI 39,0.0,0.0,Kyler Murray pass complete short left to James Conner for no gain (tackle by Terell Smith),1.26,0.56,9.0,2024,133
1.0,5:07,3.0,6.0,ARI 39,0.0,0.0,Kyler Murray sacked by Kevin Byard for -3 yards,0.56,-0.98,9.0,2024,133
1.0,4:32,4.0,9.0,ARI 36,0.0,0.0,"Blake Gillikin punts 55 yards, returned by DeAndre Carter for 7 yards (tackle by Dadrion Taylor-Demerson)",-0.98,0.14,9.0,2024,133
1.0,4:24,1.0,10.0,CHI 16,0.0,0.0,D'Andre Swift right tackle for 2 yards (tackle by Budda Baker),-0.14,-0.35,9.0,2024,133
1.0,3:49,2.0,8.0,CHI 18,0.0,0.0,Caleb Williams pass incomplete deep left intended for Rome Odunze,-0.35,-1.07,9.0,2024,133
1.0,3:42,3.0,8.0,CHI 18,0.0,0.0,Caleb Williams pass incomplete deep left intended for Keenan Allen,-1.07,-2.24,9.0,2024,133
1.0,3:37,4.0,8.0,CHI 18,0.0,0.0,"Tory Taylor punts 50 yards, returned by Greg Dortch for 27 yards (tackle by Travis Homer)",-2.24,-2.85,9.0,2024,133
1.0,3:23,1.0,10.0,CHI 41,0.0,0.0,James Conner up the middle for 15 yards (tackle by Kevin Byard and Dominique Robinson),2.85,3.84,9.0,2024,133
1.0,2:46,1.0,10.0,CHI 26,0.0,0.0,Kyler Murray pass complete short left to James Conner for 4 yards (tackle by Tyrique Stevenson),3.84,3.84,9.0,2024,133
1.0,2:09,2.0,6.0,CHI 22,0.0,0.0,James Conner up the middle for 5 yards (tackle by Elijah Hicks),3.84,3.95,9.0,2024,133
1.0,1:35,3.0,1.0,CHI 17,0.0,0.0,Kyler Murray pass complete short left to Trey McBride for 15 yards (tackle by Tyrique Stevenson),3.95,6.74,9.0,2024,133
1.0,0:51,1.0,2.0,CHI 2,0.0,6.0,"Trey McBride left end for 2 yards, touchdown",6.74,7.0,9.0,2024,133
1.0,0:46,,,CHI 15,0.0,7.0,Chad Ryland kicks extra point good,0.0,0.0,9.0,2024,133
1.0,0:46,,,ARI 35,0.0,7.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.28,9.0,2024,133
1.0,0:46,1.0,10.0,CHI 20,0.0,7.0,Caleb Williams pass incomplete deep left,0.28,-0.27,9.0,2024,133
1.0,0:38,2.0,10.0,CHI 20,0.0,7.0,D'Andre Swift up the middle for 10 yards (tackle by Budda Baker),-0.27,0.94,9.0,2024,133
1.0,0:03,1.0,10.0,CHI 30,0.0,7.0,"Penalty on Marcedes Lewis: False Start, 5 yards (accepted) (no play)",0.94,0.61,9.0,2024,133
2.0,15:00,1.0,15.0,CHI 25,0.0,7.0,Caleb Williams pass complete short right to D.J. Moore for 6 yards (tackle by Starling Thomas),0.61,0.53,9.0,2024,133
2.0,14:32,2.0,9.0,CHI 31,0.0,7.0,D'Andre Swift up the middle for 2 yards (tackle by Zaven Collins),0.53,0.1,9.0,2024,133
2.0,13:54,3.0,7.0,CHI 33,0.0,7.0,Caleb Williams pass complete deep left to Rome Odunze for 44 yards (tackle by Jalen Thompson),0.1,4.04,9.0,2024,133
