Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Cooper Rush,DAL,13,25,115,7.0,28.0,204,8.2,69,5.3,2.8,46,3.5,2,8.0%,7,28.0%,0,6,4,2,6,24.0%,0,,9.0,2024,125
Dak Prescott,DAL,18,24,133,6.0,22.2,90,3.8,49,2.7,2.0,84,4.7,1,4.5%,2,9.1%,3,4,2,3,8,27.6%,2,13.5,9.0,2024,125
Bryan Anger,DAL,0,1,0,,,7,7.0,0,,0.0,0,,0,0.0%,1,100.0%,0,0,0,0,0,0.0%,0,,9.0,2024,125
Kirk Cousins,ATL,19,24,222,12.0,46.2,136,5.7,78,4.1,3.3,144,7.6,0,0.0%,2,8.3%,2,11,3,2,7,26.9%,0,,9.0,2024,125
