Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Saints to receive the opening kickoff.",,,9.0,2024,127
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Piñeiro kicks off 67 yards, returned by Jermaine Jackson for 24 yards (tackle by Raheem Blackshear)",0.0,0.41,9.0,2024,127
1.0,14:55,1.0,10.0,NOR 22,0.0,0.0,Alvin Kamara right end for 20 yards (tackle by Dane Jackson and Demani Richardson),0.41,1.73,9.0,2024,127
1.0,14:20,1.0,10.0,NOR 42,0.0,0.0,Taysom Hill right tackle for 5 yards (tackle by LaBryan Ray),1.73,1.86,9.0,2024,127
1.0,13:48,2.0,5.0,NOR 47,0.0,0.0,Derek Carr pass complete short left to Chris Olave for 13 yards (tackle by Michael Jackson),1.86,2.92,9.0,2024,127
1.0,13:27,1.0,10.0,CAR 40,0.0,0.0,Derek Carr pass complete short right to Alvin Kamara for 10 yards (tackle by Josey Jewell),2.92,3.58,9.0,2024,127
1.0,12:52,1.0,10.0,CAR 30,0.0,0.0,Alvin Kamara left end for 5 yards (tackle by Trevin Wallace),3.58,3.71,9.0,2024,127
1.0,12:24,2.0,5.0,CAR 25,0.0,0.0,Alvin Kamara right end for 8 yards (tackle by A'Shawn Robinson and Trevin Wallace),3.71,4.44,9.0,2024,127
1.0,11:48,1.0,10.0,CAR 17,0.0,0.0,Alvin Kamara right end for 6 yards (tackle by Cam Gill and LaBryan Ray),4.44,4.89,9.0,2024,127
1.0,11:04,2.0,4.0,CAR 11,0.0,0.0,Derek Carr pass incomplete short middle,4.89,4.1,9.0,2024,127
1.0,10:58,3.0,4.0,CAR 11,0.0,0.0,Derek Carr pass incomplete short right intended for Foster Moreau,4.1,2.77,9.0,2024,127
1.0,10:54,4.0,4.0,CAR 11,3.0,0.0,Blake Grupe 29 yard field goal good,2.77,3.0,9.0,2024,127
1.0,10:51,,,NOR 35,3.0,0.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,127
