Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Chargers to receive the opening kickoff.",,,9.0,2024,129
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,129
1.0,15:00,1.0,10.0,LAC 30,0.0,0.0,Justin Herbert pass complete deep middle to Ladd McConkey for 16 yards (tackle by Devin Bush),0.94,1.99,9.0,2024,129
1.0,14:30,1.0,10.0,LAC 46,0.0,0.0,Quentin Johnston right end for 2 yards (tackle by Grant Delpit and Juan Thornhill),1.99,1.72,9.0,2024,129
1.0,13:59,2.0,8.0,LAC 48,0.0,0.0,Justin Herbert pass incomplete short left intended for Jalen Reagor,1.72,1.03,9.0,2024,129
1.0,13:56,3.0,8.0,LAC 48,0.0,0.0,Justin Herbert pass incomplete deep right intended for Josh Palmer,1.03,-0.19,9.0,2024,129
1.0,13:51,4.0,8.0,LAC 48,0.0,0.0,"JK Scott punts 43 yards, fair catch by Jaelon Darden at CLE-9",-0.19,0.38,9.0,2024,129
1.0,13:45,1.0,10.0,CLE 9,0.0,0.0,Nick Chubb left end for 2 yards (tackle by Daiyan Henley and Cam Hart),-0.38,-0.63,9.0,2024,129
1.0,13:08,2.0,8.0,CLE 11,0.0,0.0,Jameis Winston pass complete short left to Cedric Tillman for 9 yards (tackle by Cam Hart and Alohi Gilman),-0.63,0.28,9.0,2024,129
1.0,12:35,1.0,10.0,CLE 20,0.0,0.0,Nick Chubb right guard for 7 yards (tackle by Daiyan Henley and Derwin James),0.28,0.68,9.0,2024,129
1.0,11:47,2.0,3.0,CLE 27,0.0,0.0,"Penalty on David Njoku: False Start, 5 yards (accepted) (no play)",0.68,0.0,9.0,2024,129
1.0,11:39,2.0,8.0,CLE 22,0.0,0.0,Jameis Winston sacked by and Tuli Tuipulotu for -1 yards and Cam Hart for -1 yards,0.0,-0.82,9.0,2024,129
1.0,10:54,3.0,9.0,CLE 21,0.0,0.0,Jameis Winston pass incomplete short right intended for Elijah Moore,-0.82,-1.96,9.0,2024,129
1.0,10:48,4.0,9.0,CLE 21,0.0,0.0,"Corey Bojorquez punts 62 yards, returned by Derius Davis for 53 yards (tackle by Khaleke Hudson)",-1.96,-3.58,9.0,2024,129
1.0,10:33,1.0,10.0,CLE 30,0.0,0.0,J.K. Dobbins up the middle for 3 yards (tackle by Michael Hall and Myles Garrett),3.58,3.44,9.0,2024,129
1.0,9:56,2.0,7.0,CLE 27,0.0,0.0,"Justin Herbert pass complete short left to Ladd McConkey for no gain (tackle by Greg Newsome and Mohamoud Diabate). Penalty on Joe Alt: Offensive Holding, 10 yards (accepted) (no play)",3.44,2.09,9.0,2024,129
1.0,9:32,2.0,17.0,CLE 37,0.0,0.0,Justin Herbert pass complete short left to Ladd McConkey for 5 yards (tackle by Martin Emerson),2.09,2.08,9.0,2024,129
1.0,8:50,,,,,,Timeout #1 by Los Angeles Chargers,,,9.0,2024,129
1.0,8:50,3.0,12.0,CLE 32,0.0,0.0,"Penalty on Ogbonnia Okoronkwo: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.08,2.74,9.0,2024,129
1.0,8:50,3.0,7.0,CLE 27,0.0,0.0,Justin Herbert pass complete short middle to Ladd McConkey for 10 yards (tackle by Grant Delpit),2.74,4.44,9.0,2024,129
1.0,8:13,1.0,10.0,CLE 17,0.0,0.0,J.K. Dobbins left end for -3 yards (tackle by Ogbonnia Okoronkwo),4.44,3.49,9.0,2024,129
1.0,7:31,2.0,13.0,CLE 20,0.0,0.0,Justin Herbert sacked by and Shelby Harris for -8 yards and Dalvin Tomlinson for -8 yards,3.49,1.75,9.0,2024,129
1.0,6:54,3.0,21.0,CLE 28,6.0,0.0,"Justin Herbert pass complete deep right to Josh Palmer for 28 yards, touchdown",1.75,7.0,9.0,2024,129
1.0,6:49,,,CLE 15,7.0,0.0,Cameron Dicker kicks extra point good,0.0,0.0,9.0,2024,129
1.0,6:49,,,LAC 35,7.0,0.0,"Cameron Dicker kicks off 63 yards, returned by Pierre Strong for 23 yards (tackle by Nick Niemann and AJ Finley)",0.0,0.61,9.0,2024,129
1.0,6:44,1.0,10.0,CLE 25,7.0,0.0,Jameis Winston pass complete short left to Jerry Jeudy for 10 yards,0.61,1.27,9.0,2024,129
1.0,6:11,1.0,10.0,CLE 35,7.0,0.0,Nick Chubb up the middle for no gain (tackle by Denzel Perryman and Scott Matlock),1.27,0.72,9.0,2024,129
