Unnamed: 0,TAM,KAN,week,year,game_id
First Downs,17,28,9.0,2024,138
Rush-Yds-TDs,19-95-1,35-124-1,9.0,2024,138
Cmp-Att-Yd-TD-INT,23-31-200-2-0,34-44-291-3-0,9.0,2024,138
Sacked-Yards,2-11,4-31,9.0,2024,138
Net Pass Yards,189,260,9.0,2024,138
Total Yards,284,384,9.0,2024,138
Fumbles-Lost,0-0,1-1,9.0,2024,138
Turnovers,0,1,9.0,2024,138
Penalties-Yards,6-50,3-30,9.0,2024,138
Third Down Conv.,5-11,12-18,9.0,2024,138
Fourth Down Conv.,0-0,1-1,9.0,2024,138
Time of Possession,25:10,40:42,9.0,2024,138
