#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,LAC 30,4,1:15,18,Punt,0,Chargers,9.0,2024,129
2,1,10:33,CLE 30,6,3:44,30,Touchdown,0,Chargers,9.0,2024,129
3,1,5:16,LAC 5,3,2:05,8,Punt,0,Chargers,9.0,2024,129
4,1,1:45,LAC 21,3,1:56,-16,Punt,0,Chargers,9.0,2024,129
5,2,9:30,LAC 30,3,1:29,70,Touchdown,0,Chargers,9.0,2024,129
6,2,6:17,LAC 40,5,2:47,60,Touchdown,0,Chargers,9.0,2024,129
7,2,1:56,LAC 4,9,1:56,76,End of Half,0,Chargers,9.0,2024,129
8,3,6:44,LAC 20,3,0:52,-1,Punt,0,Chargers,9.0,2024,129
9,3,5:28,LAC 10,3,1:34,6,Punt,0,Chargers,9.0,2024,129
10,3,2:16,LAC 32,3,1:06,4,Punt,0,Chargers,9.0,2024,129
11,4,14:16,,5,2:39,24,Missed FG,0,Chargers,9.0,2024,129
12,4,10:44,LAC 35,4,1:30,-1,Punt,0,Chargers,9.0,2024,129
14,4,0:44,LAC 30,2,0:44,-2,End of Game,0,Chargers,9.0,2024,129
