Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Bucky Irving,TAM,7,24,0,1.0,15,2.1,9,1.3,0,,9.0,2024,138
Baker Mayfield,TAM,4,20,0,1.0,16,4.0,4,1.0,0,,9.0,2024,138
Sean Tucker,TAM,3,11,0,1.0,5,1.7,6,2.0,0,,9.0,2024,138
Rachaad White,TAM,3,19,1,2.0,16,5.3,3,1.0,0,,9.0,2024,138
Sterling Shepard,TAM,2,21,0,2.0,19,9.5,2,1.0,0,,9.0,2024,138
Kareem Hunt,KAN,27,106,1,7.0,62,2.3,44,1.6,2,13.5,9.0,2024,138
Carson Steele,KAN,3,9,0,,5,1.7,4,1.3,0,,9.0,2024,138
Patrick Mahomes,KAN,2,9,0,1.0,9,4.5,0,0.0,0,,9.0,2024,138
Xavier Worthy,KAN,2,-10,0,,-10,-5.0,0,0.0,0,,9.0,2024,138
Samaje Perine,KAN,1,10,0,1.0,9,9.0,1,1.0,0,,9.0,2024,138
