Quarter,Time,Down,ToGo,Location,TAM,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,9.0,2024,138
1,15:00,,,TAM 35,0.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,138
1,15:00,1.0,10.0,KAN 30,0.0,0.0,Kareem Hunt up the middle for 5 yards (tackle by K.J. Britt and Vita Vea),0.94,1.07,9.0,2024,138
1,14:32,2.0,5.0,KAN 35,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 4 yards (tackle by Zyon McCollum),1.07,0.89,9.0,2024,138
1,13:57,3.0,1.0,KAN 39,0.0,0.0,Kareem Hunt right guard for 1 yard (tackle by William Gholston),0.89,1.6,9.0,2024,138
1,13:20,1.0,10.0,KAN 40,0.0,0.0,Patrick Mahomes pass complete short middle to Travis Kelce for 11 yards (tackle by K.J. Britt),1.6,2.32,9.0,2024,138
1,12:42,1.0,10.0,TAM 49,0.0,0.0,Kareem Hunt left end for 2 yards (tackle by Tykee Smith),2.32,2.05,9.0,2024,138
1,12:05,2.0,8.0,TAM 47,0.0,0.0,Carson Steele up the middle for 5 yards (tackle by Jordan Whitehead),2.05,2.02,9.0,2024,138
1,11:29,3.0,3.0,TAM 42,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 9 yards (tackle by Jordan Whitehead),2.02,3.38,9.0,2024,138
1,10:47,1.0,10.0,TAM 33,0.0,0.0,"Patrick Mahomes pass complete deep left to Xavier Worthy for 32 yards Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Patrick Mahomes pass incomplete deep left intended for Xavier Worthy",3.38,2.84,9.0,2024,138
1,10:41,2.0,10.0,TAM 33,0.0,0.0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 1 yard (tackle by Zyon McCollum),2.84,2.28,9.0,2024,138
1,10:06,3.0,9.0,TAM 32,0.0,0.0,Patrick Mahomes sacked by Vita Vea for -9 yards,2.28,0.53,9.0,2024,138
