Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,9.0,2024,136
1,15:00,,,LAR 35,0.0,0.0,"Joshua Karty kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,136
1,15:00,1.0,10.0,SEA 30,0.0,0.0,Kenneth Walker right guard for 4 yards (tackle by Bobby Brown and Jared Verse),0.94,0.93,9.0,2024,136
1,14:38,2.0,6.0,SEA 34,0.0,0.0,Geno Smith pass complete short middle to Kenneth Walker for 18 yards (tackle by Kamren Curl),0.93,2.39,9.0,2024,136
1,14:12,1.0,10.0,LAR 48,0.0,0.0,Kenneth Walker right guard for 3 yards (tackle by Kobie Turner and Jaylen McCollough),2.39,2.25,9.0,2024,136
1,13:31,2.0,7.0,LAR 45,0.0,0.0,Kenneth Walker up the middle for 6 yards (tackle by Kobie Turner),2.25,2.34,9.0,2024,136
1,13:10,3.0,1.0,LAR 39,0.0,0.0,Kenneth Walker left guard for no gain (tackle by Byron Young and Braden Fiske),2.34,0.66,9.0,2024,136
1,12:40,4.0,1.0,LAR 39,0.0,0.0,Kenneth Walker left end for 2 yards (tackle by Omar Speights),0.66,3.12,9.0,2024,136
1,12:01,1.0,10.0,LAR 37,0.0,0.0,Geno Smith pass complete short left to Zach Charbonnet for 1 yard (tackle by Kamren Curl),3.12,2.71,9.0,2024,136
1,11:24,2.0,9.0,LAR 36,0.0,0.0,Geno Smith sacked by and Tyler Davis for -4 yards and Michael Hoecht for -4 yards,2.71,1.49,9.0,2024,136
1,10:42,3.0,13.0,LAR 40,0.0,0.0,Geno Smith pass incomplete short right intended for Tyler Lockett,1.49,0.59,9.0,2024,136
1,10:38,4.0,13.0,LAR 40,0.0,0.0,"Michael Dickson punts 29 yards, fair catch by Xavier Smith at LA-11",0.59,0.37,9.0,2024,136
1,10:32,1.0,10.0,LAR 11,0.0,0.0,Matthew Stafford pass complete short middle to Cooper Kupp for 7 yards (tackle by Ernest Jones),-0.37,0.0,9.0,2024,136
1,10:09,2.0,3.0,LAR 18,0.0,0.0,Matthew Stafford pass incomplete short right intended for Cooper Kupp,0.0,-0.6,9.0,2024,136
1,10:05,3.0,3.0,LAR 18,0.0,0.0,Matthew Stafford pass incomplete short middle intended for Demarcus Robinson,-0.6,-2.24,9.0,2024,136
1,10:01,4.0,3.0,LAR 18,0.0,0.0,"Ty Zentner punts 53 yards, returned by Dee Williams for 11 yards (tackle by Xavier Smith)",-2.24,-1.6,9.0,2024,136
1,9:49,1.0,10.0,SEA 40,0.0,0.0,"Geno Smith aborted snap, recovered by Kenneth Walker at SEA-22 and returned for -3 yards (tackle by Christian Rozeboom)",1.6,-1.85,9.0,2024,136
1,9:07,2.0,31.0,SEA 19,0.0,0.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 22 yards (tackle by Cobie Durant),-1.85,0.5,9.0,2024,136
1,8:37,3.0,9.0,SEA 41,0.0,0.0,Geno Smith pass short middle intended for Jaxon Smith-Njigba is intercepted by Jaylen McCollough at 50 and returned for no gain (tackle by Jaxon Smith-Njigba),0.5,-2.26,9.0,2024,136
1,8:31,1.0,10.0,SEA 50,0.0,0.0,Kyren Williams left end for 2 yards (tackle by Josh Jobe and Byron Murphy),2.26,1.98,9.0,2024,136
1,7:53,2.0,8.0,SEA 48,0.0,0.0,Kyren Williams left guard for 1 yard (tackle by Devon Witherspoon),1.98,1.42,9.0,2024,136
1,7:15,3.0,7.0,SEA 47,0.0,0.0,Matthew Stafford pass complete deep right to Demarcus Robinson for 18 yards (tackle by Coby Bryant),1.42,3.64,9.0,2024,136
1,6:37,1.0,10.0,SEA 29,0.0,0.0,"Kyren Williams right end for no gain (tackle by Julian Love). Penalty on Hunter Long: Offensive Holding, 10 yards (accepted) (no play)",3.64,2.98,9.0,2024,136
1,6:11,1.0,20.0,SEA 39,0.0,0.0,Kyren Williams up the middle for 1 yard (tackle by Devon Witherspoon and Jarran Reed),2.98,1.89,9.0,2024,136
1,5:47,2.0,19.0,SEA 38,0.0,0.0,Matthew Stafford pass incomplete deep right intended for Puka Nacua,1.89,1.22,9.0,2024,136
