Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Giants to receive the opening kickoff.",,,9.0,2024,132
1.0,15:00,,,WAS 35,0.0,0.0,"Austin Seibert kicks off 60 yards, returned by Eric Gray for 25 yards (tackle by Tyler Owens and Jeremy Reaves)",0.0,0.94,9.0,2024,132
1.0,14:56,1.0,10.0,NYG 30,0.0,0.0,Tyrone Tracy left guard for 3 yards (tackle by Dorance Armstrong),0.94,0.8,9.0,2024,132
1.0,14:20,2.0,7.0,NYG 33,0.0,0.0,Tyrone Tracy left tackle for 4 yards (tackle by Bobby Wagner),0.8,0.63,9.0,2024,132
1.0,13:44,3.0,3.0,NYG 37,0.0,0.0,Daniel Jones pass complete short right to Theo Johnson for 1 yard (tackle by Jeremy Chinn),0.63,-0.85,9.0,2024,132
1.0,13:01,4.0,2.0,NYG 38,0.0,0.0,Matt Haack punts 32 yards out of bounds,-0.85,-0.94,9.0,2024,132
1.0,12:54,1.0,10.0,WAS 30,0.0,0.0,Austin Ekeler left end for 1 yard (tackle by Brian Burns and Bobby Okereke),0.94,0.53,9.0,2024,132
1.0,12:17,2.0,9.0,WAS 31,0.0,0.0,Austin Ekeler right tackle for 4 yards (tackle by Rakeem Nunez-Roches and Jason Pinnock),0.53,0.37,9.0,2024,132
1.0,11:52,3.0,5.0,WAS 35,0.0,0.0,Jayden Daniels pass incomplete short middle intended for Noah Brown (defended by Adoree' Jackson),0.37,-1.04,9.0,2024,132
1.0,11:48,4.0,5.0,WAS 35,0.0,0.0,"Tress Way punts 56 yards, returned by Ihmir Smith-Marsette for 6 yards (tackle by Nick Bellore). Penalty on Tomon Fox: Defensive Illegal Blindside Block, 7 yards (accepted)",-1.04,0.38,9.0,2024,132
1.0,11:35,1.0,10.0,NYG 8,0.0,0.0,Tyrone Tracy up the middle for 4 yards (tackle by Bobby Wagner),-0.38,-0.49,9.0,2024,132
1.0,11:03,2.0,6.0,NYG 12,0.0,0.0,Tyrone Tracy left guard for 10 yards (tackle by Frankie Luvu and Clelin Ferrell),-0.49,0.41,9.0,2024,132
1.0,10:26,1.0,10.0,NYG 22,0.0,0.0,Daniel Jones right end for 24 yards (tackle by Quan Martin),0.41,1.99,9.0,2024,132
1.0,9:41,1.0,10.0,NYG 46,0.0,0.0,Devin Singletary right guard for 15 yards (tackle by Dante Fowler and Jeremy Chinn),1.99,2.98,9.0,2024,132
1.0,9:01,1.0,10.0,WAS 39,0.0,0.0,Tyrone Tracy left guard for 10 yards (tackle by Frankie Luvu and Percy Butler),2.98,3.64,9.0,2024,132
1.0,8:15,1.0,10.0,WAS 29,0.0,0.0,"Daniel Jones pass incomplete short left intended for Devin Singletary (defended by Dante Fowler) WAS challenged the fumble ruling, and the original play was overturned. Daniel Jones sacked by Dante Fowler for -8 yards. Daniel Jones fumbles (forced by Dante Fowler), recovered by Bobby Wagner at NYG-31 (tackle by Dante Fowler)",3.64,-3.51,9.0,2024,132
1.0,8:15,1.0,10.0,NYG 31,0.0,0.0,Austin Ekeler up the middle for 5 yards (tackle by Micah McFadden and Brian Burns),3.51,3.64,9.0,2024,132
1.0,7:43,2.0,5.0,NYG 26,0.0,0.0,"Jayden Daniels pass incomplete deep right intended for Noah Brown. Penalty on Cordale Flott: Defensive Pass Interference, 22 yards (accepted) (no play)",3.64,6.28,9.0,2024,132
1.0,7:38,1.0,4.0,NYG 4,0.0,0.0,Austin Ekeler left guard for 3 yards (tackle by Tyler Nubin and Dexter Lawrence),6.28,5.91,9.0,2024,132
1.0,7:07,2.0,1.0,NYG 1,6.0,0.0,"Jayden Daniels pass complete short left to Terry McLaurin for 1 yard, touchdown",5.91,7.0,9.0,2024,132
1.0,7:04,,,NYG 15,7.0,0.0,Austin Seibert kicks extra point good,0.0,0.0,9.0,2024,132
1.0,7:04,,,WAS 35,7.0,0.0,"Austin Seibert kicks off 62 yards, returned by Eric Gray for 24 yards (tackle by Mike Sainristil)",0.0,0.74,9.0,2024,132
1.0,6:57,1.0,10.0,NYG 27,7.0,0.0,Devin Singletary up the middle for 4 yards (tackle by Sheldon Day),0.74,0.74,9.0,2024,132
1.0,6:29,2.0,6.0,NYG 31,7.0,0.0,Devin Singletary up the middle for 5 yards (tackle by Jeremy Chinn and Sheldon Day),0.74,0.7,9.0,2024,132
1.0,5:50,3.0,1.0,NYG 36,7.0,0.0,Devin Singletary right guard for 1 yard (tackle by Dorance Armstrong and Daron Payne),0.7,1.4,9.0,2024,132
1.0,5:15,1.0,10.0,NYG 37,7.0,0.0,Tyrone Tracy right guard for 4 yards (tackle by Percy Butler),1.4,1.4,9.0,2024,132
1.0,4:35,2.0,6.0,NYG 41,7.0,0.0,Tyrone Tracy left tackle for 5 yards (tackle by Bobby Wagner and Jeremy Chinn),1.4,1.36,9.0,2024,132
1.0,3:59,3.0,1.0,NYG 46,7.0,0.0,Daniel Jones up the middle for 1 yard (tackle by Daron Payne),1.36,2.06,9.0,2024,132
1.0,3:15,1.0,10.0,NYG 47,7.0,0.0,Tyrone Tracy left guard for 4 yards (tackle by Clelin Ferrell),2.06,2.06,9.0,2024,132
