Unnamed: 0,NOR,CAR,week,year,game_id
First Downs,25,15,9.0,2024,127
Rush-Yds-TDs,41-197-1,23-80-2,9.0,2024,127
Cmp-Att-Yd-TD-INT,18-32-236-1-0,16-26-171-1-1,9.0,2024,127
Sacked-Yards,1-6,1-5,9.0,2024,127
Net Pass Yards,230,166,9.0,2024,127
Total Yards,427,246,9.0,2024,127
Fumbles-Lost,0-0,0-0,9.0,2024,127
Turnovers,0,1,9.0,2024,127
Penalties-Yards,10-109,6-55,9.0,2024,127
Third Down Conv.,5-15,4-10,9.0,2024,127
Fourth Down Conv.,2-3,0-0,9.0,2024,127
Time of Possession,34:19,25:41,9.0,2024,127
