Unnamed: 0,LAC,CLE,week,year,game_id
First Downs,13,21,9.0,2024,129
Rush-Yds-TDs,23-96-2,24-79-0,9.0,2024,129
Cmp-Att-Yd-TD-INT,18-27-282-2-0,26-46-235-1-3,9.0,2024,129
Sacked-Yards,6-36,6-22,9.0,2024,129
Net Pass Yards,246,213,9.0,2024,129
Total Yards,342,292,9.0,2024,129
Fumbles-Lost,0-0,1-0,9.0,2024,129
Turnovers,0,3,9.0,2024,129
Penalties-Yards,5-35,4-25,9.0,2024,129
Third Down Conv.,5-14,6-17,9.0,2024,129
Fourth Down Conv.,1-1,2-3,9.0,2024,129
Time of Possession,25:51,34:09,9.0,2024,129
