Unnamed: 0,NWE,TEN,week,year,game_id
First Downs,20,24,9.0,2024,131
Rush-Yds-TDs,20-110-1,39-167-0,9.0,2024,131
Cmp-Att-Yd-TD-INT,29-41-206-1-2,20-33-240-2-1,9.0,2024,131
Sacked-Yards,4-21,1-7,9.0,2024,131
Net Pass Yards,185,233,9.0,2024,131
Total Yards,295,400,9.0,2024,131
Fumbles-Lost,2-1,3-0,9.0,2024,131
Turnovers,3,1,9.0,2024,131
Penalties-Yards,8-58,10-67,9.0,2024,131
Third Down Conv.,3-11,7-16,9.0,2024,131
Fourth Down Conv.,1-1,0-1,9.0,2024,131
Time of Possession,29:09,38:44,9.0,2024,131
