0,1,week,year,game_id
Won Toss,Panthers (deferred),9.0,2024,127
Roof,outdoors,9.0,2024,127
Surface,grass,9.0,2024,127
Duration,3:06,9.0,2024,127
Attendance,70292,9.0,2024,127
Weather,"66 degrees, relative humidity 48%, wind 7 mph",9.0,2024,127
Vegas Line,New Orleans Saints -7.0,9.0,2024,127
Over/Under,43.5 (over),9.0,2024,127
