Unnamed: 0_level_0,Unnamed: 1_level_0,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Unnamed: 14_level_0
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link
Christian McCaffrey,SFO,3,2,66.67%,12,0,33.3%,1,1,100.00%,6,0,16.7%,All Christian McCaffrey red zone receiving plays
Malik Nabers,NYG,3,1,33.33%,-2,0,50.0%,3,1,33.33%,-2,0,60.0%,All Malik Nabers red zone receiving plays
Marquise Brown,KAN,3,1,33.33%,1,0,60.0%,3,1,33.33%,1,0,60.0%,All Marquise Brown red zone receiving plays
Demario Douglas,NWE,3,1,33.33%,2,1,75.0%,2,1,50.00%,2,1,100.0%,All Demario Douglas red zone receiving plays
Drake London,ATL,2,0,0.00%,0,0,100.0%,2,0,0.00%,0,0,100.0%,All Drake London red zone receiving plays
Ricky Pearsall,SFO,2,0,0.00%,0,0,22.2%,2,0,0.00%,0,0,33.3%,All Ricky Pearsall red zone receiving plays
Josh Palmer,BUF,2,1,50.00%,8,0,22.2%,0,0,,0,0,.0%,All Josh Palmer red zone receiving plays
Mike Gesicki,CIN,2,0,0.00%,0,0,50.0%,1,0,0.00%,0,0,50.0%,All Mike Gesicki red zone receiving plays
Justin Jefferson,MIN,2,1,50.00%,13,1,66.7%,0,0,,0,0,,All Justin Jefferson red zone receiving plays
Khalil Shakir,BUF,2,2,100.00%,9,0,22.2%,1,1,100.00%,3,0,50.0%,All Khalil Shakir red zone receiving plays
Jauan Jennings,SFO,2,0,0.00%,0,0,22.2%,1,0,0.00%,0,0,16.7%,All Jauan Jennings red zone receiving plays
Romeo Doubs,GNB,2,0,0.00%,0,0,33.3%,0,0,,0,0,,All Romeo Doubs red zone receiving plays
Juwan Johnson,NOR,2,0,0.00%,0,0,50.0%,0,0,,0,0,.0%,All Juwan Johnson red zone receiving plays
Amon-Ra St. Brown,DET,2,0,0.00%,0,0,33.3%,1,0,0.00%,0,0,100.0%,All Amon-Ra St. Brown red zone receiving plays
Quentin Johnston,LAC,2,1,50.00%,5,1,66.7%,1,1,100.00%,5,1,100.0%,All Quentin Johnston red zone receiving plays
Keon Coleman,BUF,2,1,50.00%,10,1,22.2%,1,1,100.00%,10,1,50.0%,All Keon Coleman red zone receiving plays
Tyler Warren,IND,2,1,50.00%,4,0,66.7%,1,0,0.00%,0,0,50.0%,All Tyler Warren red zone receiving plays
Chris Olave,NOR,1,0,0.00%,0,0,25.0%,0,0,,0,0,.0%,All Chris Olave red zone receiving plays
Rome Odunze,CHI,1,1,100.00%,1,1,50.0%,1,1,100.00%,1,1,100.0%,All Rome Odunze red zone receiving plays
Jalen Nailor,MIN,1,0,0.00%,0,0,33.3%,0,0,,0,0,,All Jalen Nailor red zone receiving plays
David Montgomery,DET,1,1,100.00%,7,0,16.7%,0,0,,0,0,.0%,All David Montgomery red zone receiving plays
Trey McBride,ARI,1,1,100.00%,4,0,25.0%,1,1,100.00%,4,0,33.3%,All Trey McBride red zone receiving plays
Michael Mayer,LVR,1,1,100.00%,7,0,100.0%,1,1,100.00%,7,0,100.0%,All Michael Mayer red zone receiving plays
Colby Parkinson,LAR,1,1,100.00%,-7,0,50.0%,0,0,,0,0,,All Colby Parkinson red zone receiving plays
Dylan Sampson,CLE,1,1,100.00%,7,0,33.3%,0,0,,0,0,.0%,All Dylan Sampson red zone receiving plays
Alec Pierce,IND,1,0,0.00%,0,0,33.3%,1,0,0.00%,0,0,50.0%,All Alec Pierce red zone receiving plays
Jayden Reed,GNB,1,1,100.00%,17,1,16.7%,0,0,,0,0,,All Jayden Reed red zone receiving plays
Wan'Dale Robinson,NYG,1,0,0.00%,0,0,16.7%,1,0,0.00%,0,0,20.0%,All Wan'Dale Robinson red zone receiving plays
George Kittle,SFO,1,1,100.00%,5,1,11.1%,1,1,100.00%,5,1,16.7%,All George Kittle red zone receiving plays
Trent Sherfield,DEN,1,1,100.00%,3,0,50.0%,0,0,,0,0,,All Trent Sherfield red zone receiving plays
Jonnu Smith,PIT,1,1,100.00%,3,1,33.3%,1,1,100.00%,3,1,50.0%,All Jonnu Smith red zone receiving plays
Courtland Sutton,DEN,1,1,100.00%,5,0,50.0%,0,0,,0,0,,All Courtland Sutton red zone receiving plays
Isaac TeSlaa,DET,1,1,100.00%,13,1,16.7%,0,0,,0,0,.0%,All Isaac TeSlaa red zone receiving plays
Cedric Tillman,CLE,1,1,100.00%,5,1,33.3%,1,1,100.00%,5,1,100.0%,All Cedric Tillman red zone receiving plays
Jalen Tolbert,DAL,1,0,0.00%,0,0,100.0%,0,0,,0,0,,All Jalen Tolbert red zone receiving plays
Jake Tonges,SFO,1,1,100.00%,4,1,11.1%,1,1,100.00%,4,1,16.7%,All Jake Tonges red zone receiving plays
Devaughn Vele,NOR,1,0,0.00%,0,0,25.0%,1,0,0.00%,0,0,100.0%,All Devaughn Vele red zone receiving plays
Jaylen Waddle,MIA,1,0,0.00%,0,0,33.3%,1,0,0.00%,0,0,50.0%,All Jaylen Waddle red zone receiving plays
Jaylen Warren,PIT,1,1,100.00%,5,1,33.3%,1,1,100.00%,5,1,50.0%,All Jaylen Warren red zone receiving plays
Savion Williams,GNB,1,1,100.00%,1,0,16.7%,0,0,,0,0,,All Savion Williams red zone receiving plays
Olamide Zaccheaus,CHI,1,1,100.00%,7,0,50.0%,0,0,,0,0,.0%,All Olamide Zaccheaus red zone receiving plays
Noah Fant,CIN,1,1,100.00%,1,1,25.0%,1,1,100.00%,1,1,50.0%,All Noah Fant red zone receiving plays
Davis Allen,LAR,1,1,100.00%,13,1,50.0%,0,0,,0,0,,All Davis Allen red zone receiving plays
Keenan Allen,LAC,1,1,100.00%,11,1,33.3%,0,0,,0,0,.0%,All Keenan Allen red zone receiving plays
Calvin Austin,PIT,1,1,100.00%,18,1,33.3%,0,0,,0,0,.0%,All Calvin Austin red zone receiving plays
Saquon Barkley,PHI,1,1,100.00%,3,0,100.0%,0,0,,0,0,,All Saquon Barkley red zone receiving plays
Daniel Bellinger,NYG,1,1,100.00%,14,0,16.7%,0,0,,0,0,.0%,All Daniel Bellinger red zone receiving plays
Chris Brooks,GNB,1,1,100.00%,2,0,16.7%,0,0,,0,0,,All Chris Brooks red zone receiving plays
Chase Brown,CIN,1,0,0.00%,0,0,25.0%,0,0,,0,0,.0%,All Chase Brown red zone receiving plays
Jason Brownlee,KAN,1,0,0.00%,0,0,20.0%,1,0,0.00%,0,0,20.0%,All Jason Brownlee red zone receiving plays
Noah Brown,WAS,1,0,0.00%,0,0,50.0%,0,0,,0,0,.0%,All Noah Brown red zone receiving plays
Nico Collins,HOU,1,0,0.00%,0,0,100.0%,0,0,,0,0,,All Nico Collins red zone receiving plays
James Conner,ARI,1,1,100.00%,4,1,25.0%,1,1,100.00%,4,1,33.3%,All James Conner red zone receiving plays
Tanner Conner,MIA,1,0,0.00%,0,0,33.3%,1,0,0.00%,0,0,50.0%,All Tanner Conner red zone receiving plays
Ray Davis,BUF,1,1,100.00%,-1,0,11.1%,0,0,,0,0,.0%,All Ray Davis red zone receiving plays
Zach Ertz,WAS,1,1,100.00%,7,1,50.0%,1,1,100.00%,7,1,100.0%,All Zach Ertz red zone receiving plays
Harold Fannin,CLE,1,1,100.00%,1,0,33.3%,0,0,,0,0,.0%,All Harold Fannin red zone receiving plays
Hunter Long,JAX,1,1,100.00%,6,1,50.0%,1,1,100.00%,6,1,50.0%,All Hunter Long red zone receiving plays
Jahmyr Gibbs,DET,1,1,100.00%,5,0,16.7%,0,0,,0,0,.0%,All Jahmyr Gibbs red zone receiving plays
Marvin Harrison,ARI,1,1,100.00%,1,1,25.0%,1,1,100.00%,1,1,33.3%,All Marvin Harrison red zone receiving plays
Elijah Higgins,ARI,1,0,0.00%,0,0,25.0%,0,0,,0,0,.0%,All Elijah Higgins red zone receiving plays
Austin Hooper,NWE,1,1,100.00%,10,0,25.0%,0,0,,0,0,.0%,All Austin Hooper red zone receiving plays
Travis Hunter,JAX,1,1,100.00%,4,0,50.0%,1,1,100.00%,4,0,50.0%,All Travis Hunter red zone receiving plays
Bucky Irving,TAM,1,1,100.00%,9,1,100.0%,1,1,100.00%,9,1,100.0%,All Bucky Irving red zone receiving plays
Theo Johnson,NYG,1,0,0.00%,0,0,16.7%,1,0,0.00%,0,0,20.0%,All Theo Johnson red zone receiving plays
Ty Johnson,BUF,1,0,0.00%,0,0,11.1%,0,0,,0,0,.0%,All Ty Johnson red zone receiving plays
Travis Kelce,KAN,1,0,0.00%,0,0,20.0%,1,0,0.00%,0,0,20.0%,All Travis Kelce red zone receiving plays
Dalton Kincaid,BUF,1,1,100.00%,15,1,11.1%,0,0,,0,0,.0%,All Dalton Kincaid red zone receiving plays
De'Von Achane,MIA,1,1,100.00%,11,1,33.3%,0,0,,0,0,.0%,All De'Von Achane red zone receiving plays
Tucker Kraft,GNB,1,1,100.00%,15,1,16.7%,0,0,,0,0,,All Tucker Kraft red zone receiving plays
Sam LaPorta,DET,1,0,0.00%,0,0,16.7%,0,0,,0,0,.0%,All Sam LaPorta red zone receiving plays
Xavier Legette,CAR,1,0,0.00%,0,0,100.0%,1,0,0.00%,0,0,100.0%,All Xavier Legette red zone receiving plays
