Unnamed: 0,LVR,CHI,week,year,game_id
First Downs,20,23,7.0,2023,98
Rush-Yds-TDs,14-39-0,38-173-2,7.0,2023,98
Cmp-Att-Yd-TD-INT,27-45-204-1-3,21-29-162-1-0,7.0,2023,98
Sacked-Yards,1-8,2-12,7.0,2023,98
Net Pass Yards,196,150,7.0,2023,98
Total Yards,235,323,7.0,2023,98
Fumbles-Lost,0-0,1-0,7.0,2023,98
Turnovers,3,0,7.0,2023,98
Penalties-Yards,2-15,9-110,7.0,2023,98
Third Down Conv.,2-9,8-13,7.0,2023,98
Fourth Down Conv.,2-2,0-1,7.0,2023,98
Time of Possession,25:54,34:06,7.0,2023,98
