Unnamed: 0,BUF,NWE,week,year,game_id
First Downs,24,21,7.0,2023,97
Rush-Yds-TDs,24-81-1,24-96-1,7.0,2023,97
Cmp-Att-Yd-TD-INT,27-41-265-2-1,25-30-272-2-0,7.0,2023,97
Sacked-Yards,1-7,1-4,7.0,2023,97
Net Pass Yards,258,268,7.0,2023,97
Total Yards,339,364,7.0,2023,97
Fumbles-Lost,1-1,1-1,7.0,2023,97
Turnovers,2,1,7.0,2023,97
Penalties-Yards,9-46,8-59,7.0,2023,97
Third Down Conv.,5-12,4-9,7.0,2023,97
Fourth Down Conv.,2-3,0-0,7.0,2023,97
Time of Possession,32:14,27:46,7.0,2023,97
