Unnamed: 0,SFO,MIN,week,year,game_id
First Downs,19,24,7.0,2023,106
Rush-Yds-TDs,22-65-1,21-74-0,7.0,2023,106
Cmp-Att-Yd-TD-INT,21-30-272-1-2,35-45-378-2-1,7.0,2023,106
Sacked-Yards,1-12,0-0,7.0,2023,106
Net Pass Yards,260,378,7.0,2023,106
Total Yards,325,452,7.0,2023,106
Fumbles-Lost,1-1,0-0,7.0,2023,106
Turnovers,3,1,7.0,2023,106
Penalties-Yards,5-37,5-35,7.0,2023,106
Third Down Conv.,5-9,8-13,7.0,2023,106
Fourth Down Conv.,1-1,0-0,7.0,2023,106
Time of Possession,25:04,34:56,7.0,2023,106
