Unnamed: 0,LAC,KAN,week,year,game_id
First Downs,16,25,7.0,2023,104
Rush-Yds-TDs,26-139-1,21-68-0,7.0,2023,104
Cmp-Att-Yd-TD-INT,17-30-259-1-2,32-42-424-4-1,7.0,2023,104
Sacked-Yards,5-40,1-9,7.0,2023,104
Net Pass Yards,219,415,7.0,2023,104
Total Yards,358,483,7.0,2023,104
Fumbles-Lost,0-0,1-1,7.0,2023,104
Turnovers,2,2,7.0,2023,104
Penalties-Yards,4-43,6-43,7.0,2023,104
Third Down Conv.,6-14,6-11,7.0,2023,104
Fourth Down Conv.,1-1,0-0,7.0,2023,104
Time of Possession,28:20,31:40,7.0,2023,104
