Quarter,Time,Down,ToGo,Location,BUF,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Patriots to receive the opening kickoff.",,,7.0,2023,97
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,97
1.0,15:00,1.0,10.0,NWE 25,0.0,0.0,Mac Jones pass complete short left to Demario Douglas for 9 yards (tackle by Dane Jackson),0.61,1.28,7.0,2023,97
1.0,14:26,2.0,1.0,NWE 34,0.0,0.0,Mac Jones up the middle for 5 yards (tackle by Taron Johnson),1.28,1.53,7.0,2023,97
1.0,13:48,1.0,10.0,NWE 39,0.0,0.0,Mac Jones pass complete short middle to Tyquan Thornton for 2 yards (tackle by Dorian Williams and Jordan Poyer),1.53,1.26,7.0,2023,97
1.0,13:11,2.0,8.0,NWE 41,0.0,0.0,Rhamondre Stevenson right guard for 14 yards (tackle by Poona Ford and Micah Hyde),1.26,2.59,7.0,2023,97
1.0,12:38,1.0,10.0,BUF 45,0.0,0.0,Mac Jones pass complete short right to Pharaoh Brown for 25 yards (tackle by Dorian Williams and Terrel Bernard),2.59,4.24,7.0,2023,97
1.0,11:57,1.0,10.0,BUF 20,0.0,0.0,Rhamondre Stevenson right guard for 5 yards (tackle by Dorian Williams),4.24,4.45,7.0,2023,97
1.0,11:22,2.0,5.0,BUF 15,0.0,0.0,Rhamondre Stevenson right guard for 1 yard (tackle by A.J. Epenesa and Dorian Williams),4.45,3.89,7.0,2023,97
1.0,10:46,3.0,4.0,BUF 14,0.0,0.0,Rhamondre Stevenson right guard for 2 yards (tackle by Tim Settle),3.89,2.76,7.0,2023,97
1.0,10:05,4.0,2.0,BUF 12,0.0,3.0,Chad Ryland 30 yard field goal good,2.76,3.0,7.0,2023,97
1.0,10:02,,,NWE 35,0.0,3.0,"Chad Ryland kicks off 65 yards, returned by Ty Johnson for 24 yards (tackle by Adrian Phillips and Chris Board)",0.0,0.54,7.0,2023,97
1.0,9:55,1.0,10.0,BUF 24,0.0,3.0,Josh Allen pass deep right intended for Dawson Knox is intercepted by Jabrill Peppers at BUF-46 and returned for 1 yard (tackle by Dalton Kincaid),0.54,-2.59,7.0,2023,97
1.0,9:47,1.0,10.0,BUF 45,0.0,3.0,Mac Jones pass incomplete short left intended for Ezekiel Elliott,2.59,2.04,7.0,2023,97
1.0,9:42,2.0,10.0,BUF 45,0.0,3.0,Mac Jones pass complete short right to Demario Douglas for 10 yards (tackle by Dane Jackson),2.04,3.25,7.0,2023,97
1.0,9:07,1.0,10.0,BUF 35,0.0,3.0,Ezekiel Elliott up the middle for 7 yards (tackle by Dorian Williams),3.25,3.65,7.0,2023,97
1.0,8:29,2.0,3.0,BUF 28,0.0,3.0,Ezekiel Elliott up the middle for 2 yards (tackle by Terrel Bernard),3.65,3.2,7.0,2023,97
1.0,7:54,3.0,1.0,BUF 26,0.0,3.0,"Mac Jones pass complete deep right to Demario Douglas for 16 yards (tackle by Taron Johnson). Penalty on Taron Johnson: Defensive Pass Interference, 15 yards (declined)",3.2,4.91,7.0,2023,97
1.0,7:35,1.0,10.0,BUF 10,0.0,3.0,Ezekiel Elliott up the middle for 8 yards (tackle by Terrel Bernard),4.91,5.72,7.0,2023,97
1.0,7:05,2.0,2.0,BUF 2,0.0,9.0,"Ezekiel Elliott up the middle for 2 yards, touchdown",5.72,7.0,7.0,2023,97
1.0,6:58,,,BUF 15,0.0,10.0,Chad Ryland kicks extra point good,0.0,0.0,7.0,2023,97
1.0,6:58,,,NWE 35,0.0,10.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,97
1.0,6:58,1.0,10.0,BUF 25,0.0,10.0,James Cook up the middle for 4 yards (tackle by Davon Godchaux and Deatrich Wise),0.61,0.6,7.0,2023,97
1.0,6:20,2.0,6.0,BUF 29,0.0,10.0,Josh Allen pass complete short right to Khalil Shakir for 5 yards (tackle by Myles Bryant),0.6,0.56,7.0,2023,97
1.0,5:41,3.0,1.0,BUF 34,0.0,10.0,"Josh Allen up the middle for no gain. Penalty on O'Cyrus Torrence: Offensive Offside, 4 yards (accepted) (no play)",0.56,0.04,7.0,2023,97
1.0,5:16,3.0,5.0,BUF 30,0.0,10.0,Josh Allen pass complete deep left to James Cook for 28 yards (tackle by Kyle Dugger),0.04,2.79,7.0,2023,97
1.0,4:28,1.0,10.0,NWE 42,0.0,10.0,James Cook up the middle for 3 yards (tackle by Davon Godchaux and Jahlani Tavai),2.79,2.65,7.0,2023,97
1.0,3:45,2.0,7.0,NWE 39,0.0,10.0,Josh Allen pass incomplete deep right intended for Gabriel Davis,2.65,1.95,7.0,2023,97
1.0,3:35,3.0,7.0,NWE 39,0.0,10.0,Josh Allen scrambles up the middle for 1 yard (tackle by Anfernee Jennings),1.95,0.72,7.0,2023,97
1.0,3:35,4.0,6.0,NWE 38,0.0,10.0,"Penalty on Jalen Mills: Illegal Contact, 5 yards (accepted) (no play)",0.72,3.38,7.0,2023,97
1.0,3:03,1.0,10.0,NWE 33,0.0,10.0,Josh Allen pass complete short left to James Cook for 10 yards (tackle by Deatrich Wise),3.38,4.04,7.0,2023,97
1.0,2:20,1.0,10.0,NWE 23,0.0,10.0,Josh Allen pass complete short right to Stefon Diggs for 6 yards (tackle by Myles Bryant),4.04,4.38,7.0,2023,97
1.0,1:36,2.0,4.0,NWE 17,0.0,10.0,James Cook left end for 6 yards (tackle by Jonathan Jones),4.38,4.84,7.0,2023,97
1.0,0:56,1.0,10.0,NWE 11,0.0,10.0,Latavius Murray up the middle for 3 yards (tackle by Anfernee Jennings and Jabrill Peppers),4.84,4.7,7.0,2023,97
1.0,0:06,2.0,7.0,NWE 8,0.0,10.0,Josh Allen pass incomplete short left intended for Stefon Diggs,4.7,3.76,7.0,2023,97
1.0,0:06,3.0,7.0,NWE 8,0.0,10.0,"Josh Allen pass complete short middle to Dawson Knox for no gain, touchdown. Penalty on Latavius Murray: Offensive Pass Interference, 10 yards (accepted) (no play)",3.76,2.68,7.0,2023,97
2.0,15:00,3.0,17.0,NWE 18,0.0,10.0,Josh Allen pass incomplete deep right intended for Gabriel Davis,2.68,2.25,7.0,2023,97
