Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,7.0,2023,102
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 57 yards, out of bounds",0.0,1.6,7.0,2023,102
1.0,15:00,1.0,10.0,ARI 40,0.0,0.0,Joshua Dobbs pass complete short middle to Geoff Swaim for 8 yards (tackle by Bobby Wagner),1.6,2.13,7.0,2023,102
1.0,14:30,2.0,2.0,ARI 48,0.0,0.0,Joshua Dobbs pass incomplete short left intended for Trey McBride,2.13,1.42,7.0,2023,102
1.0,14:24,3.0,2.0,ARI 48,0.0,0.0,Joshua Dobbs left end for 2 yards (tackle by Dre'Mont Jones),1.42,2.26,7.0,2023,102
1.0,13:51,1.0,10.0,ARI 50,0.0,0.0,Emari Demercado up the middle for no gain (tackle by Jamal Adams),2.26,1.71,7.0,2023,102
1.0,13:15,2.0,10.0,ARI 50,0.0,0.0,Rondale Moore left end for 5 yards (tackle by Jamal Adams),1.71,1.69,7.0,2023,102
1.0,12:30,3.0,5.0,SEA 45,0.0,0.0,"Joshua Dobbs pass incomplete short right intended for Rondale Moore (defended by Quandre Diggs) Penalty on ARI: Illegal Formation, 5 yards (declined)",1.69,0.27,7.0,2023,102
1.0,12:25,4.0,5.0,SEA 45,0.0,0.0,"Blake Gillikin punts 29 yards downed by Geoff Swaim. Penalty on Derick Hall: Offensive Holding, 8 yards (accepted)",0.27,0.38,7.0,2023,102
1.0,12:17,1.0,10.0,SEA 8,0.0,0.0,Kenneth Walker right guard for 3 yards (tackle by Leki Fotu),-0.38,-0.56,7.0,2023,102
1.0,11:48,2.0,7.0,SEA 11,0.0,0.0,Geno Smith pass complete short right to Kenneth Walker for no gain (tackle by Starling Thomas),-0.56,-1.07,7.0,2023,102
1.0,11:09,3.0,7.0,SEA 11,0.0,0.0,Geno Smith pass complete deep left to Jake Bobo for 31 yards (tackle by Marco Wilson),-1.07,1.73,7.0,2023,102
1.0,10:19,1.0,10.0,SEA 42,0.0,0.0,Kenneth Walker left guard for 9 yards (tackle by Andre Chachere),1.73,2.4,7.0,2023,102
1.0,9:43,2.0,1.0,ARI 49,0.0,0.0,Kenneth Walker right end for 3 yards (tackle by Budda Baker),2.4,2.52,7.0,2023,102
1.0,8:57,,,,,,Timeout #1 by Seattle Seahawks,,,7.0,2023,102
1.0,8:57,1.0,10.0,ARI 46,0.0,0.0,Kenneth Walker left guard for 5 yards (tackle by Leki Fotu),2.52,2.65,7.0,2023,102
1.0,8:23,2.0,5.0,ARI 41,0.0,0.0,Geno Smith sacked by Zaven Collins for -10 yards,2.65,0.63,7.0,2023,102
1.0,7:38,3.0,15.0,SEA 49,0.0,0.0,Geno Smith pass complete short right to DeeJay Dallas for no gain (tackle by Josh Woods and Kyzir White),0.63,-0.13,7.0,2023,102
1.0,6:57,4.0,15.0,SEA 49,0.0,0.0,"Michael Dickson punts 46 yards, returned by Greg Dortch for 8 yards (tackle by Nick Bellore and Derick Hall)",-0.13,0.32,7.0,2023,102
1.0,6:48,1.0,10.0,ARI 13,0.0,0.0,Joshua Dobbs pass incomplete short left intended for Trey McBride,-0.32,-0.77,7.0,2023,102
1.0,6:44,2.0,10.0,ARI 13,0.0,0.0,Emari Demercado left tackle for 5 yards (tackle by Mario Edwards and Jordyn Brooks),-0.77,-0.83,7.0,2023,102
1.0,6:03,3.0,5.0,ARI 18,0.0,0.0,Joshua Dobbs pass incomplete short right intended for Rondale Moore,-0.83,-2.24,7.0,2023,102
1.0,5:58,4.0,5.0,ARI 18,0.0,0.0,"Blake Gillikin punts 48 yards, returned by DeeJay Dallas for 5 yards (tackle by Krys Barnes and Dennis Gardeck)",-2.24,-1.53,7.0,2023,102
1.0,5:48,1.0,10.0,SEA 39,0.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 8 yards (tackle by Starling Thomas),1.53,2.07,7.0,2023,102
1.0,5:28,2.0,2.0,SEA 47,0.0,0.0,Kenneth Walker right end for 25 yards (tackle by Budda Baker),2.07,3.71,7.0,2023,102
1.0,4:53,1.0,10.0,ARI 28,0.0,6.0,"Geno Smith pass complete deep middle to Jaxon Smith-Njigba for 28 yards, touchdown",3.71,7.0,7.0,2023,102
1.0,4:47,,,ARI 15,0.0,7.0,Jason Myers kicks extra point good,0.0,0.0,7.0,2023,102
1.0,4:47,,,SEA 35,0.0,7.0,"Jason Myers kicks off 61 yards, returned by Greg Dortch for 15 yards (tackle by Jon Rhattigan)",0.0,0.15,7.0,2023,102
1.0,4:42,1.0,10.0,ARI 19,0.0,7.0,Joshua Dobbs right end for 1 yard (tackle by Bobby Wagner),0.15,-0.2,7.0,2023,102
1.0,3:59,2.0,9.0,ARI 20,0.0,7.0,Joshua Dobbs scrambles up the middle for no gain (tackle by Bobby Wagner) (no play),-0.2,-1.0,7.0,2023,102
1.0,3:39,2.0,14.0,ARI 15,0.0,7.0,Joshua Dobbs pass incomplete short left intended for Marquise Brown (defended by Darrell Taylor),-1.0,-1.76,7.0,2023,102
1.0,3:36,3.0,14.0,ARI 15,0.0,7.0,Joshua Dobbs pass incomplete deep left intended for Marquise Brown (defended by Devon Witherspoon),-1.76,-2.44,7.0,2023,102
1.0,3:30,4.0,14.0,ARI 15,0.0,7.0,"Blake Gillikin punts 57 yards, returned by DeeJay Dallas for 4 yards. DeeJay Dallas fumbles (forced by Joey Blount), recovered by Dennis Gardeck at SEA-32 and returned for 2 yards (tackle by Cody Thompson)",-2.44,3.58,7.0,2023,102
1.0,3:19,1.0,10.0,SEA 30,0.0,7.0,Emari Demercado left tackle for 1 yard (tackle by Jarran Reed and Dre'Mont Jones),3.58,3.17,7.0,2023,102
1.0,2:40,2.0,9.0,SEA 29,0.0,7.0,Joshua Dobbs pass complete short left to Emari Demercado for 3 yards (tackle by Riq Woolen),3.17,2.87,7.0,2023,102
1.0,2:04,3.0,6.0,SEA 26,0.0,7.0,"Joshua Dobbs pass complete short left to Emari Demercado for no gain. Emari Demercado fumbles (forced by Julian Love), recovered by Marquise Brown at SEA-21 SEA challenged the fumble ruling, and the original play was overturned. Joshua Dobbs pass incomplete short left intended for Emari Demercado (defended by Julian Love)",2.87,1.76,7.0,2023,102
1.0,2:01,4.0,6.0,SEA 26,3.0,7.0,Matt Prater 44 yard field goal good,1.76,3.0,7.0,2023,102
1.0,1:57,,,ARI 35,3.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,102
1.0,1:57,1.0,10.0,SEA 25,3.0,7.0,Kenneth Walker up the middle for 3 yards (tackle by Leki Fotu and Jonathan Ledbetter),0.61,0.47,7.0,2023,102
1.0,1:20,2.0,7.0,SEA 28,3.0,7.0,Geno Smith pass complete short left to Kenneth Walker for 6 yards (tackle by Marco Wilson),0.47,0.56,7.0,2023,102
1.0,0:47,3.0,1.0,SEA 34,3.0,7.0,"Penalty on Damien Lewis: Offensive Offside, 4 yards (accepted) (no play)",0.56,0.04,7.0,2023,102
1.0,0:32,3.0,5.0,SEA 30,3.0,7.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 10 yards (tackle by Andre Chachere),0.04,1.6,7.0,2023,102
2.0,15:00,1.0,10.0,SEA 40,3.0,7.0,Kenneth Walker left guard for 6 yards (tackle by Kevin Strong and Cameron Thomas),1.6,1.86,7.0,2023,102
2.0,14:19,2.0,4.0,SEA 46,3.0,7.0,Kenneth Walker left tackle for 2 yards (tackle by Andre Chachere and Dennis Gardeck),1.86,1.42,7.0,2023,102
2.0,13:48,3.0,2.0,SEA 48,3.0,7.0,Geno Smith pass incomplete short middle intended for Jaxon Smith-Njigba (defended by Kyzir White),1.42,-0.19,7.0,2023,102
2.0,13:45,4.0,2.0,SEA 48,3.0,7.0,"Michael Dickson punts 52 yards, touchback.",-0.19,-0.28,7.0,2023,102
2.0,13:38,1.0,10.0,ARI 20,3.0,7.0,Emari Demercado left guard for 4 yards (tackle by Jamal Adams),0.28,0.27,7.0,2023,102
2.0,13:05,2.0,6.0,ARI 24,3.0,7.0,Joshua Dobbs pass complete short middle to Zach Ertz for 9 yards (tackle by Jordyn Brooks),0.27,1.14,7.0,2023,102
2.0,12:28,1.0,10.0,ARI 33,3.0,7.0,Emari Demercado left end for 18 yards (tackle by Devon Witherspoon),1.14,2.32,7.0,2023,102
2.0,12:01,1.0,10.0,SEA 49,3.0,7.0,Emari Demercado right guard for 1 yard (tackle by Bobby Wagner and Uchenna Nwosu),2.32,1.92,7.0,2023,102
2.0,11:23,2.0,9.0,SEA 48,3.0,7.0,Damien Williams left guard for 2 yards (tackle by Boye Mafe),1.92,1.49,7.0,2023,102
2.0,10:43,3.0,7.0,SEA 46,3.0,7.0,Joshua Dobbs pass complete short left to Michael Wilson for 11 yards (tackle by Julian Love),1.49,3.25,7.0,2023,102
2.0,10:08,1.0,10.0,SEA 35,3.0,7.0,Rondale Moore left end for 15 yards (tackle by Quandre Diggs),3.25,4.24,7.0,2023,102
2.0,9:32,1.0,10.0,SEA 20,3.0,7.0,"Joshua Dobbs pass deep right is intercepted by Devon Witherspoon at SEA-2 and returned for 12 yards (tackle by Paris Johnson and Trey McBride). Penalty on Jordyn Brooks: Unnecessary Roughness / Defense, 15 yards (declined) . Penalty on Boye Mafe: Roughing the Passer, 10 yards (accepted) . Penalty on D.J. Humphries: Disqualification / Offense, 15 yards (accepted) (no play)",4.24,3.91,7.0,2023,102
2.0,9:18,1.0,25.0,SEA 25,9.0,7.0,"Joshua Dobbs left end for 25 yards, touchdown",3.91,7.0,7.0,2023,102
2.0,9:11,,,SEA 15,10.0,7.0,Matt Prater kicks extra point good,0.0,0.0,7.0,2023,102
2.0,9:11,,,ARI 35,10.0,7.0,"Matt Prater kicks off 65 yards, returned by DeeJay Dallas for 24 yards (tackle by Owen Pappoe and Zeke Turner)",0.0,0.54,7.0,2023,102
