Quarter,Time,Tm,Detail,ARI,SEA,week,year,game_id
1.0,4:47,Seahawks,Jaxon Smith-Njigba 28 yard pass from Geno Smith (Jason Myers kick),0,7,7.0,2023,102
,1:57,Cardinals,Matt Prater 44 yard field goal,3,7,7.0,2023,102
2.0,9:11,Cardinals,Joshua Dobbs 25 yard rush (Matt Prater kick),10,7,7.0,2023,102
,4:41,Seahawks,Jake Bobo 18 yard pass from Geno Smith (Jason Myers kick),10,14,7.0,2023,102
3.0,7:37,Seahawks,Jason Myers 21 yard field goal,10,17,7.0,2023,102
4.0,2:17,Seahawks,Jason Myers 48 yard field goal,10,20,7.0,2023,102
