Quarter,Time,Down,ToGo,Location,PIT,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,,7.0,2023,101
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,101
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Kenny Pickett pass complete short right to Najee Harris for 8 yards (tackle by Cobie Durant),0.61,1.14,7.0,2023,101
1.0,14:22,2.0,2.0,PIT 33,0.0,0.0,Kenny Pickett sacked by Michael Hoecht for -5 yards,1.14,-0.23,7.0,2023,101
1.0,13:50,3.0,7.0,PIT 28,0.0,0.0,Kenny Pickett pass incomplete short left intended for George Pickens,-0.23,-1.5,7.0,2023,101
1.0,13:45,4.0,7.0,PIT 28,0.0,0.0,"Pressley Harvin punts 35 yards, fair catch by Austin Trammell at LA-37",-1.5,-1.4,7.0,2023,101
1.0,13:38,1.0,10.0,LAR 37,0.0,0.0,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,1.4,0.86,7.0,2023,101
1.0,13:35,2.0,10.0,LAR 37,0.0,0.0,Darrell Henderson up the middle for 16 yards (tackle by Cole Holcomb and Kwon Alexander),0.86,2.46,7.0,2023,101
1.0,12:53,1.0,10.0,PIT 47,0.0,0.0,Darrell Henderson right guard for 6 yards (tackle by Patrick Peterson),2.46,2.72,7.0,2023,101
1.0,12:10,2.0,4.0,PIT 41,0.0,0.0,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,2.72,2.01,7.0,2023,101
1.0,12:05,3.0,4.0,PIT 41,0.0,0.0,"Matthew Stafford scrambles up the middle for no gain. Penalty on Kevin Dotson: Offensive Holding, 10 yards (accepted) (no play)",2.01,0.7,7.0,2023,101
1.0,11:36,3.0,14.0,LAR 49,0.0,0.0,Matthew Stafford sacked by Larry Ogunjobi for -6 yards,0.7,-0.52,7.0,2023,101
1.0,10:53,4.0,20.0,LAR 43,0.0,0.0,"Ethan Evans punts 42 yards, returned by Calvin Austin for 6 yards (tackle by Christian Rozeboom)",-0.52,-0.34,7.0,2023,101
1.0,10:43,1.0,10.0,PIT 21,0.0,0.0,"Najee Harris up the middle for 6 yards. Najee Harris fumbles (forced by Michael Hoecht), recovered by Isaac Seumalo at PIT-32 (tackle by Michael Hoecht) (tackle by Christian Rozeboom) (tackle by Michael Hoecht)",0.34,1.07,7.0,2023,101
1.0,9:57,1.0,10.0,PIT 32,0.0,0.0,Jaylen Warren up the middle for 3 yards (tackle by Aaron Donald and Ernest Jones),1.07,0.93,7.0,2023,101
1.0,9:26,2.0,7.0,PIT 35,0.0,0.0,Kenny Pickett pass complete short left to George Pickens for 17 yards (tackle by Ernest Jones and Russ Yeast),0.93,2.39,7.0,2023,101
1.0,8:45,1.0,10.0,LAR 48,0.0,0.0,Najee Harris left tackle for 6 yards (tackle by Ernest Jones and Cobie Durant),2.39,2.66,7.0,2023,101
1.0,8:07,2.0,4.0,LAR 42,0.0,0.0,"Najee Harris right tackle for -5 yards (tackle by Jordan Fuller). Penalty on Connor Heyward: Offensive Holding, 10 yards (declined)",2.66,1.29,7.0,2023,101
1.0,7:40,3.0,9.0,LAR 47,0.0,0.0,Kenny Pickett pass incomplete deep right intended for George Pickens,1.29,0.13,7.0,2023,101
1.0,7:37,4.0,9.0,LAR 47,0.0,0.0,Pressley Harvin punts 41 yards downed by James Pierre,0.13,0.38,7.0,2023,101
1.0,7:28,1.0,10.0,LAR 6,0.0,0.0,Matthew Stafford pass incomplete short left intended for Tutu Atwell,-0.38,-0.78,7.0,2023,101
1.0,7:24,2.0,10.0,LAR 6,0.0,0.0,Royce Freeman up the middle for 9 yards (tackle by Minkah Fitzpatrick),-0.78,-0.37,7.0,2023,101
1.0,6:50,3.0,1.0,LAR 15,0.0,0.0,Royce Freeman up the middle for 4 yards (tackle by Patrick Peterson and Larry Ogunjobi),-0.37,0.15,7.0,2023,101
1.0,6:30,1.0,10.0,LAR 19,0.0,0.0,Matthew Stafford pass complete short middle to Puka Nacua for 30 yards (tackle by Damontae Kazee),0.15,2.19,7.0,2023,101
1.0,5:52,1.0,10.0,LAR 49,0.0,0.0,Royce Freeman up the middle for 11 yards (tackle by Damontae Kazee),2.19,2.92,7.0,2023,101
1.0,5:08,1.0,10.0,PIT 40,0.0,0.0,Matthew Stafford pass incomplete short left intended for Tyler Higbee,2.92,2.37,7.0,2023,101
1.0,4:56,2.0,10.0,PIT 40,0.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 5 yards (tackle by Kwon Alexander),2.37,2.34,7.0,2023,101
1.0,4:19,3.0,5.0,PIT 35,0.0,0.0,Royce Freeman right guard for 1 yard (tackle by Minkah Fitzpatrick),2.34,1.08,7.0,2023,101
1.0,3:40,4.0,4.0,PIT 34,0.0,0.0,Brett Maher 53 yard field goal no good,1.08,-1.8,7.0,2023,101
1.0,3:35,1.0,10.0,PIT 43,0.0,0.0,Kenny Pickett pass complete short right to Diontae Johnson for 14 yards (tackle by Cobie Durant),1.8,2.72,7.0,2023,101
1.0,2:58,1.0,10.0,LAR 43,0.0,0.0,Najee Harris right tackle for 6 yards (tackle by Michael Hoecht),2.72,2.99,7.0,2023,101
1.0,2:18,2.0,4.0,LAR 37,0.0,0.0,Najee Harris left tackle for 9 yards (tackle by Desjuan Johnson and Jordan Fuller),2.99,3.71,7.0,2023,101
1.0,1:31,1.0,10.0,LAR 28,0.0,0.0,"Kenny Pickett sacked by Michael Hoecht for -11 yards. Penalty on Jaylen Warren: Offensive Holding, 10 yards (declined)",3.71,1.68,7.0,2023,101
1.0,1:14,2.0,21.0,LAR 39,0.0,0.0,Kenny Pickett pass complete short middle to Connor Heyward for 12 yards (tackle by Jordan Fuller),1.68,2.61,7.0,2023,101
