Unnamed: 0,JAX,NOR,week,year,game_id
First Downs,18,25,7.0,2023,94
Rush-Yds-TDs,26-113-2,31-112-1,7.0,2023,94
Cmp-Att-Yd-TD-INT,21-30-217-1-0,33-55-301-1-1,7.0,2023,94
Sacked-Yards,0-0,1-6,7.0,2023,94
Net Pass Yards,217,295,7.0,2023,94
Total Yards,330,407,7.0,2023,94
Fumbles-Lost,2-2,1-0,7.0,2023,94
Turnovers,2,1,7.0,2023,94
Penalties-Yards,5-42,3-34,7.0,2023,94
Third Down Conv.,2-11,3-18,7.0,2023,94
Fourth Down Conv.,1-2,4-6,7.0,2023,94
Time of Possession,23:50,36:10,7.0,2023,94
