Unnamed: 0,GNB,DEN,week,year,game_id
First Downs,20,18,7.0,2023,103
Rush-Yds-TDs,29-137-0,25-145-0,7.0,2023,103
Cmp-Att-Yd-TD-INT,22-32-194-2-1,20-29-194-1-0,7.0,2023,103
Sacked-Yards,0-0,1-0,7.0,2023,103
Net Pass Yards,194,194,7.0,2023,103
Total Yards,331,339,7.0,2023,103
Fumbles-Lost,0-0,0-0,7.0,2023,103
Turnovers,1,0,7.0,2023,103
Penalties-Yards,7-56,8-60,7.0,2023,103
Third Down Conv.,6-14,5-12,7.0,2023,103
Fourth Down Conv.,2-2,0-1,7.0,2023,103
Time of Possession,31:37,28:23,7.0,2023,103
