Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Giants to receive the opening kickoff.",,,7.0,2023,100
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,100
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Saquon Barkley right guard for -1 yards (tackle by Montez Sweat),0.61,-0.07,7.0,2023,100
1.0,14:33,2.0,11.0,NYG 24,0.0,0.0,Tyrod Taylor pass incomplete deep right,-0.07,-0.76,7.0,2023,100
1.0,14:27,3.0,11.0,NYG 24,0.0,0.0,Tyrod Taylor pass incomplete short right intended for Saquon Barkley (defended by Quan Martin),-0.76,-1.77,7.0,2023,100
1.0,14:20,4.0,11.0,NYG 24,0.0,0.0,"Jamie Gillan punts 54 yards, returned by Jamison Crowder for 9 yards (tackle by Cam Brown)",-1.77,-1.0,7.0,2023,100
1.0,14:09,1.0,10.0,WAS 31,0.0,0.0,Brian Robinson up the middle for 1 yard (tackle by Bobby Okereke),1.0,0.6,7.0,2023,100
1.0,13:32,2.0,9.0,WAS 32,0.0,0.0,Sam Howell sacked by and Dexter Lawrence for -8 yards and Micah McFadden for -8 yards,0.6,-1.15,7.0,2023,100
1.0,12:48,3.0,17.0,WAS 24,0.0,0.0,"Penalty on Charles Leno: False Start, 5 yards (accepted) (no play)",-1.15,-1.94,7.0,2023,100
1.0,12:25,3.0,22.0,WAS 19,0.0,0.0,Sam Howell pass complete short right to Logan Thomas for 15 yards (tackle by Bobby Okereke and Cordale Flott),-1.94,-1.11,7.0,2023,100
1.0,11:48,4.0,7.0,WAS 34,0.0,0.0,"Tress Way punts 56 yards, recovered by Nick McCloud at NYG-10 and returned for 1 yard (tackle by David Mayo)",-1.11,0.37,7.0,2023,100
1.0,11:36,1.0,10.0,NYG 11,0.0,0.0,Tyrod Taylor pass complete short right to Sterling Shepard for 3 yards,-0.37,-0.53,7.0,2023,100
1.0,11:07,2.0,7.0,NYG 14,0.0,0.0,Saquon Barkley up the middle for 1 yard (tackle by John Ridgeway and Jamin Davis),-0.53,-0.95,7.0,2023,100
1.0,10:35,3.0,6.0,NYG 15,0.0,0.0,Tyrod Taylor pass complete deep right to Jalin Hyatt for 33 yards (tackle by Benjamin St-Juste),-0.95,2.13,7.0,2023,100
1.0,10:02,1.0,10.0,NYG 48,0.0,0.0,Saquon Barkley right tackle for 9 yards (tackle by Cody Barton),2.13,2.8,7.0,2023,100
1.0,9:32,2.0,1.0,WAS 43,0.0,0.0,Saquon Barkley right end for 12 yards (tackle by Percy Butler and Jamin Davis),2.8,3.51,7.0,2023,100
1.0,9:15,1.0,10.0,WAS 31,0.0,0.0,Matt Breida left guard for 6 yards (tackle by David Mayo and Jamin Davis),3.51,3.78,7.0,2023,100
1.0,8:54,2.0,4.0,WAS 25,0.0,0.0,Matt Breida right guard for 2 yards (tackle by Jonathan Allen and James Smith-Williams),3.78,3.2,7.0,2023,100
1.0,8:30,3.0,3.0,WAS 24,0.0,0.0,Tyrod Taylor pass incomplete deep left intended for Jalin Hyatt (defended by Benjamin St-Juste),3.2,1.97,7.0,2023,100
1.0,8:25,4.0,3.0,WAS 24,0.0,0.0,Graham Gano 42 yard field goal no good,1.97,-1.07,7.0,2023,100
1.0,8:20,1.0,10.0,WAS 32,0.0,0.0,Sam Howell pass incomplete short left intended for Curtis Samuel,1.07,0.53,7.0,2023,100
1.0,8:17,2.0,10.0,WAS 32,0.0,0.0,Chris Rodriguez right tackle for 4 yards (tackle by Micah McFadden and Dexter Lawrence),0.53,0.37,7.0,2023,100
1.0,7:36,3.0,6.0,WAS 36,0.0,0.0,Sam Howell pass incomplete short middle intended for Jahan Dotson (defended by Tre Hawkins),0.37,-0.98,7.0,2023,100
1.0,7:32,4.0,6.0,WAS 36,0.0,0.0,"Tress Way punts 53 yards, fair catch by Eric Gray at NYG-11",-0.98,0.37,7.0,2023,100
1.0,7:25,1.0,10.0,NYG 11,0.0,0.0,Saquon Barkley right tackle for 5 yards (tackle by John Ridgeway),-0.37,-0.3,7.0,2023,100
1.0,7:02,2.0,5.0,NYG 16,0.0,0.0,Tyrod Taylor pass complete short left to Saquon Barkley for 2 yards (tackle by Kendall Fuller),-0.3,-0.6,7.0,2023,100
1.0,6:35,3.0,3.0,NYG 18,0.0,0.0,Tyrod Taylor scrambles right end for 2 yards (tackle by David Mayo),-0.6,-2.03,7.0,2023,100
1.0,6:19,4.0,1.0,NYG 20,0.0,0.0,"Jamie Gillan punts 45 yards, returned by Jamison Crowder for 3 yards (tackle by Dane Belton)",-2.03,-1.47,7.0,2023,100
1.0,6:08,1.0,10.0,WAS 38,0.0,0.0,Sam Howell pass complete short right to Curtis Samuel for 18 yards (tackle by Tre Hawkins and Cordale Flott),1.47,2.65,7.0,2023,100
1.0,5:28,1.0,10.0,NYG 44,0.0,0.0,Brian Robinson right tackle for 6 yards (tackle by A'Shawn Robinson),2.65,2.92,7.0,2023,100
1.0,4:46,2.0,4.0,NYG 38,0.0,0.0,Sam Howell pass incomplete short middle intended for John Bates (defended by Bobby Okereke),2.92,2.21,7.0,2023,100
1.0,4:42,3.0,4.0,NYG 38,0.0,0.0,Sam Howell sacked by Leonard Williams for -9 yards,2.21,0.13,7.0,2023,100
1.0,3:59,4.0,13.0,NYG 47,0.0,0.0,"Tress Way punts 35 yards, fair catch by Sterling Shepard at NYG-12",0.13,0.35,7.0,2023,100
1.0,3:51,1.0,10.0,NYG 12,0.0,0.0,Saquon Barkley left end for 3 yards (tackle by David Mayo),-0.35,-0.5,7.0,2023,100
1.0,3:13,2.0,7.0,NYG 15,0.0,0.0,Tyrod Taylor pass complete short right to Wan'Dale Robinson for 22 yards (tackle by James Smith-Williams),-0.5,1.4,7.0,2023,100
1.0,2:29,1.0,10.0,NYG 37,0.0,0.0,Tyrod Taylor pass complete short middle to Darius Slayton for 22 yards (tackle by Kendall Fuller),1.4,2.85,7.0,2023,100
1.0,1:50,1.0,10.0,WAS 41,0.0,0.0,Tyrod Taylor pass complete short left to Darren Waller for 13 yards (tackle by Kendall Fuller),2.85,3.71,7.0,2023,100
1.0,1:12,1.0,10.0,WAS 28,0.0,0.0,Tyrod Taylor up the middle for 20 yards (tackle by David Mayo),3.71,5.37,7.0,2023,100
1.0,0:38,1.0,8.0,WAS 8,0.0,0.0,Tyrod Taylor sacked by Montez Sweat for -4 yards,5.37,3.86,7.0,2023,100
2.0,15:00,2.0,12.0,WAS 12,0.0,0.0,Saquon Barkley right guard for 7 yards (tackle by Jonathan Allen),3.86,4.26,7.0,2023,100
2.0,14:32,3.0,5.0,WAS 5,0.0,0.0,"Tyrod Taylor scrambles for no gain (tackle by David Mayo). Penalty on Justin Pugh: Offensive Holding, 10 yards (accepted) (no play)",4.26,2.93,7.0,2023,100
2.0,14:22,3.0,15.0,WAS 15,0.0,6.0,"Tyrod Taylor pass complete short middle to Darren Waller for 15 yards, touchdown",2.93,7.0,7.0,2023,100
2.0,14:18,,,WAS 15,0.0,7.0,Graham Gano kicks extra point good,0.0,0.0,7.0,2023,100
2.0,14:18,,,NYG 35,0.0,7.0,"Graham Gano kicks off 65 yards, returned by Byron Pringle for 38 yards (tackle by Bobby McCain)",0.0,1.47,7.0,2023,100
