Quarter,Time,Tm,Detail,GNB,DEN,week,year,game_id
1.0,8:27,Broncos,Wil Lutz 32 yard field goal,0,3,7.0,2023,103
2.0,13:14,Broncos,Wil Lutz 29 yard field goal,0,6,7.0,2023,103
,0:05,Broncos,Wil Lutz 35 yard field goal,0,9,7.0,2023,103
3.0,10:24,Packers,Anders Carlson 29 yard field goal,3,9,7.0,2023,103
,6:17,Broncos,Courtland Sutton 18 yard pass from Russell Wilson (Wil Lutz kick),3,16,7.0,2023,103
,1:54,Packers,Romeo Doubs 16 yard pass from Jordan Love (Anders Carlson kick),10,16,7.0,2023,103
4.0,8:31,Packers,Jayden Reed 4 yard pass from Jordan Love (Anders Carlson kick),17,16,7.0,2023,103
,3:50,Broncos,Wil Lutz 52 yard field goal,17,19,7.0,2023,103
