0,1,week,year,game_id
Won Toss,Packers (deferred),7.0,2023,103
Roof,outdoors,7.0,2023,103
Surface,grass,7.0,2023,103
Duration,2:59,7.0,2023,103
Attendance,76880,7.0,2023,103
Weather,"72 degrees, relative humidity 22%, wind 9 mph",7.0,2023,103
Vegas Line,Denver Broncos -1.0,7.0,2023,103
Over/Under,44.0 (under),7.0,2023,103
