Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Vikings to receive the opening kickoff.",,,7.0,2023,106
1.0,15:00,,,SFO 35,0.0,0.0,"Jake Moody kicks off 61 yards,",0.0,0.61,7.0,2023,106
1.0,15:00,1.0,10.0,MIN 25,0.0,0.0,Alexander Mattison left end for 19 yards (tackle by Javon Hargrave),0.61,1.86,7.0,2023,106
1.0,14:25,1.0,10.0,MIN 44,0.0,0.0,Kirk Cousins pass complete short right to Josh Oliver for no gain (tackle by Dre Greenlaw),1.86,1.32,7.0,2023,106
1.0,13:40,2.0,10.0,MIN 44,0.0,0.0,Kirk Cousins pass short right intended for Jordan Addison is intercepted by Charvarius Ward at MIN-48 and returned for no gain (tackle by Jordan Addison),1.32,-2.39,7.0,2023,106
1.0,13:35,1.0,10.0,MIN 48,0.0,0.0,Brock Purdy pass complete short left to George Kittle for 10 yards (tackle by Akayleb Evans),2.39,3.05,7.0,2023,106
1.0,13:03,1.0,10.0,MIN 38,0.0,0.0,Brock Purdy pass complete short right to Brandon Aiyuk for 11 yards (tackle by Byron Murphy),3.05,3.78,7.0,2023,106
1.0,12:26,1.0,10.0,MIN 27,0.0,0.0,Brock Purdy pass complete short left to Jauan Jennings for 9 yards (tackle by Akayleb Evans and Dean Lowry),3.78,4.53,7.0,2023,106
1.0,11:45,2.0,1.0,MIN 18,0.0,0.0,Christian McCaffrey up the middle for 3 yards (tackle by Camryn Bynum),4.53,4.58,7.0,2023,106
1.0,11:03,1.0,10.0,MIN 15,0.0,0.0,"Christian McCaffrey left end for 2 yards. Christian McCaffrey fumbles (forced by Harrison Smith) (tackle by Camryn Bynum), recovered by Dean Lowry at MIN-11",4.58,0.37,7.0,2023,106
1.0,10:54,1.0,10.0,MIN 11,0.0,0.0,Alexander Mattison left tackle for -2 yards (tackle by Javon Hargrave),-0.37,-0.93,7.0,2023,106
1.0,10:10,2.0,12.0,MIN 9,0.0,0.0,Kirk Cousins pass incomplete short left intended for T.J. Hockenson (defended by Clelin Ferrell),-0.93,-1.65,7.0,2023,106
1.0,10:05,3.0,12.0,MIN 9,0.0,0.0,Kirk Cousins pass complete short middle to T.J. Hockenson for 16 yards (tackle by Fred Warner and Talanoa Hufanga),-1.65,0.61,7.0,2023,106
1.0,9:27,1.0,10.0,MIN 25,0.0,0.0,Kirk Cousins pass complete short right to Jordan Addison for 4 yards (tackle by Charvarius Ward and Fred Warner),0.61,0.6,7.0,2023,106
1.0,8:53,2.0,6.0,MIN 29,0.0,0.0,Kirk Cousins pass complete short middle to Jordan Addison for 11 yards (tackle by Talanoa Hufanga),0.6,1.6,7.0,2023,106
1.0,8:06,1.0,10.0,MIN 40,0.0,0.0,Alexander Mattison right end for 5 yards (tackle by Oren Burks and Fred Warner),1.6,1.73,7.0,2023,106
1.0,7:26,2.0,5.0,MIN 45,0.0,0.0,"Penalty on Javon Kinlaw: Encroachment, 5 yards (accepted) (no play)",1.73,2.26,7.0,2023,106
1.0,7:11,1.0,10.0,MIN 50,0.0,0.0,Kirk Cousins pass complete deep left to T.J. Hockenson for 22 yards (tackle by Oren Burks),2.26,3.71,7.0,2023,106
1.0,6:21,1.0,10.0,SFO 28,0.0,0.0,"Penalty on MIN: Delay of Game, 5 yards (accepted) (no play)",3.71,3.38,7.0,2023,106
1.0,6:01,1.0,15.0,SFO 33,0.0,0.0,Alexander Mattison right end for 13 yards (tackle by Talanoa Hufanga),3.38,4.25,7.0,2023,106
1.0,5:34,2.0,2.0,SFO 20,0.0,0.0,Alexander Mattison right guard for no gain (tackle by Nick Bosa),4.25,3.53,7.0,2023,106
1.0,4:52,3.0,2.0,SFO 20,0.0,6.0,"Kirk Cousins pass complete deep right to Jordan Addison for 20 yards, touchdown",3.53,7.0,7.0,2023,106
1.0,4:48,,,SFO 15,0.0,7.0,Greg Joseph kicks extra point good,0.0,0.0,7.0,2023,106
1.0,4:48,,,MIN 35,0.0,7.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,106
1.0,4:48,1.0,10.0,SFO 25,0.0,7.0,Christian McCaffrey right guard for 2 yards (tackle by Jonathan Bullard),0.61,0.33,7.0,2023,106
1.0,4:05,2.0,8.0,SFO 27,0.0,7.0,Brock Purdy pass complete short left to Brandon Aiyuk for 10 yards (tackle by Jordan Hicks),0.33,1.4,7.0,2023,106
1.0,3:33,1.0,10.0,SFO 37,0.0,7.0,Christian McCaffrey up the middle for 6 yards (tackle by Jordan Hicks and Camryn Bynum),1.4,1.67,7.0,2023,106
1.0,2:49,2.0,4.0,SFO 43,0.0,7.0,"Penalty on George Kittle: False Start, 5 yards (accepted) (no play)",1.67,0.99,7.0,2023,106
1.0,2:27,2.0,9.0,SFO 38,0.0,7.0,Brock Purdy pass complete deep middle to Jauan Jennings for 18 yards (tackle by Harrison Smith),0.99,2.65,7.0,2023,106
1.0,1:45,1.0,10.0,MIN 44,0.0,7.0,Brock Purdy pass incomplete deep left intended for George Kittle,2.65,2.11,7.0,2023,106
1.0,1:40,2.0,10.0,MIN 44,0.0,7.0,Brock Purdy scrambles right end for 17 yards (tackle by Byron Murphy),2.11,3.78,7.0,2023,106
1.0,0:58,1.0,10.0,MIN 27,0.0,7.0,Brock Purdy pass complete short right to Brandon Aiyuk for 5 yards (tackle by Harrison Smith),3.78,3.91,7.0,2023,106
1.0,0:20,2.0,5.0,MIN 22,0.0,7.0,Christian McCaffrey right guard for no gain (tackle by Jaquelin Roy),3.91,3.2,7.0,2023,106
2.0,15:00,3.0,5.0,MIN 22,0.0,7.0,Brock Purdy pass incomplete short left intended for Jauan Jennings,3.2,2.04,7.0,2023,106
2.0,14:57,4.0,5.0,MIN 22,0.0,7.0,Jake Moody 40 yard field goal no good,2.04,-0.94,7.0,2023,106
2.0,14:53,1.0,10.0,MIN 30,0.0,7.0,Cam Akers up the middle for 2 yards (tackle by Nick Bosa),0.94,0.66,7.0,2023,106
2.0,14:17,2.0,8.0,MIN 32,0.0,7.0,Kirk Cousins pass complete short left to T.J. Hockenson for 11 yards (tackle by Clelin Ferrell),0.66,1.8,7.0,2023,106
2.0,13:41,1.0,10.0,MIN 43,0.0,7.0,Cam Akers right tackle for 3 yards (tackle by Dre Greenlaw),1.8,1.66,7.0,2023,106
2.0,13:08,2.0,7.0,MIN 46,0.0,7.0,Kirk Cousins pass complete short right to T.J. Hockenson for 8 yards (tackle by Dre Greenlaw),1.66,2.52,7.0,2023,106
2.0,12:41,1.0,10.0,SFO 46,0.0,7.0,Kirk Cousins pass complete short right to T.J. Hockenson for 1 yard (tackle by Talanoa Hufanga),2.52,2.11,7.0,2023,106
2.0,12:05,2.0,9.0,SFO 45,0.0,7.0,Cam Akers up the middle for 13 yards (tackle by Oren Burks),2.11,3.45,7.0,2023,106
2.0,11:24,1.0,10.0,SFO 32,0.0,7.0,Cam Akers up the middle for 6 yards (tackle by Javon Hargrave and Clelin Ferrell),3.45,3.71,7.0,2023,106
2.0,10:51,2.0,4.0,SFO 26,0.0,7.0,"Cam Akers right end for no gain (tackle by Nick Bosa). Penalty on Josh Oliver: Offensive Holding, 10 yards (accepted) (no play)",3.71,2.36,7.0,2023,106
2.0,10:29,2.0,14.0,SFO 36,0.0,7.0,"Jordan Addison pass complete short right to Ty Chandler for 28 yards (tackle by Charvarius Ward and Tashaun Gipson). Penalty on K.J. Osborn: Offensive Pass Interference, 10 yards (accepted) (no play)",2.36,1.01,7.0,2023,106
