Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Chargers to receive the opening kickoff.",,,7.0,2023,104
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,104
1.0,15:00,1.0,10.0,LAC 25,0.0,0.0,Justin Herbert pass complete short right to Austin Ekeler for 1 yard (tackle by L'Jarius Sneed),0.61,0.2,7.0,2023,104
1.0,14:34,2.0,9.0,LAC 26,0.0,0.0,Austin Ekeler right guard for 5 yards (tackle by L'Jarius Sneed and Nick Bolton),0.2,0.17,7.0,2023,104
1.0,14:08,3.0,4.0,LAC 31,0.0,0.0,"Justin Herbert pass incomplete short right intended for Josh Palmer. Penalty on L'Jarius Sneed: Defensive Pass Interference, 4 yards (accepted) (no play)",0.17,1.27,7.0,2023,104
1.0,14:05,1.0,10.0,LAC 35,0.0,0.0,Austin Ekeler right tackle for 2 yards (tackle by Michael Danna),1.27,0.99,7.0,2023,104
1.0,13:33,2.0,8.0,LAC 37,0.0,0.0,Justin Herbert scrambles right end for 6 yards (tackle by Willie Gay),0.99,1.09,7.0,2023,104
1.0,12:55,3.0,2.0,LAC 43,0.0,0.0,Justin Herbert sacked by George Karlaftis for -6 yards,1.09,-0.91,7.0,2023,104
1.0,12:13,4.0,8.0,LAC 37,0.0,0.0,"JK Scott punts 46 yards, fair catch by Mecole Hardman at KC-17",-0.91,0.06,7.0,2023,104
1.0,11:59,1.0,10.0,KAN 17,0.0,0.0,Patrick Mahomes pass complete short left to Rashee Rice for 3 yards (tackle by Michael Davis),-0.06,-0.06,7.0,2023,104
1.0,11:37,2.0,7.0,KAN 20,0.0,0.0,Isiah Pacheco right end for 1 yard (tackle by Tuli Tuipulotu),-0.06,-0.75,7.0,2023,104
1.0,10:53,3.0,6.0,KAN 21,0.0,0.0,Patrick Mahomes pass complete deep left to Travis Kelce for 28 yards (tackle by Asante Samuel),-0.75,2.19,7.0,2023,104
1.0,10:16,1.0,10.0,KAN 49,0.0,0.0,Isiah Pacheco left end for 3 yards (tackle by Eric Kendricks),2.19,2.05,7.0,2023,104
1.0,9:33,2.0,7.0,LAC 48,0.0,0.0,"Patrick Mahomes pass complete short right to Jerick McKinnon for 27 yards. Penalty on Joe Thuney: Offensive Illegal Block Above the Waist, 10 yards (accepted)",2.05,3.51,7.0,2023,104
1.0,9:31,1.0,10.0,LAC 31,0.0,0.0,Patrick Mahomes pass complete short right to Noah Gray for 8 yards (tackle by Michael Davis),3.51,4.05,7.0,2023,104
1.0,8:57,2.0,2.0,LAC 23,0.0,0.0,Isiah Pacheco left end for 3 yards (tackle by Kenneth Murray),4.05,4.24,7.0,2023,104
1.0,8:21,1.0,10.0,LAC 20,0.0,0.0,"Patrick Mahomes pass incomplete. Penalty on Donovan Smith: Offensive Holding, 10 yards (accepted) (no play)",4.24,3.58,7.0,2023,104
1.0,8:12,1.0,20.0,LAC 30,0.0,0.0,Patrick Mahomes pass complete short right to Rashee Rice for 2 yards (tackle by Dean Marlowe),3.58,2.61,7.0,2023,104
1.0,7:39,2.0,18.0,LAC 28,0.0,0.0,Patrick Mahomes pass complete short right to Skyy Moore for 11 yards,2.61,3.36,7.0,2023,104
1.0,7:01,3.0,7.0,LAC 17,0.0,0.0,Patrick Mahomes pass incomplete short left intended for Mecole Hardman,3.36,2.31,7.0,2023,104
1.0,6:52,4.0,7.0,LAC 17,0.0,3.0,Harrison Butker 35 yard field goal good,2.31,3.0,7.0,2023,104
1.0,6:49,,,KAN 35,0.0,3.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,104
1.0,6:49,1.0,10.0,LAC 25,0.0,3.0,Austin Ekeler right guard for 2 yards (tackle by Willie Gay),0.61,0.33,7.0,2023,104
1.0,6:10,2.0,8.0,LAC 27,0.0,3.0,Derius Davis right end for 11 yards (tackle by Nick Bolton),0.33,1.47,7.0,2023,104
1.0,5:35,1.0,10.0,LAC 38,0.0,3.0,Justin Herbert pass complete deep left to Keenan Allen for 26 yards (tackle by Bryan Cook),1.47,3.18,7.0,2023,104
1.0,5:12,1.0,10.0,KAN 36,0.0,3.0,Derius Davis left end for no gain (tackle by Tershawn Wharton and Willie Gay),3.18,2.64,7.0,2023,104
1.0,4:33,2.0,10.0,KAN 36,0.0,3.0,Austin Ekeler up the middle for 3 yards (tackle by Tershawn Wharton and Nick Bolton),2.64,2.35,7.0,2023,104
1.0,3:53,3.0,7.0,KAN 33,0.0,3.0,Justin Herbert pass complete short left to Josh Palmer for 7 yards (tackle by Trent McDuffie),2.35,3.84,7.0,2023,104
1.0,3:17,1.0,10.0,KAN 26,0.0,3.0,Joshua Kelley up the middle for 2 yards (tackle by L'Jarius Sneed and Derrick Nnadi),3.84,3.57,7.0,2023,104
1.0,2:42,2.0,8.0,KAN 24,0.0,3.0,Justin Herbert sacked by Willie Gay for -13 yards,3.57,1.16,7.0,2023,104
1.0,2:00,3.0,21.0,KAN 37,0.0,3.0,Justin Herbert pass incomplete short right intended for Austin Ekeler,1.16,0.79,7.0,2023,104
1.0,1:53,4.0,21.0,KAN 37,3.0,3.0,Cameron Dicker 55 yard field goal good,0.79,3.0,7.0,2023,104
1.0,1:48,,,LAC 35,3.0,3.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,104
