Quarter,Time,Down,ToGo,Location,GNB,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Broncos to receive the opening kickoff.",,,7.0,2023,103
1.0,15:00,,,GNB 35,0.0,0.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,103
1.0,15:00,1.0,10.0,DEN 25,0.0,0.0,Russell Wilson pass incomplete short right,0.61,0.06,7.0,2023,103
1.0,14:54,2.0,10.0,DEN 25,0.0,0.0,Russell Wilson pass complete short right to Nate Adkins for 3 yards (tackle by Keisean Nixon),0.06,-0.23,7.0,2023,103
1.0,14:16,3.0,7.0,DEN 28,0.0,0.0,Russell Wilson pass complete deep right to Courtland Sutton for 33 yards (tackle by Carrington Valentine),-0.23,2.98,7.0,2023,103
1.0,13:34,1.0,10.0,GNB 39,0.0,0.0,Javonte Williams up the middle for 1 yard (tackle by Kingsley Enagbare and Devonte Wyatt),2.98,2.58,7.0,2023,103
1.0,12:55,2.0,9.0,GNB 38,0.0,0.0,Russell Wilson pass complete short right to Javonte Williams for 7 yards (tackle by Isaiah McDuffie),2.58,2.81,7.0,2023,103
1.0,12:14,3.0,2.0,GNB 31,0.0,0.0,Russell Wilson pass complete short right to Courtland Sutton for 3 yards (tackle by Carrington Valentine),2.81,3.71,7.0,2023,103
1.0,11:21,1.0,10.0,GNB 28,0.0,0.0,Javonte Williams up the middle for 15 yards (tackle by Isaiah McDuffie),3.71,4.71,7.0,2023,103
1.0,10:40,1.0,10.0,GNB 13,0.0,0.0,Jaleel McLaughlin left tackle for 7 yards (tackle by Isaiah McDuffie),4.71,5.34,7.0,2023,103
1.0,10:00,2.0,3.0,GNB 6,0.0,0.0,Jaleel McLaughlin right end for 2 yards (tackle by Rudy Ford and Rashan Gary),5.34,5.01,7.0,2023,103
1.0,9:14,3.0,1.0,GNB 4,0.0,0.0,"Javonte Williams right tackle for no gain, touchdown. Penalty on Quinn Bailey: Offensive Holding, 10 yards (accepted) (no play)",5.01,3.08,7.0,2023,103
1.0,9:10,3.0,11.0,GNB 14,0.0,0.0,Russell Wilson pass complete short right to Jaleel McLaughlin for 1 yard (tackle by Devonte Wyatt),3.08,2.57,7.0,2023,103
1.0,8:30,4.0,10.0,GNB 13,0.0,3.0,Wil Lutz 32 yard field goal good,2.57,3.0,7.0,2023,103
1.0,8:27,,,DEN 35,0.0,3.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,103
1.0,8:27,1.0,10.0,GNB 25,0.0,3.0,Aaron Jones right tackle for 4 yards (tackle by Alex Singleton),0.61,0.6,7.0,2023,103
1.0,8:07,2.0,6.0,GNB 29,0.0,3.0,Aaron Jones left tackle for -1 yards (tackle by D.J. Jones),0.6,-0.23,7.0,2023,103
1.0,7:27,3.0,7.0,GNB 28,0.0,3.0,Jordan Love pass complete short left to AJ Dillon for 5 yards (tackle by Kareem Jackson),-0.23,-1.18,7.0,2023,103
1.0,6:48,4.0,2.0,GNB 33,0.0,3.0,"Daniel Whelan punts 59 yards, returned by Marvin Mims for 11 yards (tackle by Kingsley Enagbare)",-1.18,-0.15,7.0,2023,103
