Unnamed: 0,DET,BAL,week,year,game_id
First Downs,18,23,7.0,2023,99
Rush-Yds-TDs,14-84-1,27-146-2,7.0,2023,99
Cmp-Att-Yd-TD-INT,33-53-284-0-1,21-28-357-3-0,7.0,2023,99
Sacked-Yards,5-31,0-0,7.0,2023,99
Net Pass Yards,253,357,7.0,2023,99
Total Yards,337,503,7.0,2023,99
Fumbles-Lost,2-0,1-1,7.0,2023,99
Turnovers,1,1,7.0,2023,99
Penalties-Yards,5-57,4-45,7.0,2023,99
Third Down Conv.,5-16,4-8,7.0,2023,99
Fourth Down Conv.,2-6,1-1,7.0,2023,99
Time of Possession,29:38,30:22,7.0,2023,99
