Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,7.0,2023,96
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,96
1.0,15:00,1.0,10.0,TAM 25,0.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 2 yards (tackle by Jessie Bates),0.61,0.33,7.0,2023,96
1.0,14:25,2.0,8.0,TAM 27,0.0,0.0,Baker Mayfield pass complete short middle to Mike Evans for 9 yards (tackle by Richie Grant),0.33,1.33,7.0,2023,96
1.0,13:44,1.0,10.0,TAM 36,0.0,0.0,Rachaad White up the middle for -1 yards (tackle by Bud Dupree and Jessie Bates),1.33,0.66,7.0,2023,96
1.0,13:07,2.0,11.0,TAM 35,0.0,0.0,Baker Mayfield pass incomplete short left intended for Rakim Jarrett (defended by Grady Jarrett),0.66,-0.03,7.0,2023,96
1.0,12:58,3.0,11.0,TAM 35,0.0,0.0,Baker Mayfield pass complete short right to Rachaad White for 11 yards (tackle by Grady Jarrett),-0.03,1.99,7.0,2023,96
1.0,12:24,1.0,10.0,TAM 46,0.0,0.0,Rachaad White up the middle for 3 yards (tackle by Ta'Quon Graham and Richie Grant),1.99,1.86,7.0,2023,96
1.0,11:38,2.0,7.0,TAM 49,0.0,0.0,"Baker Mayfield pass incomplete short left. Penalty on AJ Terrell: Defensive Holding, 5 yards (accepted) (no play)",1.86,2.52,7.0,2023,96
1.0,11:32,1.0,10.0,ATL 46,0.0,0.0,Baker Mayfield pass complete short left to Deven Thompkins for 5 yards (tackle by Jeff Okudah),2.52,2.65,7.0,2023,96
1.0,10:55,2.0,5.0,ATL 41,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Chris Godwin,2.65,1.95,7.0,2023,96
1.0,10:51,3.0,5.0,ATL 41,0.0,0.0,Baker Mayfield pass incomplete short right intended for Trey Palmer (defended by AJ Terrell),1.95,0.53,7.0,2023,96
1.0,10:46,4.0,5.0,ATL 41,0.0,0.0,Baker Mayfield pass incomplete short right,0.53,-1.73,7.0,2023,96
1.0,10:39,1.0,10.0,ATL 42,0.0,0.0,Desmond Ridder pass complete short middle to KhaDarel Hodge for 19 yards (tackle by Ryan Neal),1.73,2.98,7.0,2023,96
1.0,10:16,1.0,10.0,TAM 39,0.0,0.0,Tyler Allgeier right tackle for 4 yards (tackle by Lavonte David),2.98,2.98,7.0,2023,96
1.0,9:42,2.0,6.0,TAM 35,0.0,0.0,Desmond Ridder pass complete short left to Jonnu Smith for 7 yards (tackle by Lavonte David and Ryan Neal),2.98,3.71,7.0,2023,96
1.0,9:10,1.0,10.0,TAM 28,0.0,0.0,Cordarrelle Patterson left end for 4 yards (tackle by Jamel Dean),3.71,3.71,7.0,2023,96
1.0,8:38,2.0,6.0,TAM 24,0.0,0.0,Desmond Ridder pass complete deep right to Jonnu Smith for 18 yards (tackle by Carlton Davis),3.71,5.83,7.0,2023,96
1.0,8:03,1.0,6.0,TAM 6,0.0,0.0,Tyler Allgeier left tackle for 2 yards (tackle by William Gholston),5.83,5.34,7.0,2023,96
1.0,7:24,2.0,4.0,TAM 4,0.0,0.0,Desmond Ridder pass complete short right to Jonnu Smith for 2 yards (tackle by Lavonte David),5.34,4.95,7.0,2023,96
1.0,6:53,3.0,2.0,TAM 2,6.0,0.0,"Desmond Ridder left end for 2 yards, touchdown",4.95,7.0,7.0,2023,96
1.0,6:48,,,TAM 15,7.0,0.0,Younghoe Koo kicks extra point good,0.0,0.0,7.0,2023,96
1.0,6:48,,,ATL 35,7.0,0.0,"Bradley Pinion kicks off 64 yards, returned by Deven Thompkins for 32 yards (tackle by Micah Abernathy)",0.0,1.14,7.0,2023,96
1.0,6:40,1.0,10.0,TAM 33,7.0,0.0,"Baker Mayfield pass incomplete short left. Penalty on AJ Terrell: Defensive Holding, 5 yards (accepted) (no play)",1.14,1.47,7.0,2023,96
1.0,6:37,1.0,10.0,TAM 38,7.0,0.0,Baker Mayfield pass incomplete deep left intended for Chris Godwin,1.47,0.92,7.0,2023,96
1.0,6:32,2.0,10.0,TAM 38,7.0,0.0,Baker Mayfield pass complete short right to Cade Otton for 11 yards (tackle by Nathan Landman),0.92,2.19,7.0,2023,96
1.0,5:55,1.0,10.0,TAM 49,7.0,0.0,Ke'Shawn Vaughn left guard for 9 yards (tackle by Arnold Ebiketie),2.19,2.86,7.0,2023,96
1.0,5:30,2.0,1.0,ATL 42,7.0,0.0,"Penalty on Matt Feiler: False Start, 5 yards (accepted) (no play)",2.86,2.19,7.0,2023,96
