Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Justin Herbert,LAC,0,0,0,0,0,7.0,2023,104
Joshua Kelley,LAC,0,0,0,0,0,7.0,2023,104
Austin Ekeler,LAC,2,1,1,0,1,7.0,2023,104
Derius Davis,LAC,2,1,10,0,10,7.0,2023,104
Josh Palmer,LAC,7,5,133,0,60,7.0,2023,104
Keenan Allen,LAC,9,4,55,0,26,7.0,2023,104
Gerald Everett,LAC,4,3,26,1,11,7.0,2023,104
Quentin Johnston,LAC,2,1,20,0,20,7.0,2023,104
Donald Parham,LAC,3,1,9,0,9,7.0,2023,104
Stone Smartt,LAC,1,1,5,0,5,7.0,2023,104
Patrick Mahomes,KAN,0,0,0,0,0,7.0,2023,104
Isiah Pacheco,KAN,4,4,28,1,12,7.0,2023,104
Clyde Edwards-Helaire,KAN,1,0,0,0,0,7.0,2023,104
Jerick McKinnon,KAN,2,2,24,0,27,7.0,2023,104
Travis Kelce,KAN,13,12,179,1,53,7.0,2023,104
Marquez Valdes-Scantling,KAN,5,3,84,1,46,7.0,2023,104
Rashee Rice,KAN,6,5,60,1,37,7.0,2023,104
Skyy Moore,KAN,3,2,15,0,11,7.0,2023,104
Kadarius Toney,KAN,1,1,13,0,13,7.0,2023,104
Noah Gray,KAN,1,1,8,0,8,7.0,2023,104
Blake Bell,KAN,1,1,7,0,7,7.0,2023,104
Mecole Hardman,KAN,3,1,6,0,6,7.0,2023,104
