Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,7.0,2023,94
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
1.0,15:00,1.0,10.0,JAX 25,0.0,0.0,Travis Etienne left tackle for no gain (tackle by Demario Davis),0.61,0.06,7.0,2023,94
1.0,14:26,2.0,10.0,JAX 25,0.0,0.0,Trevor Lawrence pass complete short left to Evan Engram for 21 yards (tackle by Marshon Lattimore and Marcus Maye),0.06,1.99,7.0,2023,94
1.0,13:45,1.0,10.0,JAX 46,0.0,0.0,Trevor Lawrence pass complete short right to Travis Etienne for 15 yards (tackle by Demario Davis),1.99,2.98,7.0,2023,94
1.0,13:07,1.0,10.0,NOR 39,0.0,0.0,Travis Etienne right tackle for 4 yards (tackle by Malcolm Roach),2.98,2.98,7.0,2023,94
1.0,12:29,2.0,6.0,NOR 35,0.0,0.0,Trevor Lawrence scrambles up the middle for 9 yards (tackle by Alontae Taylor),2.98,3.84,7.0,2023,94
1.0,11:51,1.0,10.0,NOR 26,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Evan Engram,3.84,3.3,7.0,2023,94
1.0,11:47,2.0,10.0,NOR 26,0.0,0.0,Trevor Lawrence pass complete short left to Evan Engram for 3 yards (tackle by Carl Granderson),3.3,3.01,7.0,2023,94
1.0,11:07,3.0,7.0,NOR 23,0.0,0.0,Trevor Lawrence pass complete short right to Christian Kirk for 7 yards (tackle by Ugo Amadi and Marcus Maye),3.01,4.51,7.0,2023,94
1.0,10:30,1.0,10.0,NOR 16,0.0,0.0,Trevor Lawrence pass complete short middle to Jamal Agnew for 14 yards (tackle by Paulson Adebo),4.51,6.74,7.0,2023,94
1.0,9:48,1.0,2.0,NOR 2,6.0,0.0,"Travis Etienne left guard for 2 yards, touchdown",6.74,7.0,7.0,2023,94
1.0,9:44,,,NOR 15,7.0,0.0,Brandon McManus kicks extra point good,0.0,0.0,7.0,2023,94
1.0,9:44,,,JAX 35,7.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,94
1.0,9:44,1.0,10.0,NOR 25,7.0,0.0,Derek Carr pass incomplete short middle intended for Alvin Kamara,0.61,0.06,7.0,2023,94
1.0,9:40,2.0,10.0,NOR 25,7.0,0.0,Alvin Kamara left guard for 6 yards (tackle by Rayshawn Jenkins and Roy Robertson-Harris),0.06,0.17,7.0,2023,94
1.0,9:08,3.0,4.0,NOR 31,7.0,0.0,Derek Carr pass complete short middle to Alvin Kamara for 5 yards (tackle by Tre Herndon),0.17,1.33,7.0,2023,94
1.0,8:33,1.0,10.0,NOR 36,7.0,0.0,Taysom Hill left end for 6 yards (tackle by Rayshawn Jenkins),1.33,1.6,7.0,2023,94
1.0,8:02,2.0,4.0,NOR 42,7.0,0.0,Derek Carr scrambles right end for 10 yards (tackle by Angelo Blackson),1.6,2.39,7.0,2023,94
1.0,7:20,1.0,10.0,JAX 48,7.0,0.0,Alvin Kamara right end for -1 yards (tackle by Angelo Blackson),2.39,1.71,7.0,2023,94
1.0,6:47,2.0,11.0,JAX 49,7.0,0.0,Derek Carr pass complete short left to Chris Olave for 14 yards (tackle by Montaric Brown),1.71,3.25,7.0,2023,94
1.0,6:12,1.0,10.0,JAX 35,7.0,0.0,Alvin Kamara right tackle for 3 yards (tackle by Roy Robertson-Harris),3.25,3.11,7.0,2023,94
1.0,5:34,2.0,7.0,JAX 32,7.0,0.0,Derek Carr pass incomplete short right intended for Chris Olave (defended by Foyesade Oluokun),3.11,2.41,7.0,2023,94
