Unnamed: 0,ARI,SEA,week,year,game_id
First Downs,15,18,7.0,2023,102
Rush-Yds-TDs,25-127-1,32-115-0,7.0,2023,102
Cmp-Att-Yd-TD-INT,20-34-150-0-0,18-24-219-2-1,7.0,2023,102
Sacked-Yards,4-28,2-16,7.0,2023,102
Net Pass Yards,122,203,7.0,2023,102
Total Yards,249,318,7.0,2023,102
Fumbles-Lost,2-0,2-2,7.0,2023,102
Turnovers,0,3,7.0,2023,102
Penalties-Yards,7-59,5-32,7.0,2023,102
Third Down Conv.,5-15,7-13,7.0,2023,102
Fourth Down Conv.,0-3,0-0,7.0,2023,102
Time of Possession,29:28,30:32,7.0,2023,102
