Quarter,Time,Down,ToGo,Location,DET,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,,7.0,2023,99
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,99
1.0,15:00,1.0,10.0,BAL 25,0.0,0.0,Lamar Jackson pass complete short right to Justice Hill for 2 yards (tackle by Jack Campbell),0.61,0.33,7.0,2023,99
1.0,14:26,2.0,8.0,BAL 27,0.0,0.0,Lamar Jackson pass complete short right to Odell Beckham for 11 yards (tackle by Kerby Joseph),0.33,1.47,7.0,2023,99
1.0,13:47,1.0,10.0,BAL 38,0.0,0.0,Lamar Jackson pass complete deep middle to Zay Flowers for 46 yards (tackle by Tracy Walker),1.47,4.51,7.0,2023,99
1.0,12:57,1.0,10.0,DET 16,0.0,0.0,Lamar Jackson scrambles right end for 4 yards (tackle by Josh Paschal),4.51,4.57,7.0,2023,99
1.0,12:07,2.0,6.0,DET 12,0.0,0.0,Gus Edwards left guard for 4 yards (tackle by Isaiah Buggs and Alex Anzalone),4.57,4.62,7.0,2023,99
1.0,11:26,3.0,2.0,DET 8,0.0,0.0,Lamar Jackson scrambles left end for 1 yard (tackle by Tracy Walker),4.62,3.01,7.0,2023,99
1.0,10:42,4.0,1.0,DET 7,0.0,6.0,"Lamar Jackson left end for 7 yards, touchdown",3.01,7.0,7.0,2023,99
1.0,10:37,,,DET 15,0.0,7.0,Justin Tucker kicks extra point good,0.0,0.0,7.0,2023,99
1.0,10:37,,,BAL 35,0.0,7.0,"Justin Tucker kicks off 46 yards, returned by Khalil Dorsey for 19 yards (tackle by Arthur Maulet)",0.0,1.47,7.0,2023,99
1.0,10:33,1.0,10.0,DET 38,0.0,7.0,Jahmyr Gibbs right tackle for 4 yards (tackle by Michael Pierce),1.47,1.46,7.0,2023,99
1.0,10:01,2.0,6.0,DET 42,0.0,7.0,Jared Goff pass incomplete short left intended for Jameson Williams,1.46,0.76,7.0,2023,99
1.0,9:56,3.0,6.0,DET 42,0.0,7.0,"Jared Goff sacked by Justin Madubuike for -4 yards. Jared Goff fumbles (forced by Justin Madubuike), recovered by Penei Sewell at DET-38 (tackle by Kyle Hamilton)",0.76,-0.85,7.0,2023,99
1.0,9:10,4.0,10.0,DET 38,0.0,7.0,"Jack Fox punts 45 yards, fair catch by Devin Duvernay at BAL-17. Penalty on Chase Lucas: Kick Catch Interference, 15 yards (accepted)",-0.85,-1.07,7.0,2023,99
1.0,8:57,1.0,10.0,BAL 32,0.0,7.0,Lamar Jackson pass complete short left to Patrick Ricard for 3 yards (tackle by Brian Branch),1.07,0.93,7.0,2023,99
1.0,8:16,2.0,7.0,BAL 35,0.0,7.0,Lamar Jackson pass incomplete short middle intended for Mark Andrews,0.93,0.23,7.0,2023,99
1.0,8:07,3.0,7.0,BAL 35,0.0,7.0,"Lamar Jackson pass incomplete deep left intended for Mark Andrews. Penalty on Tracy Walker: Illegal Contact (offset) . Penalty on Lamar Jackson: Intentional Grounding, 10 yards (offset) (no play)",0.23,0.23,7.0,2023,99
1.0,8:07,3.0,7.0,BAL 35,0.0,7.0,Lamar Jackson pass complete short middle to Rashod Bateman for 16 yards (tackle by Cameron Sutton),0.23,2.32,7.0,2023,99
1.0,7:30,1.0,10.0,DET 49,0.0,7.0,Gus Edwards left tackle for -1 yards (tackle by Isaiah Buggs and Josh Paschal),2.32,1.65,7.0,2023,99
1.0,6:56,2.0,11.0,BAL 50,0.0,7.0,Lamar Jackson pass complete short right to Rashod Bateman for 20 yards (tackle by Cameron Sutton),1.65,3.58,7.0,2023,99
1.0,6:13,1.0,10.0,DET 30,0.0,7.0,Gus Edwards left end for 8 yards (tackle by Alex Anzalone),3.58,4.11,7.0,2023,99
1.0,5:33,2.0,2.0,DET 22,0.0,7.0,Lamar Jackson pass incomplete short right intended for Odell Beckham,4.11,3.4,7.0,2023,99
