Quarter,Time,Tm,Detail,DET,BAL,week,year,game_id
1.0,10:37,Ravens,Lamar Jackson 7 yard rush (Justin Tucker kick),0,7,7.0,2023,99
,3:11,Ravens,Nelson Agholor 12 yard pass from Lamar Jackson (Justin Tucker kick),0,14,7.0,2023,99
2.0,12:54,Ravens,Mark Andrews 11 yard pass from Lamar Jackson (Justin Tucker kick),0,21,7.0,2023,99
,7:45,Ravens,Gus Edwards 2 yard rush (Justin Tucker kick),0,28,7.0,2023,99
3.0,7:25,Ravens,Mark Andrews 8 yard pass from Lamar Jackson (Justin Tucker kick),0,35,7.0,2023,99
4.0,13:59,Lions,Jahmyr Gibbs 21 yard rush (pass failed),6,35,7.0,2023,99
,9:30,Ravens,Justin Tucker 32 yard field goal,6,38,7.0,2023,99
