Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Justin Herbert,LAC,0,0,7.0,2023,104
Joshua Kelley,LAC,0,0,7.0,2023,104
Austin Ekeler,LAC,0,0,7.0,2023,104
Derius Davis,LAC,0,0,7.0,2023,104
Josh Palmer,LAC,0,0,7.0,2023,104
Keenan Allen,LAC,0,0,7.0,2023,104
Gerald Everett,LAC,0,0,7.0,2023,104
Quentin Johnston,LAC,0,0,7.0,2023,104
Donald Parham,LAC,0,0,7.0,2023,104
Stone Smartt,LAC,0,0,7.0,2023,104
Patrick Mahomes,KAN,0,0,7.0,2023,104
Isiah Pacheco,KAN,0,0,7.0,2023,104
Clyde Edwards-Helaire,KAN,0,0,7.0,2023,104
Jerick McKinnon,KAN,0,0,7.0,2023,104
Travis Kelce,KAN,0,0,7.0,2023,104
Marquez Valdes-Scantling,KAN,0,0,7.0,2023,104
Rashee Rice,KAN,0,0,7.0,2023,104
Skyy Moore,KAN,0,0,7.0,2023,104
Kadarius Toney,KAN,0,0,7.0,2023,104
Noah Gray,KAN,0,0,7.0,2023,104
Blake Bell,KAN,1,1,7.0,2023,104
Mecole Hardman,KAN,0,0,7.0,2023,104
