Quarter,Time,Down,ToGo,Location,LVR,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,,7.0,2023,98
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,98
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,Tyson Bagent pass complete short left to D.J. Moore for 4 yards (tackle by Divine Deablo and Malcolm Koonce),0.61,0.6,7.0,2023,98
1.0,14:21,2.0,6.0,CHI 29,0.0,0.0,Darrynton Evans right guard for -1 yards (tackle by Bilal Nichols),0.6,-0.23,7.0,2023,98
1.0,13:42,3.0,7.0,CHI 28,0.0,0.0,Tyson Bagent pass incomplete short left intended for D'Onta Foreman,-0.23,-1.5,7.0,2023,98
1.0,13:38,4.0,7.0,CHI 28,0.0,0.0,"Trenton Gill punts 47 yards, returned by DeAndre Carter for 18 yards (tackle by Dylan Cole)",-1.5,-1.8,7.0,2023,98
1.0,13:27,1.0,10.0,LVR 43,0.0,0.0,Brian Hoyer pass complete short left to Davante Adams for 11 yards (tackle by Tyrique Stevenson),1.8,2.52,7.0,2023,98
1.0,12:56,1.0,10.0,CHI 46,0.0,0.0,Tre Tucker left end for 2 yards (tackle by Jaquan Brisker and Yannick Ngakoue),2.52,2.25,7.0,2023,98
1.0,12:19,2.0,8.0,CHI 44,0.0,0.0,Brian Hoyer pass complete short middle to Davante Adams for 15 yards (tackle by Jaquan Brisker),2.25,3.64,7.0,2023,98
1.0,11:36,1.0,10.0,CHI 29,0.0,0.0,Josh Jacobs left guard for 3 yards (tackle by Tremaine Edmunds),3.64,3.51,7.0,2023,98
1.0,10:58,2.0,7.0,CHI 26,0.0,0.0,Brian Hoyer pass complete short left to Davante Adams for 3 yards (tackle by Jaquan Brisker),3.51,3.2,7.0,2023,98
1.0,10:17,3.0,4.0,CHI 23,0.0,0.0,Brian Hoyer pass incomplete short left intended for Davante Adams (defended by Tyrique Stevenson),3.2,2.0,7.0,2023,98
1.0,10:12,4.0,4.0,CHI 23,0.0,0.0,Daniel Carlson 41 yard field goal no good,2.0,-1.0,7.0,2023,98
1.0,10:07,1.0,10.0,CHI 31,0.0,0.0,Tyler Scott left end for 8 yards (tackle by Isaiah Pola-Mao),1.0,1.54,7.0,2023,98
1.0,9:39,2.0,2.0,CHI 39,0.0,0.0,D'Onta Foreman left guard for 1 yard (tackle by John Jenkins and Robert Spillane),1.54,0.96,7.0,2023,98
1.0,9:04,3.0,1.0,CHI 40,0.0,0.0,D'Onta Foreman right end for 4 yards (tackle by Divine Deablo),0.96,1.86,7.0,2023,98
1.0,8:28,1.0,10.0,CHI 44,0.0,0.0,Tyson Bagent pass complete short left to D.J. Moore for 5 yards (tackle by David Long and Isaiah Pola-Mao),1.86,1.99,7.0,2023,98
1.0,7:48,2.0,5.0,CHI 49,0.0,0.0,Tyson Bagent pass complete short middle to Velus Jones for no gain (tackle by Robert Spillane and Maxx Crosby),1.99,1.29,7.0,2023,98
1.0,7:04,3.0,5.0,CHI 49,0.0,0.0,Tyson Bagent pass complete short middle to Tyler Scott for 13 yards (tackle by David Long),1.29,3.05,7.0,2023,98
1.0,6:33,1.0,10.0,LVR 38,0.0,0.0,Darnell Mooney left end for 2 yards (tackle by Robert Spillane),3.05,2.78,7.0,2023,98
1.0,6:06,2.0,8.0,LVR 36,0.0,0.0,D'Onta Foreman left end for 13 yards (tackle by Amik Robertson and Tre'von Moehrig),2.78,4.04,7.0,2023,98
1.0,5:26,1.0,10.0,LVR 23,0.0,0.0,Tyson Bagent scrambles right end for 10 yards (tackle by Divine Deablo),4.04,4.71,7.0,2023,98
1.0,4:45,1.0,10.0,LVR 13,0.0,0.0,D'Onta Foreman left tackle for 9 yards (tackle by Isaac Rochell and David Long),4.71,5.73,7.0,2023,98
1.0,4:02,2.0,1.0,LVR 4,0.0,0.0,Tyson Bagent pass complete short middle to D.J. Moore for 2 yards (tackle by Marcus Epps),5.73,6.74,7.0,2023,98
1.0,3:49,1.0,2.0,LVR 2,0.0,6.0,"D'Onta Foreman left guard for 2 yards, touchdown",6.74,7.0,7.0,2023,98
1.0,3:45,,,LVR 15,0.0,7.0,Cairo Santos kicks extra point good,0.0,0.0,7.0,2023,98
1.0,3:45,,,CHI 35,0.0,7.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,98
1.0,3:45,1.0,10.0,LVR 25,0.0,7.0,Josh Jacobs left guard for 3 yards (tackle by Jaquan Brisker),0.61,0.47,7.0,2023,98
1.0,3:04,2.0,7.0,LVR 28,0.0,7.0,Brian Hoyer pass incomplete deep middle intended for Michael Mayer,0.47,-0.23,7.0,2023,98
1.0,3:00,3.0,7.0,LVR 28,0.0,7.0,"Brian Hoyer pass incomplete short middle intended for Jakobi Meyers. Penalty on Jaylon Johnson: Illegal Contact, 5 yards (accepted) (no play)",-0.23,1.14,7.0,2023,98
1.0,2:54,1.0,10.0,LVR 33,0.0,7.0,Josh Jacobs left end for 1 yard (tackle by Gervon Dexter and Zacch Pickens),1.14,0.73,7.0,2023,98
1.0,2:14,2.0,9.0,LVR 34,0.0,7.0,Brian Hoyer pass complete short middle to Davante Adams for 14 yards (tackle by Jaquan Brisker),0.73,2.13,7.0,2023,98
1.0,1:35,1.0,10.0,LVR 48,0.0,7.0,Brian Hoyer pass complete short middle to Davante Adams for 5 yards (tackle by Tyrique Stevenson),2.13,2.26,7.0,2023,98
1.0,0:56,2.0,5.0,CHI 47,0.0,7.0,Brian Hoyer pass incomplete short left intended for Davante Adams (defended by Tyrique Stevenson),2.26,1.55,7.0,2023,98
1.0,0:52,3.0,5.0,CHI 47,0.0,7.0,Brian Hoyer pass incomplete short left intended for Jakobi Meyers,1.55,0.13,7.0,2023,98
1.0,0:48,4.0,5.0,CHI 47,0.0,7.0,"AJ Cole punts 39 yards, fair catch by Trent Taylor at CHI-8",0.13,0.38,7.0,2023,98
