Unnamed: 0,MIA,PHI,week,year,game_id
First Downs,12,26,7.0,2023,105
Rush-Yds-TDs,12-45-0,34-99-2,7.0,2023,105
Cmp-Att-Yd-TD-INT,23-32-216-1-1,23-31-279-2-1,7.0,2023,105
Sacked-Yards,4-17,3-23,7.0,2023,105
Net Pass Yards,199,256,7.0,2023,105
Total Yards,244,355,7.0,2023,105
Fumbles-Lost,1-0,1-1,7.0,2023,105
Turnovers,1,2,7.0,2023,105
Penalties-Yards,10-70,0-0,7.0,2023,105
Third Down Conv.,4-11,4-12,7.0,2023,105
Fourth Down Conv.,0-2,4-4,7.0,2023,105
Time of Possession,23:17,36:43,7.0,2023,105
