Unnamed: 0,WAS,NYG,week,year,game_id
First Downs,14,16,7.0,2023,100
Rush-Yds-TDs,19-76-1,32-106-0,7.0,2023,100
Cmp-Att-Yd-TD-INT,22-42-249-0-1,18-29-279-2-0,7.0,2023,100
Sacked-Yards,6-52,4-29,7.0,2023,100
Net Pass Yards,197,250,7.0,2023,100
Total Yards,273,356,7.0,2023,100
Fumbles-Lost,1-0,3-2,7.0,2023,100
Turnovers,1,2,7.0,2023,100
Penalties-Yards,10-75,4-40,7.0,2023,100
Third Down Conv.,1-15,5-16,7.0,2023,100
Fourth Down Conv.,2-3,0-0,7.0,2023,100
Time of Possession,31:14,28:46,7.0,2023,100
