Quarter,Time,Tm,Detail,ATL,TAM,week,year,game_id
1.0,6:48,Falcons,Desmond Ridder 2 yard rush (Younghoe Koo kick),7,0,7.0,2023,96
,3:24,Buccaneers,Mike Evans 40 yard pass from Baker Mayfield (Chase McLaughlin kick),7,7,7.0,2023,96
2.0,11:51,Falcons,Younghoe Koo 24 yard field goal,10,7,7.0,2023,96
,5:14,Buccaneers,Chase McLaughlin 24 yard field goal,10,10,7.0,2023,96
3.0,2:04,Falcons,Younghoe Koo 41 yard field goal,13,10,7.0,2023,96
4.0,0:45,Buccaneers,Chase McLaughlin 36 yard field goal,13,13,7.0,2023,96
,0:00,Falcons,Younghoe Koo 51 yard field goal,16,13,7.0,2023,96
