Unnamed: 0,ATL,TAM,week,year,game_id
First Downs,20,21,7.0,2023,96
Rush-Yds-TDs,38-156-1,20-73-0,7.0,2023,96
Cmp-Att-Yd-TD-INT,19-25-250-0-0,27-42-275-1-1,7.0,2023,96
Sacked-Yards,1-5,3-19,7.0,2023,96
Net Pass Yards,245,256,7.0,2023,96
Total Yards,401,329,7.0,2023,96
Fumbles-Lost,3-3,2-1,7.0,2023,96
Turnovers,3,2,7.0,2023,96
Penalties-Yards,9-60,9-66,7.0,2023,96
Third Down Conv.,7-13,6-12,7.0,2023,96
Fourth Down Conv.,0-0,0-1,7.0,2023,96
Time of Possession,29:59,30:01,7.0,2023,96
