Quarter,Time,Tm,Detail,LVR,CHI,week,year,game_id
1.0,3:45,Bears,D'Onta Foreman 2 yard rush (Cairo Santos kick),0,7,7.0,2023,98
2.0,7:31,Bears,D'Onta Foreman 3 yard rush (Cairo Santos kick),0,14,7.0,2023,98
,1:47,Raiders,Daniel Carlson 40 yard field goal,3,14,7.0,2023,98
3.0,4:04,Bears,D'Onta Foreman 5 yard pass from Tyson Bagent (Cairo Santos kick),3,21,7.0,2023,98
4.0,12:20,Raiders,Daniel Carlson 25 yard field goal,6,21,7.0,2023,98
,5:46,Bears,Cairo Santos 54 yard field goal,6,24,7.0,2023,98
,5:36,Bears,Jaylon Johnson 39 yard interception return (Cairo Santos kick failed),6,30,7.0,2023,98
,1:10,Raiders,Jakobi Meyers 9 yard pass from Aidan O'Connell (pass failed),12,30,7.0,2023,98
