Quarter,Time,Tm,Detail,WAS,NYG,week,year,game_id
2.0,14:18,Giants,Darren Waller 15 yard pass from Tyrod Taylor (Graham Gano kick),0,7,7.0,2023,100
,8:56,Giants,Saquon Barkley 32 yard pass from Tyrod Taylor (Graham Gano kick),0,14,7.0,2023,100
3.0,10:21,Commanders,Brian Robinson Jr. 4 yard rush (Joey Slye kick),7,14,7.0,2023,100
