Quarter,Time,Down,ToGo,Location,MIA,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Eagles to receive the opening kickoff.",,,7.0,2023,105
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 49 yards, returned by Olamide Zaccheaus for 7 yards (tackle by Chase Claypool)",0.0,0.48,7.0,2023,105
1.0,14:54,1.0,10.0,PHI 23,0.0,0.0,D'Andre Swift left end for 7 yards (tackle by Eli Apple),0.48,0.88,7.0,2023,105
1.0,14:23,2.0,3.0,PHI 30,0.0,0.0,D'Andre Swift right guard for 1 yard (tackle by Raekwon Davis and Bradley Chubb),0.88,0.3,7.0,2023,105
1.0,13:44,3.0,2.0,PHI 31,0.0,0.0,D'Andre Swift up the middle for 3 yards (tackle by Christian Wilkins),0.3,1.2,7.0,2023,105
1.0,13:03,1.0,10.0,PHI 34,0.0,0.0,"Jalen Hurts pass complete short left to DeVonta Smith for no gain (tackle by Jevon Holland). Penalty on Christian Wilkins: Defensive Offside, 5 yards (accepted) (no play)",1.2,1.93,7.0,2023,105
1.0,12:40,1.0,5.0,PHI 39,0.0,0.0,D'Andre Swift right end for 7 yards (tackle by Jevon Holland),1.93,1.99,7.0,2023,105
1.0,12:02,1.0,10.0,PHI 46,0.0,0.0,Jalen Hurts pass incomplete deep left intended for DeVonta Smith (defended by Eli Apple),1.99,1.45,7.0,2023,105
1.0,11:54,2.0,10.0,PHI 46,0.0,0.0,Jalen Hurts pass complete short left to D'Andre Swift for 2 yards (tackle by Jerome Baker),1.45,1.03,7.0,2023,105
1.0,11:09,3.0,8.0,PHI 48,0.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 22 yards (tackle by Jevon Holland),1.03,3.58,7.0,2023,105
1.0,10:42,1.0,10.0,MIA 30,0.0,0.0,Jalen Hurts pass complete deep left to Dallas Goedert for 22 yards (tackle by DeShon Elliott and Jerome Baker),3.58,5.37,7.0,2023,105
1.0,10:05,1.0,8.0,MIA 8,0.0,0.0,Jalen Hurts right end for -2 yards (tackle by Jerome Baker),5.37,4.19,7.0,2023,105
1.0,9:23,2.0,10.0,MIA 10,0.0,0.0,Kenneth Gainwell left guard for 1 yard (tackle by Jerome Baker and DeShon Elliott),4.19,3.36,7.0,2023,105
1.0,8:38,3.0,9.0,MIA 9,0.0,0.0,Jalen Hurts up the middle for 3 yards (tackle by Bradley Chubb),3.36,2.99,7.0,2023,105
1.0,7:57,4.0,6.0,MIA 6,0.0,3.0,Jake Elliott 24 yard field goal good,2.99,3.0,7.0,2023,105
1.0,7:54,,,PHI 35,0.0,3.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,105
1.0,7:54,1.0,10.0,MIA 25,0.0,3.0,"Penalty on MIA: Delay of Game, 5 yards (accepted) (no play)",0.61,0.28,7.0,2023,105
1.0,7:54,1.0,15.0,MIA 20,0.0,3.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 8 yards (tackle by Terrell Edmunds),0.28,0.47,7.0,2023,105
1.0,7:21,2.0,7.0,MIA 28,0.0,3.0,Tua Tagovailoa pass complete deep left to Tyreek Hill for 15 yards (tackle by Terrell Edmunds),0.47,1.8,7.0,2023,105
1.0,6:42,1.0,10.0,MIA 43,0.0,3.0,Raheem Mostert right end for -5 yards (tackle by Haason Reddick),1.8,0.58,7.0,2023,105
1.0,6:00,2.0,15.0,MIA 38,0.0,3.0,Tua Tagovailoa pass complete short left to Tyreek Hill for no gain (tackle by James Bradberry),0.58,-0.1,7.0,2023,105
1.0,5:23,3.0,15.0,MIA 38,0.0,3.0,Tua Tagovailoa pass incomplete short left intended for Raheem Mostert,-0.1,-0.85,7.0,2023,105
1.0,5:19,4.0,15.0,MIA 38,0.0,3.0,Jake Bailey punts 31 yards out of bounds,-0.85,-1.0,7.0,2023,105
1.0,5:12,1.0,10.0,PHI 31,0.0,3.0,D'Andre Swift right guard for 2 yards (tackle by David Long),1.0,0.73,7.0,2023,105
1.0,4:36,2.0,8.0,PHI 33,0.0,3.0,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by David Long),0.73,0.04,7.0,2023,105
1.0,4:32,3.0,8.0,PHI 33,0.0,3.0,"Jalen Hurts sacked by Bradley Chubb for -10 yards. Jalen Hurts fumbles (forced by Bradley Chubb), recovered by Christian Wilkins at PHI-23",0.04,-4.04,7.0,2023,105
1.0,4:24,1.0,10.0,PHI 23,0.0,3.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 3 yards (tackle by Darius Slay),4.04,3.9,7.0,2023,105
1.0,3:50,2.0,7.0,PHI 20,0.0,3.0,Raheem Mostert right tackle for -2 yards (tackle by Haason Reddick),3.9,2.94,7.0,2023,105
1.0,3:06,3.0,9.0,PHI 22,0.0,3.0,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 16 yards (tackle by Terrell Edmunds),2.94,5.83,7.0,2023,105
1.0,2:32,1.0,6.0,PHI 6,0.0,3.0,Raheem Mostert up the middle for -1 yards (tackle by Nicholas Morrow and Milton Williams),5.83,4.76,7.0,2023,105
1.0,1:50,2.0,7.0,PHI 7,0.0,3.0,Tua Tagovailoa pass complete short right to Tyreek Hill for -5 yards (tackle by Darius Slay),4.76,3.1,7.0,2023,105
1.0,1:10,3.0,12.0,PHI 12,0.0,3.0,"Tua Tagovailoa pass complete short right to Tyreek Hill for no gain, touchdown. Penalty on Lester Cotton: Offensive Holding, 10 yards (accepted) (no play)",3.1,2.08,7.0,2023,105
1.0,1:06,3.0,22.0,PHI 22,0.0,3.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,2.08,1.99,7.0,2023,105
1.0,1:03,4.0,22.0,PHI 22,3.0,3.0,Jason Sanders 40 yard field goal good,1.99,3.0,7.0,2023,105
1.0,0:59,,,MIA 35,3.0,3.0,"Jason Sanders kicks off 64 yards, returned by Boston Scott for 38 yards (tackle by Jevon Holland)",0.0,1.53,7.0,2023,105
1.0,0:52,1.0,10.0,PHI 39,3.0,3.0,D'Andre Swift right end for 7 yards (tackle by Jaelan Phillips),1.53,1.93,7.0,2023,105
1.0,0:09,2.0,3.0,PHI 46,3.0,3.0,Jalen Hurts pass complete short middle to DeVonta Smith for 8 yards (tackle by Jevon Holland),1.93,2.52,7.0,2023,105
2.0,15:00,1.0,10.0,MIA 46,3.0,3.0,Jalen Hurts pass complete short right to Dallas Goedert for 4 yards (tackle by David Long),2.52,2.52,7.0,2023,105
2.0,14:17,2.0,6.0,MIA 42,3.0,3.0,Jalen Hurts pass complete short right to A.J. Brown for 5 yards (tackle by Kader Kohou),2.52,2.48,7.0,2023,105
2.0,13:38,3.0,1.0,MIA 37,3.0,3.0,Kenneth Gainwell right tackle for no gain (tackle by Jaelan Phillips and Raekwon Davis),2.48,0.79,7.0,2023,105
2.0,13:16,4.0,1.0,MIA 37,3.0,3.0,"Jalen Hurts up the middle for no gain Penalty on MIA: Defensive Offside, 5 yards (offset) Penalty on PHI: Offensive Offside, 5 yards (offset) (no play)",0.79,0.79,7.0,2023,105
2.0,13:00,4.0,1.0,MIA 37,3.0,3.0,Jalen Hurts up the middle for 2 yards (tackle by Bradley Chubb and Jerome Baker),0.79,3.25,7.0,2023,105
2.0,12:16,1.0,10.0,MIA 35,3.0,3.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,3.25,2.7,7.0,2023,105
2.0,12:10,2.0,10.0,MIA 35,3.0,3.0,"Jalen Hurts pass incomplete intended for D'Andre Swift. Penalty on Christian Wilkins: Roughing the Passer, 15 yards (accepted) (no play)",2.7,4.24,7.0,2023,105
2.0,12:07,1.0,10.0,MIA 20,3.0,3.0,D'Andre Swift left guard for 1 yard (tackle by Andrew Van Ginkel and Christian Wilkins),4.24,3.82,7.0,2023,105
2.0,11:31,2.0,9.0,MIA 19,3.0,9.0,"Jalen Hurts pass complete short left to Dallas Goedert for 19 yards, touchdown",3.82,7.0,7.0,2023,105
2.0,11:25,,,MIA 15,3.0,10.0,Jake Elliott kicks extra point good,0.0,0.0,7.0,2023,105
