Unnamed: 0,PIT,LAR,week,year,game_id
First Downs,17,19,7.0,2023,101
Rush-Yds-TDs,29-86-3,31-135-1,7.0,2023,101
Cmp-Att-Yd-TD-INT,17-25-230-0-0,14-29-231-1-1,7.0,2023,101
Sacked-Yards,2-16,2-12,7.0,2023,101
Net Pass Yards,214,219,7.0,2023,101
Total Yards,300,354,7.0,2023,101
Fumbles-Lost,1-0,0-0,7.0,2023,101
Turnovers,0,1,7.0,2023,101
Penalties-Yards,8-76,5-40,7.0,2023,101
Third Down Conv.,4-12,9-16,7.0,2023,101
Fourth Down Conv.,1-1,0-0,7.0,2023,101
Time of Possession,28:14,31:46,7.0,2023,101
