Quarter,Time,Down,ToGo,Location,CLE,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Browns to receive the opening kickoff.",,,7.0,2023,95
1.0,15:00,,,IND 35,0.0,0.0,"Matt Gay kicks off 64 yards, returned by Pierre Strong for 22 yards (tackle by Nick Cross)",0.0,0.48,7.0,2023,95
1.0,14:55,1.0,10.0,CLE 23,0.0,0.0,Deshaun Watson pass incomplete short middle intended for Jerome Ford,0.48,-0.07,7.0,2023,95
1.0,14:51,2.0,10.0,CLE 23,0.0,0.0,Jerome Ford right end for 8 yards (tackle by Zaire Franklin),-0.07,0.3,7.0,2023,95
1.0,14:12,3.0,2.0,CLE 31,6.0,0.0,"Jerome Ford right guard for 69 yards, touchdown",0.3,7.0,7.0,2023,95
1.0,14:03,,,IND 15,7.0,0.0,Dustin Hopkins kicks extra point good,0.0,0.0,7.0,2023,95
1.0,14:03,,,CLE 35,7.0,0.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,95
1.0,14:03,1.0,10.0,IND 25,7.0,0.0,Jonathan Taylor up the middle for 6 yards (tackle by Grant Delpit and Dalvin Tomlinson),0.61,0.87,7.0,2023,95
1.0,13:39,2.0,4.0,IND 31,7.0,0.0,Jonathan Taylor up the middle for 1 yard (tackle by Myles Garrett and Dalvin Tomlinson),0.87,0.3,7.0,2023,95
1.0,12:58,3.0,3.0,IND 32,7.0,0.0,Gardner Minshew pass complete short middle to Josh Downs for 6 yards (tackle by Jeremiah Owusu-Koramoah),0.3,1.47,7.0,2023,95
1.0,12:31,1.0,10.0,IND 38,7.0,0.0,Gardner Minshew pass incomplete short right intended for Will Mallory,1.47,0.92,7.0,2023,95
1.0,12:28,2.0,10.0,IND 38,7.0,0.0,Zack Moss right tackle for 3 yards (tackle by Myles Garrett),0.92,0.63,7.0,2023,95
1.0,11:47,3.0,7.0,IND 41,7.0,6.0,"Gardner Minshew pass complete deep right to Josh Downs for 59 yards, touchdown. Penalty on Myles Garrett: Defensive Offside, 5 yards (declined)",0.63,7.0,7.0,2023,95
1.0,11:38,,,CLE 15,7.0,6.0,"Matt Gay kicks extra point good. Penalty on Taven Bryan: Illegal Formation, 5 yards (accepted) (no play)",0.0,0.0,7.0,2023,95
1.0,11:38,,,CLE 20,7.0,7.0,Matt Gay kicks extra point good,0.0,0.0,7.0,2023,95
1.0,11:38,,,IND 35,7.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,95
1.0,11:38,1.0,10.0,CLE 25,7.0,7.0,Kareem Hunt up the middle for 2 yards (tackle by Eric Johnson and Kenny Moore),0.61,0.33,7.0,2023,95
1.0,11:05,2.0,8.0,CLE 27,7.0,7.0,Deshaun Watson pass incomplete short right intended for Kareem Hunt,0.33,-0.36,7.0,2023,95
1.0,11:01,3.0,8.0,CLE 27,7.0,7.0,"Deshaun Watson pass deep right intended for Marquise Goodwin is intercepted by Julian Blackmon at IND-45 and returned for no gain Penalty on CLE: Illegal Formation, 5 yards (declined)",-0.36,-1.93,7.0,2023,95
1.0,10:54,1.0,10.0,IND 45,7.0,7.0,Zack Moss up the middle for 5 yards (tackle by Greg Newsome and Anthony Walker),1.93,2.06,7.0,2023,95
1.0,10:18,2.0,5.0,IND 50,7.0,7.0,Zack Moss up the middle for 4 yards (tackle by Shelby Harris),2.06,1.88,7.0,2023,95
1.0,9:54,3.0,1.0,CLE 46,7.0,7.0,Zack Moss left tackle for -3 yards (tackle by Maurice Hurst and Shelby Harris),1.88,0.0,7.0,2023,95
1.0,9:10,4.0,4.0,CLE 49,7.0,7.0,Rigoberto Sanchez punts 46 yards downed by Tony Brown,0.0,0.38,7.0,2023,95
1.0,9:03,1.0,10.0,CLE 3,7.0,7.0,Jerome Ford right end for 3 yards (tackle by Kenny Moore and Shaquille Leonard),-0.38,-0.56,7.0,2023,95
1.0,8:28,2.0,7.0,CLE 6,7.0,7.0,Jerome Ford left end for -4 yards (tackle by E.J. Speed),-0.56,-1.54,7.0,2023,95
1.0,7:47,3.0,11.0,CLE 2,7.0,7.0,Deshaun Watson pass complete short left to Donovan Peoples-Jones for 5 yards (tackle by Julian Blackmon),-1.54,-2.49,7.0,2023,95
1.0,7:05,4.0,6.0,CLE 7,7.0,7.0,"Corey Bojorquez punts 58 yards, returned by Isaiah McKenzie for 8 yards (tackle by Matthew Adams and Rodney McLeod)",-2.49,-1.8,7.0,2023,95
1.0,6:53,1.0,10.0,IND 43,7.0,7.0,Gardner Minshew pass incomplete deep left intended for Josh Downs,1.8,1.25,7.0,2023,95
1.0,6:47,2.0,10.0,IND 43,7.0,7.0,Gardner Minshew pass complete short left to Jonathan Taylor for 19 yards (tackle by Juan Thornhill),1.25,3.05,7.0,2023,95
1.0,6:27,1.0,10.0,CLE 38,7.0,7.0,"Gardner Minshew scrambles right end for 8 yards (tackle by Jeremiah Owusu-Koramoah). Penalty on Martin Emerson: Defensive Holding, 5 yards (accepted)",3.05,3.91,7.0,2023,95
1.0,5:53,1.0,10.0,CLE 25,7.0,7.0,Jonathan Taylor up the middle for 5 yards (tackle by Juan Thornhill),3.91,4.04,7.0,2023,95
1.0,5:16,2.0,5.0,CLE 20,7.0,7.0,Jonathan Taylor up the middle for 3 yards (tackle by Myles Garrett and Grant Delpit),4.04,3.85,7.0,2023,95
1.0,4:34,3.0,2.0,CLE 17,7.0,13.0,"Gardner Minshew scrambles right tackle for 17 yards, touchdown",3.85,7.0,7.0,2023,95
1.0,4:28,,,CLE 15,7.0,14.0,Matt Gay kicks extra point good,0.0,0.0,7.0,2023,95
1.0,4:28,,,IND 35,7.0,14.0,"Matt Gay kicks off 67 yards, returned by Pierre Strong for 24 yards (tackle by Nick Cross and Trevor Denbow)",0.0,0.41,7.0,2023,95
1.0,4:23,1.0,10.0,CLE 22,7.0,14.0,Jerome Ford right tackle for 3 yards (tackle by Zaire Franklin),0.41,0.27,7.0,2023,95
1.0,3:58,2.0,7.0,CLE 25,7.0,14.0,Jerome Ford right tackle for no gain (tackle by Kwity Paye and Shaquille Leonard),0.27,-0.43,7.0,2023,95
1.0,3:03,3.0,7.0,CLE 25,7.0,14.0,"Deshaun Watson pass intended for Elijah Moore is intercepted by Kenny Moore at CLE-43 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Deshaun Watson pass incomplete deep left intended for Elijah Moore",-0.43,-1.7,7.0,2023,95
1.0,3:00,4.0,7.0,CLE 25,7.0,14.0,"Corey Bojorquez punts 69 yards, returned by Isaiah McKenzie for 21 yards (tackle by Charley Hughlett and Mohamoud Diabate)",-1.7,-0.74,7.0,2023,95
1.0,2:51,1.0,10.0,IND 27,7.0,14.0,Zack Moss up the middle for 9 yards (tackle by Martin Emerson and Juan Thornhill),0.74,1.41,7.0,2023,95
1.0,2:16,2.0,1.0,IND 36,7.0,14.0,Zack Moss left guard for 3 yards (tackle by Greg Newsome and Tony Fields),1.41,1.53,7.0,2023,95
1.0,1:34,1.0,10.0,IND 39,7.0,14.0,"Gardner Minshew sacked by Myles Garrett for -6 yards. Gardner Minshew fumbles (forced by Myles Garrett), recovered by Anthony Walker at IND-36 (tackle by Myles Garrett)",1.53,-3.18,7.0,2023,95
1.0,1:23,1.0,10.0,IND 36,7.0,14.0,Kareem Hunt left tackle for 11 yards (tackle by Samson Ebukam),3.18,3.91,7.0,2023,95
1.0,0:48,1.0,10.0,IND 25,7.0,14.0,Kareem Hunt left tackle for 5 yards (tackle by Samson Ebukam and Shaquille Leonard),3.91,4.04,7.0,2023,95
1.0,0:19,2.0,5.0,IND 20,7.0,14.0,Marquise Goodwin right end for 17 yards (tackle by DeForest Buckner),4.04,6.51,7.0,2023,95
2.0,15:00,1.0,3.0,IND 3,7.0,14.0,Kareem Hunt up the middle for 1 yard (tackle by DeForest Buckner),6.51,5.72,7.0,2023,95
2.0,14:24,2.0,2.0,IND 2,13.0,14.0,"Kareem Hunt up the middle for 2 yards, touchdown",5.72,7.0,7.0,2023,95
2.0,14:22,,,IND 15,14.0,14.0,Dustin Hopkins kicks extra point good,0.0,0.0,7.0,2023,95
2.0,14:22,,,CLE 35,14.0,14.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,95
2.0,14:22,1.0,10.0,IND 25,14.0,14.0,Gardner Minshew pass complete short right to Alec Pierce for 11 yards (tackle by Denzel Ward),0.61,1.33,7.0,2023,95
2.0,13:43,1.0,10.0,IND 36,14.0,14.0,Zack Moss right guard for 21 yards (tackle by Juan Thornhill),1.33,2.72,7.0,2023,95
2.0,13:11,1.0,10.0,CLE 43,14.0,14.0,"Gardner Minshew scrambles for no gain. Penalty on Bernhard Raimann: Offensive Holding, 10 yards (offset) . Penalty on Za'Darius Smith: Unnecessary Roughness / Defense, 15 yards (offset) (no play)",2.72,2.72,7.0,2023,95
2.0,12:56,1.0,10.0,CLE 43,14.0,14.0,Gardner Minshew pass complete short left to Alec Pierce for 10 yards (tackle by Juan Thornhill),2.72,3.38,7.0,2023,95
2.0,12:17,1.0,10.0,CLE 33,14.0,14.0,Gardner Minshew pass incomplete short left intended for Jonathan Taylor,3.38,2.84,7.0,2023,95
2.0,12:11,2.0,10.0,CLE 33,14.0,14.0,Zack Moss left tackle for 7 yards (tackle by Anthony Walker),2.84,3.07,7.0,2023,95
2.0,11:29,3.0,3.0,CLE 26,14.0,14.0,"Gardner Minshew scrambles for no gain. Penalty on Will Fries: Offensive Holding, 10 yards (accepted) (no play)",3.07,1.75,7.0,2023,95
2.0,10:57,3.0,13.0,CLE 36,14.0,14.0,Gardner Minshew pass complete short left to Mo Alie-Cox for -6 yards (tackle by Grant Delpit),1.75,0.46,7.0,2023,95
2.0,10:16,4.0,19.0,CLE 42,14.0,14.0,Matt Gay 60 yard field goal no good blocked by Myles Garrett (tackle by Andrew Ogletree),0.46,-3.84,7.0,2023,95
2.0,10:09,1.0,10.0,IND 26,14.0,14.0,Jerome Ford right tackle for 3 yards (tackle by DeForest Buckner and Tyquan Lewis),3.84,3.7,7.0,2023,95
2.0,9:32,2.0,7.0,IND 23,14.0,14.0,Jerome Ford left end for -3 yards (tackle by Tyquan Lewis and E.J. Speed),3.7,2.61,7.0,2023,95
2.0,8:47,3.0,10.0,IND 26,14.0,14.0,P.J. Walker pass incomplete short middle intended for Elijah Moore,2.61,1.74,7.0,2023,95
2.0,8:43,4.0,10.0,IND 26,17.0,14.0,Dustin Hopkins 44 yard field goal good,1.74,3.0,7.0,2023,95
