Quarter,Time,Tm,Detail,SFO,MIN,week,year,game_id
1.0,4:48,Vikings,Jordan Addison 20 yard pass from Kirk Cousins (Greg Joseph kick),0,7,7.0,2023,106
2.0,7:33,Vikings,Greg Joseph 21 yard field goal,0,10,7.0,2023,106
,1:01,49ers,Christian McCaffrey 3 yard rush (Jake Moody kick),7,10,7.0,2023,106
,0:07,Vikings,Jordan Addison 60 yard pass from Kirk Cousins (Greg Joseph kick failed),7,16,7.0,2023,106
3.0,6:59,Vikings,Greg Joseph 20 yard field goal,7,19,7.0,2023,106
,5:54,49ers,Christian McCaffrey 35 yard pass from Brock Purdy (Jake Moody kick),14,19,7.0,2023,106
,0:20,Vikings,Greg Joseph 54 yard field goal,14,22,7.0,2023,106
4.0,13:21,49ers,Jake Moody 55 yard field goal,17,22,7.0,2023,106
