Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
49ers,13.0,14.22,17.2,-3.38,0.0,2.05,5.31,-3.26,9.21,-2.57,-1.71,2.09,-1.66,-2.25,0.96,11.0,2023,160
Buccaneers,-13.0,-2.05,-5.31,3.26,-9.21,-14.22,-17.2,3.38,0.0,2.57,-2.09,1.71,2.25,1.66,-0.96,11.0,2023,160
