Unnamed: 0,ARI,HOU,week,year,game_id
First Downs,20,22,11.0,2023,158
Rush-Yds-TDs,25-123-1,25-111-1,11.0,2023,158
Cmp-Att-Yd-TD-INT,20-30-214-1-1,28-38-338-2-3,11.0,2023,158
Sacked-Yards,3-18,4-30,11.0,2023,158
Net Pass Yards,196,308,11.0,2023,158
Total Yards,319,419,11.0,2023,158
Fumbles-Lost,2-1,0-0,11.0,2023,158
Turnovers,2,3,11.0,2023,158
Penalties-Yards,5-50,3-19,11.0,2023,158
Third Down Conv.,3-10,9-13,11.0,2023,158
Fourth Down Conv.,1-4,0-1,11.0,2023,158
Time of Possession,28:45,31:15,11.0,2023,158
