Unnamed: 0,PHI,KAN,week,year,game_id
First Downs,16,23,11.0,2023,164
Rush-Yds-TDs,27-114-3,30-168-0,11.0,2023,164
Cmp-Att-Yd-TD-INT,14-22-150-0-1,24-43-177-2-1,11.0,2023,164
Sacked-Yards,5-26,1-9,11.0,2023,164
Net Pass Yards,124,168,11.0,2023,164
Total Yards,238,336,11.0,2023,164
Fumbles-Lost,1-0,1-1,11.0,2023,164
Turnovers,1,2,11.0,2023,164
Penalties-Yards,7-61,7-55,11.0,2023,164
Third Down Conv.,3-11,8-17,11.0,2023,164
Fourth Down Conv.,0-0,2-3,11.0,2023,164
Time of Possession,27:59,32:01,11.0,2023,164
