Unnamed: 0,TAM,SFO,week,year,game_id
First Downs,22,22,11.0,2023,160
Rush-Yds-TDs,18-66-1,30-115-0,11.0,2023,160
Cmp-Att-Yd-TD-INT,29-45-246-1-1,21-25-333-3-0,11.0,2023,160
Sacked-Yards,4-25,4-28,11.0,2023,160
Net Pass Yards,221,305,11.0,2023,160
Total Yards,287,420,11.0,2023,160
Fumbles-Lost,2-1,0-0,11.0,2023,160
Turnovers,2,0,11.0,2023,160
Penalties-Yards,3-19,7-66,11.0,2023,160
Third Down Conv.,7-14,4-10,11.0,2023,160
Fourth Down Conv.,1-3,0-1,11.0,2023,160
Time of Possession,29:09,30:51,11.0,2023,160
