Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Jets to receive the opening kickoff.",,,11.0,2023,162
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 57 yards, returned by Xavier Gipson for 13 yards. Xavier Gipson fumbles (forced by Reggie Gilliam), recovered by Quintin Morris at NYJ-21",0.0,-4.17,11.0,2023,162
1.0,14:53,1.0,10.0,NYJ 21,0.0,0.0,Josh Allen scrambles right tackle for 3 yards (tackle by Brandin Echols),4.17,4.04,11.0,2023,162
1.0,14:18,2.0,7.0,NYJ 18,0.0,0.0,Josh Allen pass incomplete short left intended for Stefon Diggs,4.04,3.31,11.0,2023,162
1.0,14:15,3.0,7.0,NYJ 18,0.0,0.0,Josh Allen sacked by Quinnen Williams for -12 yards,3.31,1.41,11.0,2023,162
1.0,13:35,4.0,19.0,NYJ 30,0.0,3.0,Tyler Bass 48 yard field goal good,1.41,3.0,11.0,2023,162
1.0,13:31,,,BUF 35,0.0,3.0,"Tyler Bass kicks off 59 yards, returned by Xavier Gipson for 19 yards (tackle by Reggie Gilliam)",0.0,0.61,11.0,2023,162
1.0,13:15,1.0,10.0,NYJ 25,0.0,3.0,"Breece Hall right guard for 2 yards (tackle by Gregory Rousseau). Penalty on Jordan Phillips: Unnecessary Roughness / Defense, 15 yards (accepted)",0.61,1.73,11.0,2023,162
1.0,13:03,1.0,10.0,NYJ 42,0.0,3.0,Zach Wilson pass incomplete short right intended for Breece Hall,1.73,1.19,11.0,2023,162
1.0,12:58,2.0,10.0,NYJ 42,0.0,3.0,Zach Wilson sacked by Shaq Lawson for -10 yards,1.19,-0.82,11.0,2023,162
1.0,12:18,3.0,20.0,NYJ 32,0.0,3.0,Zach Wilson pass incomplete deep left intended for Garrett Wilson,-0.82,-1.24,11.0,2023,162
1.0,12:12,4.0,20.0,NYJ 32,0.0,3.0,"Thomas Morstead punts 40 yards, returned by Deonte Harty for 2 yards (tackle by Thomas Hennessy)",-1.24,-0.94,11.0,2023,162
1.0,12:01,1.0,10.0,BUF 30,0.0,3.0,James Cook left end for no gain (tackle by Jermaine Johnson),0.94,0.39,11.0,2023,162
1.0,11:29,2.0,10.0,BUF 30,0.0,3.0,Josh Allen pass complete short left to Stefon Diggs for 4 yards. Stefon Diggs fumbles (forced by Quinton Jefferson) (tackle by Jermaine Johnson). Stefon Diggs fumbles out of bounds,0.39,0.23,11.0,2023,162
1.0,10:46,3.0,6.0,BUF 34,0.0,3.0,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by D.J. Reed),0.23,1.8,11.0,2023,162
1.0,10:27,1.0,10.0,BUF 43,0.0,3.0,Josh Allen pass incomplete short right intended for Stefon Diggs,1.8,1.25,11.0,2023,162
1.0,10:26,2.0,10.0,BUF 43,0.0,3.0,Josh Allen pass complete short left to Dalton Kincaid for 5 yards (tackle by D.J. Reed),1.25,1.22,11.0,2023,162
1.0,9:47,3.0,5.0,BUF 48,0.0,3.0,Josh Allen scrambles left guard for 7 yards (tackle by D.J. Reed),1.22,2.59,11.0,2023,162
1.0,9:13,1.0,10.0,NYJ 45,0.0,3.0,James Cook right guard for 7 yards (tackle by Jordan Whitehead and Will McDonald),2.59,2.99,11.0,2023,162
1.0,8:41,2.0,3.0,NYJ 38,0.0,3.0,James Cook left tackle for 5 yards (tackle by Solomon Thomas),2.99,3.38,11.0,2023,162
1.0,8:15,1.0,10.0,NYJ 33,0.0,3.0,James Cook left tackle for 6 yards (tackle by Tony Adams),3.38,3.65,11.0,2023,162
1.0,7:34,2.0,4.0,NYJ 27,0.0,3.0,Josh Allen pass complete short right to Dalton Kincaid for 13 yards (tackle by Tony Adams),3.65,4.65,11.0,2023,162
1.0,6:53,1.0,10.0,NYJ 14,0.0,3.0,Latavius Murray up the middle for 2 yards (tackle by Quinnen Williams and Jermaine Johnson),4.65,4.33,11.0,2023,162
1.0,6:14,2.0,8.0,NYJ 12,0.0,3.0,Josh Allen pass incomplete short left intended for Quintin Morris,4.33,3.43,11.0,2023,162
1.0,6:08,3.0,8.0,NYJ 12,0.0,3.0,Josh Allen pass incomplete short right,3.43,2.63,11.0,2023,162
1.0,5:59,4.0,8.0,NYJ 12,0.0,6.0,Tyler Bass 30 yard field goal good,2.63,3.0,11.0,2023,162
1.0,5:56,,,BUF 35,0.0,6.0,"Tyler Bass kicks off 59 yards, returned by Xavier Gipson for 28 yards (tackle by Taylor Rapp)",0.0,1.2,11.0,2023,162
1.0,5:50,1.0,10.0,NYJ 34,0.0,6.0,Breece Hall up the middle for no gain (tackle by Tyrel Dodson and Terrel Bernard),1.2,0.66,11.0,2023,162
1.0,5:14,2.0,10.0,NYJ 34,0.0,6.0,Zach Wilson pass complete short right to Breece Hall for 14 yards (tackle by Taron Johnson),0.66,2.13,11.0,2023,162
1.0,4:36,1.0,10.0,NYJ 48,0.0,6.0,Breece Hall right end for -3 yards (tackle by Tyrel Dodson),2.13,1.18,11.0,2023,162
1.0,3:53,2.0,13.0,NYJ 45,0.0,6.0,Zach Wilson sacked by and Terrel Bernard for -6 yards and Leonard Floyd for -6 yards,1.18,-0.29,11.0,2023,162
1.0,3:08,3.0,19.0,NYJ 39,0.0,6.0,Dalvin Cook up the middle for 10 yards (tackle by Leonard Floyd and Taron Johnson),-0.29,-0.13,11.0,2023,162
1.0,2:26,4.0,9.0,NYJ 49,0.0,6.0,"Thomas Morstead punts 51 yards, touchback.",-0.13,-0.28,11.0,2023,162
1.0,2:18,1.0,10.0,BUF 20,0.0,6.0,Josh Allen pass complete short middle to Dalton Kincaid for 16 yards (tackle by Jordan Whitehead),0.28,1.33,11.0,2023,162
1.0,1:40,1.0,10.0,BUF 36,0.0,6.0,Josh Allen pass incomplete short right intended for Stefon Diggs (defended by Sauce Gardner),1.33,0.79,11.0,2023,162
1.0,1:35,2.0,10.0,BUF 36,0.0,6.0,Josh Allen pass complete short middle to Ty Johnson for 15 yards (tackle by Jordan Whitehead and Adrian Amos),0.79,2.32,11.0,2023,162
1.0,0:35,1.0,10.0,NYJ 49,0.0,6.0,Ty Johnson right guard for 11 yards (tackle by Jordan Whitehead and Quinnen Williams) (no play),2.32,1.99,11.0,2023,162
1.0,0:24,1.0,15.0,BUF 46,0.0,6.0,Josh Allen pass complete short right to James Cook for 9 yards (tackle by Sauce Gardner),1.99,2.32,11.0,2023,162
2.0,15:00,2.0,6.0,NYJ 45,0.0,6.0,"Josh Allen pass incomplete short right. Penalty on Dion Dawkins: Offensive Holding, 10 yards (accepted) (no play)",2.32,0.97,11.0,2023,162
2.0,14:53,2.0,16.0,BUF 45,0.0,6.0,Josh Allen pass complete short middle to Khalil Shakir for 27 yards (tackle by Jordan Whitehead),0.97,3.71,11.0,2023,162
2.0,14:10,1.0,10.0,NYJ 28,0.0,6.0,"Josh Allen sacked by and Solomon Thomas for no gain and Tanzel Smart for no gain. Josh Allen fumbles (forced by Solomon Thomas), recovered by Spencer Brown at NYJ-35. Penalty on D.J. Reed: Illegal Contact, 5 yards (accepted) (no play)",3.71,4.04,11.0,2023,162
2.0,13:36,1.0,10.0,NYJ 23,0.0,6.0,Deonte Harty left end for -2 yards (tackle by D.J. Reed),4.04,3.23,11.0,2023,162
2.0,12:53,2.0,12.0,NYJ 25,0.0,6.0,Josh Allen pass complete short left to Dalton Kincaid for -1 yards (tackle by D.J. Reed),3.23,2.41,11.0,2023,162
2.0,12:10,3.0,13.0,NYJ 26,0.0,6.0,Josh Allen pass complete short middle to Quintin Morris for 11 yards (tackle by Adrian Amos and C.J. Mosley),2.41,2.57,11.0,2023,162
2.0,11:29,4.0,2.0,NYJ 15,0.0,9.0,Tyler Bass 33 yard field goal good,2.57,3.0,11.0,2023,162
2.0,11:26,,,BUF 35,0.0,9.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,162
2.0,11:26,1.0,10.0,NYJ 25,0.0,9.0,Zach Wilson pass incomplete short right,0.61,0.06,11.0,2023,162
2.0,11:21,2.0,10.0,NYJ 25,0.0,9.0,Breece Hall up the middle for no gain (tackle by Tyrel Dodson and Dorian Williams),0.06,-0.62,11.0,2023,162
2.0,10:42,3.0,10.0,NYJ 25,0.0,9.0,Zach Wilson sacked by Leonard Floyd for -7 yards,-0.62,-2.24,11.0,2023,162
2.0,10:06,4.0,17.0,NYJ 18,0.0,9.0,"Thomas Morstead punts 56 yards, returned by Deonte Harty for 8 yards (tackle by Thomas Hennessy)",-2.24,-1.2,11.0,2023,162
2.0,9:55,1.0,10.0,BUF 34,0.0,9.0,James Cook left tackle for 3 yards (tackle by D.J. Reed),1.2,1.06,11.0,2023,162
2.0,9:25,2.0,7.0,BUF 37,0.0,9.0,James Cook left guard for 11 yards (tackle by Adrian Amos and Quinnen Williams),1.06,2.13,11.0,2023,162
2.0,8:54,1.0,10.0,BUF 48,0.0,9.0,James Cook left guard for 4 yards (tackle by Micheal Clemons),2.13,2.12,11.0,2023,162
2.0,8:18,2.0,6.0,NYJ 48,0.0,9.0,Josh Allen scrambles for 4 yards (tackle by Jordan Whitehead),2.12,1.95,11.0,2023,162
2.0,7:36,3.0,2.0,NYJ 44,0.0,9.0,Latavius Murray right guard for 3 yards (tackle by Jordan Whitehead and Quincy Williams),1.95,2.85,11.0,2023,162
2.0,7:04,1.0,10.0,NYJ 41,0.0,9.0,Latavius Murray right guard for 3 yards (tackle by Quincy Williams),2.85,2.71,11.0,2023,162
2.0,6:25,2.0,7.0,NYJ 38,0.0,9.0,Josh Allen pass incomplete short right intended for Khalil Shakir (defended by Brandin Echols),2.71,2.02,11.0,2023,162
2.0,6:17,3.0,7.0,NYJ 38,0.0,9.0,Josh Allen pass incomplete deep right intended for Dalton Kincaid,2.02,0.72,11.0,2023,162
2.0,6:12,4.0,7.0,NYJ 38,0.0,9.0,"Penalty on BUF: Delay of Game, 5 yards (accepted) (no play)",0.72,0.4,11.0,2023,162
2.0,6:12,4.0,12.0,NYJ 43,0.0,9.0,Sam Martin punts 34 yards downed by Taylor Rapp,0.4,0.38,11.0,2023,162
2.0,6:02,1.0,10.0,NYJ 9,0.0,9.0,Zach Wilson pass complete deep right to Jeremy Ruckert for 18 yards (tackle by Dane Jackson),-0.38,0.74,11.0,2023,162
2.0,5:25,1.0,10.0,NYJ 27,0.0,9.0,"Zach Wilson pass incomplete deep right intended for C.J. Uzomah. Penalty on Chris Glaser: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.74,0.41,11.0,2023,162
2.0,5:25,1.0,15.0,NYJ 22,0.0,9.0,Zach Wilson pass short left intended for Garrett Wilson is intercepted by Rasul Douglas at NYJ-31 and returned for 8 yards (tackle by Garrett Wilson),0.41,-4.04,11.0,2023,162
2.0,5:19,1.0,10.0,NYJ 23,0.0,9.0,Josh Allen pass incomplete short right intended for James Cook,4.04,3.5,11.0,2023,162
2.0,5:11,2.0,10.0,NYJ 23,0.0,9.0,James Cook left end for 12 yards (tackle by Adrian Amos),3.5,4.84,11.0,2023,162
2.0,4:31,1.0,10.0,NYJ 11,0.0,9.0,James Cook up the middle for 2 yards (tackle by Quincy Williams and Jermaine Johnson),4.84,4.51,11.0,2023,162
2.0,3:55,2.0,8.0,NYJ 9,0.0,9.0,"Josh Allen pass incomplete short left. Penalty on Sauce Gardner: Defensive Holding, 5 yards (accepted) (no play)",4.51,6.28,11.0,2023,162
2.0,3:46,1.0,4.0,NYJ 4,0.0,9.0,Josh Allen right guard for -1 yards (tackle by Quinnen Williams),6.28,5.15,11.0,2023,162
2.0,3:08,2.0,5.0,NYJ 5,0.0,15.0,"Josh Allen pass complete short right to James Cook for 5 yards, touchdown",5.15,7.0,11.0,2023,162
2.0,3:03,,,NYJ 15,0.0,16.0,Tyler Bass kicks extra point good,0.0,0.0,11.0,2023,162
2.0,3:03,,,BUF 35,0.0,16.0,"Tyler Bass kicks off 65 yards, returned by Xavier Gipson for 16 yards (tackle by Siran Neal)",0.0,-0.14,11.0,2023,162
2.0,2:59,1.0,10.0,NYJ 16,0.0,16.0,Breece Hall right tackle for 1 yard (tackle by Jordan Poyer and Rasul Douglas),-0.14,-0.51,11.0,2023,162
2.0,2:24,2.0,9.0,NYJ 17,0.0,16.0,Zach Wilson pass incomplete deep right intended for Garrett Wilson (defended by Rasul Douglas),-0.51,-1.2,11.0,2023,162
2.0,2:18,3.0,9.0,NYJ 17,0.0,16.0,Zach Wilson scrambles right tackle for 7 yards (tackle by Taylor Rapp and Terrel Bernard),-1.2,-1.77,11.0,2023,162
2.0,2:00,4.0,2.0,NYJ 24,0.0,16.0,"Thomas Morstead pass complete short left to Brandin Echols for 43 yards (tackle by Siran Neal) Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Thomas Morstead pass complete short left to Brandin Echols for 18 yards (tackle by Siran Neal)",-1.77,1.73,11.0,2023,162
2.0,1:54,1.0,10.0,NYJ 42,0.0,16.0,Zach Wilson scrambles left tackle for 4 yards (tackle by Rasul Douglas),1.73,1.73,11.0,2023,162
2.0,1:28,2.0,6.0,NYJ 46,0.0,16.0,Zach Wilson pass incomplete short middle,1.73,1.03,11.0,2023,162
2.0,1:24,3.0,6.0,NYJ 46,0.0,16.0,Zach Wilson scrambles left tackle for 4 yards (tackle by Ed Oliver),1.03,-0.06,11.0,2023,162
2.0,1:18,4.0,2.0,BUF 50,0.0,16.0,"Zach Wilson pass complete short right to Breece Hall for 15 yards (tackle by Taron Johnson and Taylor Rapp). Penalty on Leonard Floyd: Defensive Offside, 5 yards (declined)",-0.06,3.25,11.0,2023,162
2.0,1:10,,,,,,Timeout #1 by Buffalo Bills,,,11.0,2023,162
2.0,1:05,1.0,10.0,BUF 35,0.0,16.0,"Zach Wilson pass incomplete short middle intended for Tyler Conklin. Penalty on Ed Oliver: Roughing the Passer, 15 yards (accepted) (no play)",3.25,4.24,11.0,2023,162
2.0,1:05,1.0,10.0,BUF 20,0.0,16.0,Zach Wilson pass complete short right to Breece Hall for 11 yards (tackle by Jordan Poyer),4.24,5.14,11.0,2023,162
2.0,0:55,,,,,,Timeout #2 by Buffalo Bills,,,11.0,2023,162
2.0,0:55,1.0,9.0,BUF 9,0.0,16.0,Zach Wilson pass incomplete short left intended for Allen Lazard (defended by Christian Benford),5.14,4.38,11.0,2023,162
2.0,0:50,2.0,9.0,BUF 9,6.0,16.0,"Zach Wilson pass complete short right to Breece Hall for 9 yards, touchdown",4.38,7.0,11.0,2023,162
2.0,0:45,,,BUF 2,6.0,16.0,Two Point Attempt: Zach Wilson pass incomplete,1.0,-1.0,11.0,2023,162
2.0,0:45,,,NYJ 35,6.0,16.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,162
2.0,0:45,1.0,10.0,BUF 25,6.0,16.0,Josh Allen pass complete short middle to Khalil Shakir for 7 yards (tackle by Brandin Echols),0.61,1.01,11.0,2023,162
2.0,0:28,2.0,3.0,BUF 32,6.0,16.0,Josh Allen pass complete short right to Dalton Kincaid for 4 yards,1.01,1.33,11.0,2023,162
2.0,0:22,,,,,,Timeout #1 by New York Jets,,,11.0,2023,162
2.0,0:22,1.0,10.0,BUF 36,6.0,16.0,"Josh Allen pass incomplete. Penalty on Bryce Huff: Defensive Offside, 5 yards (accepted) (no play)",1.33,2.06,11.0,2023,162
2.0,0:16,1.0,5.0,BUF 41,6.0,16.0,Josh Allen pass complete short right to Ty Johnson for 4 yards (tackle by Quincy Williams),2.06,2.01,11.0,2023,162
2.0,0:12,2.0,1.0,BUF 45,6.0,16.0,Josh Allen pass incomplete deep left intended for Stefon Diggs,2.01,1.29,11.0,2023,162
2.0,0:07,,,,,,Timeout #2 by New York Jets,,,11.0,2023,162
2.0,0:07,3.0,1.0,BUF 45,6.0,16.0,Josh Allen up the middle for 2 yards (tackle by Bryce Huff and Quinnen Williams),1.29,2.06,11.0,2023,162
2.0,0:02,,,,,,Timeout #3 by Buffalo Bills,,,11.0,2023,162
2.0,0:02,,,,,,Timeout #3 by New York Jets,,,11.0,2023,162
2.0,0:02,1.0,10.0,BUF 47,6.0,16.0,"Penalty on O'Cyrus Torrence: False Start, 5 yards (accepted) (no play)",2.06,1.73,11.0,2023,162
2.0,0:02,1.0,15.0,BUF 42,6.0,16.0,Josh Allen pass deep left is intercepted by Ashtyn Davis at NYJ-16 and returned for 51 yards (tackle by Mitch Morse and Ty Johnson),1.73,3.38,11.0,2023,162
3.0,15:00,,,NYJ 35,6.0,16.0,"Greg Zuerlein kicks off 60 yards,",0.0,0.61,11.0,2023,162
3.0,15:00,1.0,10.0,BUF 25,6.0,16.0,James Cook left end for -3 yards (tackle by Quincy Williams),0.61,-0.34,11.0,2023,162
3.0,14:07,2.0,13.0,BUF 22,6.0,16.0,"Josh Allen pass complete short right to Stefon Diggs for 10 yards (tackle by Sauce Gardner). Penalty on Sauce Gardner: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.34,2.06,11.0,2023,162
