Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Rams to receive the opening kickoff.",,,11.0,2023,161
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,161
1.0,15:00,1.0,10.0,LAR 25,0.0,0.0,Darrell Henderson right tackle for 2 yards (tackle by Tre Brown),0.61,0.33,11.0,2023,161
1.0,14:22,2.0,8.0,LAR 27,0.0,0.0,Matthew Stafford sacked by Devon Witherspoon for -5 yards,0.33,-1.02,11.0,2023,161
1.0,13:56,3.0,13.0,LAR 22,0.0,0.0,Matthew Stafford pass complete short left to Darrell Henderson for 8 yards (tackle by Riq Woolen and Devon Witherspoon),-1.02,-1.37,11.0,2023,161
1.0,13:14,4.0,5.0,LAR 30,0.0,0.0,"Ethan Evans punts 58 yards, fair catch by DeeJay Dallas at SEA-12",-1.37,0.35,11.0,2023,161
1.0,13:06,1.0,10.0,SEA 12,0.0,0.0,Kenneth Walker up the middle for 6 yards (tackle by Ahkello Witherspoon),-0.35,-0.07,11.0,2023,161
1.0,12:33,2.0,4.0,SEA 18,0.0,0.0,Geno Smith pass complete short right to Kenneth Walker for -2 yards (tackle by Michael Hoecht),-0.07,-0.95,11.0,2023,161
1.0,11:51,3.0,6.0,SEA 16,0.0,0.0,"Geno Smith pass complete short left to Tyler Lockett for 9 yards (tackle by Derion Kendrick). Penalty on Derion Kendrick: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.95,1.6,11.0,2023,161
1.0,11:19,1.0,10.0,SEA 40,0.0,0.0,Kenneth Walker right tackle for 1 yard (tackle by Derion Kendrick),1.6,1.19,11.0,2023,161
1.0,10:41,2.0,9.0,SEA 41,0.0,0.0,Geno Smith pass complete short right to Jake Bobo for 8 yards (tackle by Quentin Lake and Ernest Jones),1.19,1.55,11.0,2023,161
1.0,10:02,3.0,1.0,SEA 49,0.0,0.0,Zach Charbonnet up the middle for 3 yards (tackle by Ernest Jones and Jordan Fuller),1.55,2.39,11.0,2023,161
1.0,9:18,1.0,10.0,LAR 48,0.0,0.0,Kenneth Walker left tackle for 5 yards (tackle by Quentin Lake),2.39,2.52,11.0,2023,161
1.0,8:44,2.0,5.0,LAR 43,0.0,0.0,"Geno Smith pass complete to Jaxon Smith-Njigba for 23 yards LAR challenged the runner was in bounds ruling, and the original play was overturned. Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba",2.52,1.82,11.0,2023,161
1.0,8:33,3.0,5.0,LAR 43,0.0,0.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 9 yards (tackle by Quentin Lake),1.82,3.31,11.0,2023,161
1.0,7:57,1.0,10.0,LAR 34,0.0,0.0,Kenneth Walker up the middle for 6 yards (tackle by Byron Young),3.31,3.58,11.0,2023,161
1.0,7:08,2.0,4.0,LAR 28,0.0,0.0,Geno Smith pass complete short right to D.K. Metcalf for 7 yards (tackle by Derion Kendrick),3.58,4.17,11.0,2023,161
1.0,6:33,1.0,10.0,LAR 21,0.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 11 yards (tackle by Quentin Lake),4.17,4.91,11.0,2023,161
1.0,5:59,1.0,10.0,LAR 10,0.0,0.0,Zach Charbonnet up the middle for 2 yards (tackle by Jonah Williams and Michael Hoecht),4.91,4.57,11.0,2023,161
1.0,5:23,2.0,8.0,LAR 8,6.0,0.0,"Geno Smith pass complete short right to D.K. Metcalf for 8 yards, touchdown",4.57,7.0,11.0,2023,161
1.0,5:20,,,LAR 15,7.0,0.0,Jason Myers kicks extra point good,0.0,0.0,11.0,2023,161
1.0,5:20,,,SEA 35,7.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,161
1.0,5:20,1.0,10.0,LAR 25,7.0,0.0,"Penalty on Jarran Reed: Encroachment, 5 yards (accepted) (no play)",0.61,1.34,11.0,2023,161
1.0,5:20,1.0,5.0,LAR 30,7.0,0.0,"Matthew Stafford pass incomplete deep middle intended for Tutu Atwell. Penalty on Julian Love: Defensive Pass Interference, 45 yards (accepted) (no play)",1.34,3.91,11.0,2023,161
1.0,5:11,1.0,10.0,SEA 25,7.0,0.0,Matthew Stafford pass incomplete short middle intended for Tyler Higbee (defended by Jarran Reed),3.91,3.36,11.0,2023,161
1.0,5:08,2.0,10.0,SEA 25,7.0,0.0,"Matthew Stafford pass complete short right to Cooper Kupp for no gain. Penalty on Cooper Kupp: Offensive Pass Interference, 10 yards (accepted) (no play)",3.36,2.01,11.0,2023,161
1.0,4:38,2.0,20.0,SEA 35,7.0,0.0,"Matthew Stafford pass incomplete deep right intended for Cooper Kupp. Penalty on Leonard Williams: Defensive Offside, 5 yards (accepted) (no play)",2.01,2.69,11.0,2023,161
1.0,4:28,2.0,15.0,SEA 30,7.0,0.0,Matthew Stafford pass complete short middle to Cooper Kupp for 11 yards (tackle by Devon Witherspoon and Darrell Taylor),2.69,3.49,11.0,2023,161
1.0,3:43,3.0,4.0,SEA 19,7.0,0.0,"Matthew Stafford pass incomplete deep left intended for Tutu Atwell. Penalty on Riq Woolen: Defensive Pass Interference, 14 yards (accepted) (no play)",3.49,6.06,11.0,2023,161
1.0,3:37,1.0,5.0,SEA 5,7.0,0.0,Royce Freeman up the middle for 3 yards (tackle by Cameron Young and Quandre Diggs),6.06,5.72,11.0,2023,161
1.0,3:20,2.0,2.0,SEA 2,7.0,0.0,Royce Freeman up the middle for no gain (tackle by Darrell Taylor),5.72,4.95,11.0,2023,161
1.0,2:44,3.0,2.0,SEA 2,7.0,0.0,Royce Freeman left end for no gain (tackle by Bobby Wagner),4.95,3.25,11.0,2023,161
