Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Ravens to receive the opening kickoff.",,,11.0,2023,151
1.0,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,151
1.0,15:00,1.0,10.0,BAL 25,0.0,0.0,Lamar Jackson pass complete short right to Mark Andrews for 14 yards,0.61,1.53,11.0,2023,151
1.0,14:20,1.0,10.0,BAL 39,0.0,0.0,Gus Edwards left end for 1 yard (tackle by D.J. Reader and Logan Wilson),1.53,1.12,11.0,2023,151
1.0,13:38,2.0,9.0,BAL 40,0.0,0.0,Lamar Jackson pass complete short middle to Zay Flowers for 33 yards (tackle by Daxton Hill),1.12,3.78,11.0,2023,151
1.0,12:58,1.0,10.0,CIN 27,0.0,0.0,Lamar Jackson right end for 7 yards (tackle by Daxton Hill),3.78,4.18,11.0,2023,151
1.0,12:16,2.0,3.0,CIN 20,0.0,0.0,Keaton Mitchell right guard for -1 yards (tackle by Daxton Hill),4.18,3.34,11.0,2023,151
1.0,11:54,3.0,4.0,CIN 21,0.0,0.0,Lamar Jackson scrambles left end for 8 yards (tackle by Germaine Pratt),3.34,4.71,11.0,2023,151
1.0,11:05,1.0,10.0,CIN 13,0.0,0.0,"Lamar Jackson pass complete short right to Mark Andrews for 9 yards. Mark Andrews fumbles (forced by Logan Wilson), recovered by Mark Andrews at CIN-4",4.71,5.73,11.0,2023,151
1.0,10:40,2.0,1.0,CIN 4,0.0,0.0,Gus Edwards left guard for 1 yard (tackle by Daxton Hill and B.J. Hill),5.73,6.51,11.0,2023,151
1.0,10:06,1.0,3.0,CIN 3,0.0,6.0,"Gus Edwards left end for 3 yards, touchdown",6.51,7.0,11.0,2023,151
1.0,10:02,,,CIN 15,0.0,7.0,Justin Tucker kicks extra point good,0.0,0.0,11.0,2023,151
1.0,10:02,,,BAL 35,0.0,7.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,151
1.0,10:02,1.0,10.0,CIN 25,0.0,7.0,Joe Burrow scrambles up the middle for 7 yards (tackle by Odafe Oweh),0.61,1.01,11.0,2023,151
1.0,9:23,2.0,3.0,CIN 32,0.0,7.0,Joe Mixon right end for 11 yards (tackle by Patrick Queen),1.01,1.8,11.0,2023,151
1.0,8:49,1.0,10.0,CIN 43,0.0,7.0,"Joe Burrow pass complete short left to Tanner Hudson for 7 yards (tackle by Odafe Oweh). Penalty on Odafe Oweh: Face Mask (15 Yards), 15 yards (accepted)",1.8,3.25,11.0,2023,151
1.0,8:26,1.0,10.0,BAL 35,0.0,7.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,3.25,2.7,11.0,2023,151
1.0,8:22,2.0,10.0,BAL 35,0.0,7.0,Joe Burrow pass complete short right to Tyler Boyd for 4 yards (tackle by Kyle Van Noy),2.7,2.54,11.0,2023,151
1.0,7:40,,,,,,Timeout #1 by Cincinnati Bengals,,,11.0,2023,151
1.0,7:40,3.0,6.0,BAL 31,0.0,7.0,Joe Burrow pass incomplete short left intended for Tyler Boyd (defended by Marcus Williams),2.54,1.34,11.0,2023,151
1.0,7:37,4.0,6.0,BAL 31,3.0,7.0,Evan McPherson 50 yard field goal good,1.34,3.0,11.0,2023,151
1.0,7:32,,,CIN 35,3.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,151
